Id	ChapterId	NodeId	IsRandom	Type[1]	Type[2]	MaxRandom	LvExpect	LvWeight	SkillExpect	SkillWeight	DecorationExpect	DecorationWeight	FavorExpect	FavorWeight	Param[1]	Param[2]
235	23	3		2			60.0		10.0	4500	1.0	600	1.0	300	3	
236	23	3		3		1	60.0		11.0	4500	1.0	600	1.0	300	305	
237	23	3		6											ZX02414BE	
238	23	3		5			60.0		11.0	4500	1.0	600	1.0	300	306	
239	24	4		1											508	
240	24	4	1				80.0		13.0	4500	1.0	600	1.0	300		
241	24	4	1				80.0		13.0	4500	1.0	600	1.0	300		
242	24	4	1				80.0		13.0	4500	1.0	600	1.0	300		
243	24	4	1				80.0		13.0	4500	1.0	600	1.0	300		
244	24	4	1				80.0		13.0	4500	1.0	600	1.0	300		
245	24	4		2			80.0		13.0	4500	1.0	600	1.0	300	4	
246	24	4		3		1	80.0		14.0	4500	1.0	600	1.0	300	318	
247	25	5		1											510	
248	25	5	1				80.0		15.0	4500	1.0	600	1.0	300		
249	25	5	1				80.0		15.0	4500	1.0	600	1.0	300		
250	25	5	1				80.0		15.0	4500	1.0	600	1.0	300		
251	25	5		2			80.0		15.0	4500	1.0	600	1.0	300	5	
252	25	5		3		1	80.0		16.0	4500	1.0	600	1.0	300	326	
253	25	5		6											ZX02401BE	
254	25	5		5			80.0		16.0	4500	1.0	600	1.0	300	327	
255	26	6		1											513	
256	26	6	1				80.0		17.0	4500	1.0	600	1.0	300		
257	26	6	1				80.0		17.0	4500	1.0	600	1.0	300		
258	26	6	1				80.0		17.0	4500	1.0	600	1.0	300		
259	26	6		2			80.0		17.0	4500	1.0	600	1.0	300	6	
260	26	6		3		1	80.0		18.0	4500	1.0	600	1.0	300	335	
261	26	6		1											515	
262	26	6		6											ZX02420BE	
263	26	6		5			80.0		18.0	4500	1.0	600	1.0	300	336	
264	27	1	1				20.0		3.0	4500	1.0	600		300		
265	27	1	1				20.0		3.0	4500	1.0	600		300		
266	27	1	1				20.0		3.0	4500	1.0	600		300		
267	27	1	1				20.0		3.0	4500	1.0	600		300		
268	27	1	1				20.0		3.0	4500	1.0	600		300		
269	27	1		2			20.0		3.0	4500	1.0	600		300	1	
270	27	1		3		1	20.0		4.0	4500	1.0	600		300	276	
271	28	2	1				40.0		7.0	4500	1.0	600	1.0	300		
272	28	2	1				40.0		7.0	4500	1.0	600	1.0	300		
273	28	2	1				40.0		7.0	4500	1.0	600	1.0	300		
274	28	2	1				40.0		7.0	4500	1.0	600	1.0	300		
275	28	2	1				40.0		7.0	4500	1.0	600	1.0	300		
276	28	2	1				40.0		7.0	4500	1.0	600	1.0	300		
277	28	2		2			40.0		7.0	4500	1.0	600	1.0	300	2	
278	28	2		3		1	40.0		8.0	4500	1.0	600	1.0	300	291	
279	29	3	1				60.0		10.0	4500	1.0	600	1.0	300		
280	29	3	1				60.0		10.0	4500	1.0	600	1.0	300		
281	29	3	1				60.0		10.0	4500	1.0	600	1.0	300		
282	29	3	1				60.0		10.0	4500	1.0	600	1.0	300		
283	29	3	1				60.0		10.0	4500	1.0	600	1.0	300		
284	29	3		2			60.0		10.0	4500	1.0	600	1.0	300	3	
285	29	3		3		1	60.0		11.0	4500	1.0	600	1.0	300	305	
286	29	3		5			60.0		11.0	4500	1.0	600	1.0	300	306	
287	30	4	1				80.0		13.0	4500	1.0	600	1.0	300		
288	30	4	1				80.0		13.0	4500	1.0	600	1.0	300		
289	30	4	1				80.0		13.0	4500	1.0	600	1.0	300		
290	30	4	1				80.0		13.0	4500	1.0	600	1.0	300		
291	30	4	1				80.0		13.0	4500	1.0	600	1.0	300		
292	30	4		2			80.0		13.0	4500	1.0	600	1.0	300	4	
293	30	4		3		1	80.0		14.0	4500	1.0	600	1.0	300	318	
294	31	5	1				80.0		15.0	4500	1.0	600	1.0	300		
295	31	5	1				80.0		15.0	4500	1.0	600	1.0	300		
296	31	5	1				80.0		15.0	4500	1.0	600	1.0	300		
297	31	5		2			80.0		15.0	4500	1.0	600	1.0	300	5	
298	31	5		3		1	80.0		16.0	4500	1.0	600	1.0	300	326	
299	31	5		5			80.0		16.0	4500	1.0	600	1.0	300	327	
300	32	6	1				80.0		17.0	4500	1.0	600	1.0	300		
301	32	6	1				80.0		17.0	4500	1.0	600	1.0	300		
302	32	6	1				80.0		17.0	4500	1.0	600	1.0	300		
303	32	6		2			80.0		17.0	4500	1.0	600	1.0	300	6	
304	32	6		3		1	80.0		18.0	4500	1.0	600	1.0	300	335	
305	32	6		5			80.0		18.0	4500	1.0	600	1.0	300	336	
