CharacterId	SkillGroupId[1]	Pos[1]	SkillGroupId[2]	Pos[2]	SkillGroupId[3]	Pos[3]	SkillGroupId[4]	Pos[4]	SkillGroupId[5]	Pos[5]	SkillGroupId[6]	Pos[6]	SkillGroupId[7]	Pos[7]	SkillGroupId[8]	Pos[8]	SkillGroupId[9]	Pos[9]	SkillGroupId[10]	Pos[10]	SkillGroupId[11]	Pos[11]	SkillGroupId[12]	Pos[12]	SkillGroupId[13]	Pos[13]	SkillGroupId[14]	Pos[14]	SkillGroupId[15]	Pos[15]	SkillGroupId[16]	Pos[16]
1061003	1063010	1	1063060	1	1063110	1	1063160	1	1063210	2	1063170	2	1063180	2	1063220	3	1063230	3	1063240	4	1063250	4	1063260	4	1063270	3						
1031003	1033010	1	1033060	1	1033110	1	1033160	1	1033210	2	1033170	2	1033180	2	1033220	3	1033230	3	1033240	4	1033250	4	1033260	4	1033270	3						
1011003	1013010	1	1013060	1	1013110	1	1013160	1	1013210	2	1013170	2	1013180	2	1013220	3	1013230	3	1013240	4	1013250	4	1013260	4	1013270	3						
1071003	1073010	1	1073060	1	1073110	1	1073160	1	1073210	2	1073170	2	1073180	2	1073220	3	1073230	3	1073240	4	1073250	4	1073260	4	1073270	3						
1051003	1053010	1	1053060	1	1053110	1	1053160	1	1053210	2	1053170	2	1053180	2	1053220	3	1053230	3	1053240	4	1053250	4	1053260	4	1053270	3						
1021003	1023010	1	1023060	1	1023110	1	1023160	1	1023210	2	1023170	2	1023180	2	1023220	3	1023230	3	1023240	4	1023250	4	1023260	4	1023270	3						
1081003	1083010	1	1083060	1	1083110	1	1083160	1	1083210	2	1083170	2	1083180	2	1083220	3	1083230	3	1083240	4	1083250	4	1083260	4	1083270	3						
1091002	1092010	1	1092060	1	1092110	1	1092160	1	1092210	2	1092170	2	1092180	2	1092220	3	1092230	3	1092240	4	1092250	4	1092260	4	1092270	3						
1041003	1043010	1	1043060	1	1043110	1	1043160	1	1043210	2	1043170	2	1043180	2	1043220	3	1043230	3	1043240	4	1043250	4	1043260	4	1043270	3						
1111002	1112010	1	1112060	1	1112110	1	1112160	1	1112210	2	1112170	2	1112180	2	1112220	3	1112230	3	1112240	4	1112250	4	1112260	4	1112270	3						
1121002	1122010	1	1122060	1	1122110	1	1122160	1	1122210	2	1122170	2	1122180	2	1122220	3	1122230	3	1122240	4	1122250	4	1122260	4	1122270	3						
1021004	1024010	1	1024060	1	1024110	1	1024160	1	1024210	2	1024170	2	1024180	2	1024220	3	1024230	3	1024240	4	1024250	4	1024260	4	1024270	3						
1131002	1132010	1	1132060	1	1132110	1	1132160	1	1132210	2	1132170	2	1132180	2	1132220	3	1132230	3	1132240	4	1132250	4	1132260	4	1132270	3						
1511003	1152010	1	1152060	1	1152110	1	1152160	1	1152210	2	1152170	2	1152180	2	1152220	3	1152230	3	1152240	4	1152250	4	1152260	4	1152270	3						
1141003	1143010	1	1143060	1	1143110	1	1143160	1	1143210	2	1143170	2	1143180	2	1143220	3	1143230	3	1143240	4	1143250	4	1143260	4	1143270	3						
1521003	1523010	1	1523060	1	1523110	1	1523160	1	1523210	2	1523170	2	1523180	2	1523220	3	1523230	3	1523240	4	1523250	4	1523260	4	1523270	3						
1161002	1162010	1	1162060	1	1162110	1	1162160	1	1162210	2	1162170	2	1162180	2	1162220	3	1162230	3	1162240	4	1162250	4	1162260	4	1162270	3						
1171003	1173010	1	1173060	1	1173110	1	1173160	1	1173210	2	1173170	2	1173180	2	1173220	3	1173230	3	1173240	4	1173250	4	1173260	4	1173270	3						
1181003	1183010	1	1183060	1	1183110	1	1183160	1	1183210	2	1183170	2	1183180	2	1183220	3	1183230	3	1183240	4	1183250	4	1183260	4	1183270	3						
1191003	1193010	1	1193060	1	1193110	1	1193160	1	1193210	2	1193170	2	1193180	2	1193220	3	1193230	3	1193240	4	1193250	4	1193260	4	1193270	3						
1201003	1203010	1	1203060	1	1203110	1	1203160	1	1203210	2	1203170	2	1203180	2	1203220	3	1203230	3	1203240	4	1203250	4	1203260	4	1203270	3						
1211002	1212010	1	1212060	1	1212110	1	1212160	1	1212210	2	1212170	2	1212180	2	1212220	3	1212230	3	1212240	4	1212250	4	1212260	4	1212270	3						
1531003	1533010	1	1533060	1	1533110	1	1533160	1	1533210	2	1533170	2	1533180	2	1533220	3	1533230	3	1533240	4	1533250	4	1533260	4	1533270	3						
1121003	1123010	1	1123060	1	1123110	1	1123160	1	1123210	2	1123170	2	1123180	2	1123220	3	1123230	3	1123240	4	1123250	4	1123260	4	1123270	3						
1221002	1222010	1	1222060	1	1222110	1	1222160	1	1222210	2	1222170	2	1222180	2	1222220	3	1222230	3	1222240	4	1222250	4	1222260	4	1222270	3						
1131003	1133010	1	1133060	1	1133110	1	1133160	1	1133210	2	1133170	2	1133180	2	1133220	3	1133230	3	1133240	4	1133250	4	1133260	4	1133270	3						
1541003	1543010	1	1543060	1	1543110	1	1543160	1	1543210	2	1543170	2	1543180	2	1543220	3	1543230	3	1543240	4	1543250	4	1543260	4	1543270	3						
1031004	1034010	1	1034060	1	1034110	1	1034160	1	1034210	2	1034170	2	1034180	2	1034220	3	1034230	3	1034240	4	1034250	4	1034260	4	1034270	3						
1531004	1534010	1	1534060	1	1534110	1	1534160	1	1534210	2	1534170	2	1534180	2	1534220	3	1534230	3	1534240	4	1534250	4	1534260	4	1534270	3						
1551003	1553010	1	1553060	1	1553110	1	1553160	1	1553210	2	1553170	2	1553180	2	1553220	3	1553230	3	1553240	4	1553250	4	1553260	4	1553270	3						
1051004	1054010	1	1054060	1	1054110	1	1054160	1	1054210	2	1054170	2	1054180	2	1054220	3	1054230	3	1054240	4	1054250	4	1054260	4	1054270	3						
1561003	1563010	1	1563060	1	1563110	1	1563160	1	1563210	2	1563170	2	1563180	2	1563220	3	1563230	3	1563240	4	1563250	4	1563260	4	1563270	3						
1071004	1074010	1	1074060	1	1074110	1	1074160	1	1074210	2	1074170	2	1074180	2	1074220	3	1074230	3	1074240	4	1074250	4	1074260	4	1074270	3						
1571003	1573010	1	1573060	1	1573110	1	1573160	1	1573210	2	1573170	2	1573180	2	1573220	3	1573230	3	1573240	4	1573250	4	1573260	4	1573270	3						
1041004	1044010	1	1044060	1	1044110	1	1044160	1	1044210	2	1044170	2	1044180	2	1044220	3	1044230	3	1044240	4	1044250	4	1044260	4	1044270	3						
1231002	1232010	1	1232060	1	1232110	1	1232160	1	1232210	2	1232170	2	1232180	2	1232220	3	1232230	3	1232240	4	1232250	4	1232260	4	1232270	3						
1011004	1014010	1	1014060	1	1014110	1	1014160	1	1014210	2	1014170	2	1014180	2	1014220	3	1014230	3	1014240	4	1014250	4	1014260	4	1014270	3						
1091003	1093010	1	1093060	1	1093110	1	1093160	1	1093210	2	1093170	2	1093180	2	1093220	3	1093230	3	1093240	4	1093250	4	1093260	4	1093270	3						
1021005	1025010	1	1025060	1	1025110	1	1025160	1	1025210	2	1025170	2	1025180	2	1025220	3	1025230	3	1025240	4	1025250	4	1025260	4	1025270	3						
1241002	1242010	1	1242060	1	1242110	1	1242160	1	1242210	2	1242170	2	1242180	2	1242220	3	1242230	3	1242240	4	1242250	4	1242260	4	1242270	3						
1171004	1174010	1	1174060	1	1174110	1	1174160	1	1174210	2	1174170	2	1174180	2	1174220	3	1174230	3	1174240	4	1174250	4	1174260	4	1174270	3						
1291003	1293010	1	1293060	1	1293110	1	1293160	1	1293210	2	1293170	2	1293180	2	1293220	3	1293230	3	1293240	4	1293250	4	1293260	4	1293270	3						
1381003	1383010	1	1383060	1	1383110	1	1383160	1	1383210	2	1383170	2	1383180	2	1383220	3	1383230	3	1383240	4	1383250	4	1383260	4	1383270	3						
1031005	1035010	1	1035060	1	1035110	1	1035160	1	1035210	2	1035170	2	1035180	2	1035220	3	1035230	3	1035240	4	1035250	4	1035260	4	1035270	3						
1021007	1027010	1	1027060	1	1027110	1	1027160	1	1027210	2	1027170	2	1027180	2	1027220	3	1027230	3	1027240	4	1027250	4	1027260	4	1027270	3						
1221003	1223010	1	1223060	1	1223110	1	1223160	1	1223210	2	1223170	2	1223180	2	1223220	3	1223230	3	1223240	4	1223250	4	1223260	4	1223270	3						
1261003	1263010	1	1263060	1	1263110	1	1263160	1	1263210	2	1263170	2	1263180	2	1263220	3	1263230	3	1263240	4	1263250	4	1263260	4	1263270	3						
1271003	1273010	1	1273060	1	1273110	1	1273160	1	1273210	2	1273170	2	1273180	2	1273220	3	1273230	3	1273240	4	1273250	4	1273260	4	1273270	3						
1081004	1084010	1	1084060	1	1084110	1	1084160	1	1084210	2	1084170	2	1084180	2	1084220	3	1084230	3	1084240	4	1084250	4	1084260	4	1084270	3						
1521004	1524010	1	1524060	1	1524110	1	1524160	1	1524210	2	1524170	2	1524180	2	1524220	3	1524230	3	1524240	4	1524250	4	1524260	4	1524270	3						
1241003	1243010	1	1243060	1	1243110	1	1243160	1	1243210	2	1243170	2	1243180	2	1243220	3	1243230	3	1243240	4	1243250	4	1243260	4	1243270	3						
1211003	1213010	1	1213060	1	1213110	1	1213160	1	1213210	2	1213170	2	1213180	2	1213220	3	1213230	3	1213240	4	1213250	4	1213260	4	1213270	3						
1021006	1026010	1	1026060	1	1026110	1	1026160	1	1026210	2	1026170	2	1026180	2	1026220	3	1026230	3	1026240	4	1026250	4	1026260	4	1026270	3						
1051005	1055010	1	1055060	1	1055110	1	1055160	1	1055210	2	1055170	2	1055180	2	1055220	3	1055230	3	1055240	4	1055250	4	1055260	4	1055270	3						
1321003	1323010	1	1323060	1	1323110	1	1323160	1	1323210	2	1323170	2	1323180	2	1323220	3	1323230	3	1323240	4	1323250	4	1323260	4	1323270	3						
1331003	1333010	1	1333060	1	1333110	1	1333160	1	1333210	2	1333170	2	1333180	2	1333220	3	1333230	3	1333240	4	1333250	4	1333260	4	1333270	3						
1531005	1535010	1	1535060	1	1535110	1	1535160	1	1535210	2	1535170	2	1535180	2	1535220	3	1535230	3	1535240	4	1535250	4	1535260	4	1535270	3						
1131004	1134010	1	1134060	1	1134110	1	1134160	1	1134210	2	1134170	2	1134180	2	1134220	3	1134230	3	1134240	4	1134250	4	1134260	4	1134270	3						
1041005	1045010	1	1045060	1	1045110	1	1045160	1	1045210	2	1045170	2	1045180	2	1045220	3	1045230	3	1045240	4	1045250	4	1045260	4	1045270	3						
1141004	1144010	1	1144060	1	1144110	1	1144160	1	1144210	2	1144170	2	1144180	2	1144220	3	1144230	3	1144240	4	1144250	4	1144260	4	1144270	3						
1391003	1393010	1	1393060	1	1393110	1	1393160	1	1393210	2	1393170	2	1393180	2	1393220	3	1393230	3	1393240	4	1393250	4	1393260	4	1393270	3						
1341003	1343010	1	1343060	1	1343110	1	1343160	1	1343210	2	1343170	2	1343180	2	1343220	3	1343230	3	1343240	4	1343250	4	1343260	4	1343270	3						
1061004	1064010	1	1064060	1	1064110	1	1064160	1	1064210	2	1064170	2	1064180	2	1064220	3	1064230	3	1064240	4	1064250	4	1064260	4	1064270	3						
