Id	CupCount	DefeatCount	EnemyCupCount	EnemyDefeatCount
504	9	1	9	1
505	9		9	
506	10	4	11	2
507	10	3	11	1
508	10	2	10	2
509	10	1	10	1
510	10		10	
511	11	4	12	2
512	11	3	11	3
513	11	2	11	2
514	11	1	11	1
515	11		11	
516	12	4	12	4
517	12	3	12	3
518	12	2	12	2
519	12	1	12	1
520	12		12	
521		4	1	1
522		3		2
523		2	1	
524		1		
525				
526	1	4	2	1
527	1	3	1	2
528	1	2	2	
529	1	1		2
530	1			1
531	2	4	3	1
532	2	3	2	2
533	2	2	3	
534	2	1	1	2
535	2		2	
536	3	4	5	
537	3	3	3	2
538	3	2	4	
539	3	1	2	2
540	3		3	
541	4	4	6	
542	4	3	5	1
543	4	2	5	
544	4	1	4	1
545	4		4	
546	5	4	7	
547	5	3	6	1
548	5	2	6	
549	5	1	5	1
550	5		5	
551	6	4	8	
552	6	3	7	1
553	6	2	6	2
554	6	1	6	1
555	6		6	
556	7	4	8	2
557	7	3	8	1
558	7	2	7	2
559	7	1	7	1
560	7		7	
561	8	4	9	2
562	8	3	9	1
563	8	2	8	2
564	8	1	8	1
565	8		8	
566	9	4	9	3
567	9	3	8	4
568	9	2	9	2
569	9	1	9	1
570	9		9	
571	10	4	11	2
572	10	3	11	1
573	10	2	10	2
574	10	1	10	1
575	10		10	
576	11	4	12	2
577	11	3	11	3
578	11	2	11	2
579	11	1	11	1
580	11		11	
581	12	4	12	4
582	12	3	12	3
583	12	2	12	2
584	12	1	12	1
585	12		12	
586		4	1	1
587		3		2
588		2	1	
589		1		
590				
591	1	4	2	1
592	1	3	1	2
593	1	2	2	
594	1	1		2
595	1			1
596	2	4	3	1
597	2	3	2	2
598	2	2	3	
599	2	1	1	2
600	2		2	
601	3	4	5	
602	3	3	3	2
603	3	2	4	
604	3	1	2	2
605	3		3	
606	4	4	6	
607	4	3	5	1
608	4	2	5	
609	4	1	4	1
610	4		4	
611	5	4	7	
612	5	3	6	1
613	5	2	6	
614	5	1	5	1
615	5		5	
616	6	4	8	
617	6	3	7	1
618	6	2	6	2
619	6	1	6	1
620	6		6	
621	7	4	8	2
622	7	3	8	1
623	7	2	7	2
624	7	1	7	1
625	7		7	
626	8	4	9	2
627	8	3	9	1
628	8	2	8	2
629	8	1	8	1
630	8		8	
631	9	4	9	3
632	9	3	8	4
633	9	2	9	2
634	9	1	9	1
635	9		9	
636	10	4	11	2
637	10	3	10	3
638	10	2	10	2
639	10	1	10	1
640	10		10	
641	11	4	11	4
642	11	3	11	3
643	11	2	11	2
644	11	1	11	1
645	11		11	
646	12	4	12	4
647	12	3	12	3
648	12	2	12	2
649	12	1	12	1
650	12		12	
651		4	1	1
652		3		2
653		2	1	
654		1		
655				
656	1	4	2	1
657	1	3	1	2
658	1	2	2	
659	1	1		2
660	1			1
661	2	4	3	1
662	2	3	2	2
663	2	2	3	
664	2	1	1	2
665	2		2	
666	3	4	5	
667	3	3	3	2
668	3	2	4	
669	3	1	2	2
670	3		3	
671	4	4	6	
672	4	3	5	1
673	4	2	5	
674	4	1	4	1
675	4		4	
676	5	4	7	
677	5	3	6	1
678	5	2	6	
679	5	1	5	1
680	5		5	
681	6	4	8	
682	6	3	7	1
683	6	2	6	2
684	6	1	6	1
685	6		6	
686	7	4	8	2
687	7	3	8	1
688	7	2	7	2
689	7	1	7	1
690	7		7	
691	8	4	9	2
692	8	3	9	1
693	8	2	8	2
694	8	1	8	1
695	8		8	
696	9	4	9	3
697	9	3	8	4
698	9	2	9	2
699	9	1	9	1
700	9		9	
701	10	4	11	2
702	10	3	10	3
703	10	2	10	2
704	10	1	10	1
705	10		10	
706	11	4	11	4
707	11	3	11	3
708	11	2	11	2
709	11	1	11	1
710	11		11	
711	12	4	12	4
712	12	3	12	3
713	12	2	12	2
714	12	1	12	1
715	12		12	
716		4	1	1
717		3		2
718		2	1	
719		1		
720				
721	1	4	2	1
722	1	3	1	2
723	1	2	2	
724	1	1		2
725	1			1
726	2	4	3	1
727	2	3	2	2
728	2	2	3	
729	2	1	1	2
730	2		2	
731	3	4	5	
732	3	3	3	2
733	3	2	4	
734	3	1	2	2
735	3		3	
736	4	4	6	
737	4	3	5	1
738	4	2	5	
739	4	1	4	1
740	4		4	
741	5	4	7	
742	5	3	6	1
743	5	2	6	
744	5	1	5	1
745	5		5	
746	6	4	8	
747	6	3	7	1
748	6	2	6	2
749	6	1	6	1
750	6		6	
751	7	4	8	2
752	7	3	8	1
753	7	2	7	2
754	7	1	7	1
755	7		7	
756	8	4	9	2
757	8	3	9	1
758	8	2	8	2
759	8	1	8	1
760	8		8	
761	9	4	9	3
762	9	3	8	4
763	9	2	9	2
764	9	1	9	1
765	9		9	
766	10	4	11	2
767	10	3	10	3
768	10	2	10	2
769	10	1	10	1
770	10		10	
771	11	4	11	4
772	11	3	11	3
773	11	2	11	2
774	11	1	11	1
775	11		11	
776	12	4	12	4
777	12	3	12	3
778	12	2	12	2
779	12	1	12	1
780	12		12	
781		4	1	1
782		3		2
783		2	1	
784		1		
785				
786	1	4	2	1
787	1	3	1	2
788	1	2	2	
789	1	1		2
790	1			1
791	2	4	3	1
792	2	3	2	2
793	2	2	3	
794	2	1	1	2
795	2		2	
796	3	4	5	
797	3	3	3	2
798	3	2	4	
799	3	1	2	2
800	3		3	
801	4	4	6	
802	4	3	5	1
803	4	2	5	
804	4	1	4	1
805	4		4	
806	5	4	7	
807	5	3	6	1
808	5	2	6	
809	5	1	5	1
810	5		5	
811	6	4	7	2
812	6	3	7	1
813	6	2	6	2
814	6	1	6	1
815	6		6	
816	7	4	8	2
817	7	3	8	1
818	7	2	7	2
819	7	1	7	1
820	7		7	
821	8	4	9	2
822	8	3	9	1
823	8	2	8	2
824	8	1	8	1
825	8		8	
826	9	4	9	3
827	9	3	9	3
828	9	2	9	2
829	9	1	9	1
830	9		9	
831	10	4	10	4
832	10	3	10	3
833	10	2	10	2
834	10	1	10	1
835	10		10	
836	11	4	11	4
837	11	3	11	3
838	11	2	11	2
839	11	1	11	1
840	11		11	
841	12	4	12	4
842	12	3	12	3
843	12	2	12	2
844	12	1	12	1
845	12		12	
