Id	Type	Desc	Param[1]	Param[2]	Param[3]	Param[4]	Param[5]	Param[6]
1051	3	40102 - Obtain specified skill	10009					
1052	3	40103 - Obtain specified skill	10104					
1053	3	40104 - Obtain specified skill	10111					
1054	3	40105 - Obtain specified skill	10201					
1055	3	40106 - Obtain specified skill	10209					
1056	3	40107 - Obtain specified skill	10303					
1057	3	40108 - Obtain specified skill	10312					
1058	1	废弃-进入战斗后获得攻击力	1016000					
1059	1	废弃-进入战斗后获得攻击力	1016001					
1060	1	废弃-进入战斗后获得攻击力	1016002					
1061	1	废弃-进入战斗后获得攻击力	1016003					
1062	1	废弃-进入战斗后获得攻击力	1016004					
1063	1	废弃-进入战斗后获得攻击力	1016005					
1064	1	废弃-进入战斗后获得攻击力	1016006					
1065	1	废弃-进入战斗后获得攻击力	1016007					
1066	1	废弃-进入战斗后获得攻击力	1016008					
1067	1	40110 - Add Script: Deals 120% more DMG against enemies whose Max HP is greater than your own.	1016009					
1068	1	40111 - Add script: Each time damage is dealt, additionally deals damage equal to 100% of the damage value to enemy Shields.	1016014					
1069	1	40112 - Add script: For every 5000 HP enemies recover, steals 2000 HP from them.	1016015					
1070	1	40113 - Add Script: Loses 5% HP every second while dealing damage to enemies equal to 100% of own HP loss for 10s.	1016018					
1071	9	40114-提升14%生命值	0	0	1400	0	0	
1072	1	40114-提升14%攻击力	1016020					
1073	9	40115 - Gain HP based on the number of archetypes	0	0	0	6	2000000	
1074	1	40117 - [Opening] Exclusive	1016021					
1075	1	40118 - [Full Body] Exclusive	1016022					
1076	1	40119 - [Last Stand] Exclusive	1016023					
1077	1	40120 - [Execution] Exclusive	1016024					
1078	1	40121 - [Fatigue] Exclusive	1016025					
1079	1	40122 - [Probability] Exclusive	1016026					
1080	1	40123 - [Periodic] Exclusive	1016027					
1081	9	40124 - Gain ATK based on the number of archetypes	1	0	0	6	180000	
1082	9	40126 - For every 1 Gold Coin owned, ATK increases by 0.8	1	0	0	4	8000	
1083	9	40126 - For every 1 Gold Coin owned, HP increases by 20	0	0	0	4	200000	
1084	4	40015 - Lose 6 Gold Coins	-6	0	0			
1085	9	40109 - Gain 40 ATK after entering battle	1	40	0	0	0	
1086	9	40116 - Gain 50 ATK after entering battle	1	50	0	0	0	
1087	9	40125-进入战斗后获得攻击力40	1	40	0	0	0	
1088	11	40019【改】替换背包栏第1栏的符纹	2	1	1002	1003	1004	1004
1089	4	40019【改】减少6枚金币	-2	0	0			
1090	1	40111【改】进入战斗后获得指定buff	1016311					
1091	13	40201-抽取含锤子	1113	1				
1092	13	40202-抽取含锤子	1123	1				
1093	13	40203-抽取含锤子	1133	1				
1094	13	40204-抽取含锤子	1143	1				
1095	13	40205-抽取含锤子	1153	1				
1096	13	40206-抽取含锤子	1163	1				
1097	13	40207-抽取含锤子	1173	1				
1098	1	40208-进入战斗后获得指定buff	1016330					
1099	1	40209-进入战斗后获得指定buff	1016341					
1100	1	40210-进入战斗后获得指定buff	1016347					
1101	1	40211-进入战斗后获得指定buff	1016357					
1102	1	40212-进入战斗后获得指定buff	1016366					
1103	1	40213-标记：符纹强化效果摇的召唤物伤害加强160%	1016374					
1104	13	40201-抽取橙，无锤子	1112	1				
1105	13	40202-抽取橙，无锤子	1122	1				
1106	13	40203-抽取橙，无锤子	1132	1				
1107	13	40204-抽取橙，无锤子	1142	1				
1108	13	40205-抽取橙，无锤子	1152	1				
1109	13	40206-抽取橙，无锤子	1162	1				
1110	13	40207-抽取橙，无锤子	1172	1				
1111	1	69084-标记：莉莉丝【劫烬涅槃】强化	1016414					
10001	1	Test: Gain specified buffs upon entering battle	1	2				
10002	2	Test: Perform one draw from the specified RandomGroup	1					
10003	3	Test: Obtain specified items	20261					
10004	4	Test: Gain Gold Coins	1	1	20			
10005	5	Test: Gain free refresh attempts	1	2	0			
10006	6	Test: Gain EXP	5	3	0			
10007	7	Test: Randomly steal runes from the shop	2					
10008	8	Test: Replace the next x purchased runes with enhanced runes	2					
10009	9	Test: Gain stats upon entering battle	1	1	1	1	1	
10010	10	Test: Sell runes at specified locations	1	1				
10011	11	Test: Remove the rune at the specified location and draw from the corresponding RandomGroup based on the removed rune's rarity.	1	1	1	2	3	4
10012	12	Test: Heart count increase, decrease	1					
2001	4	任务奖励发钱共享-发1金	1	0	0			
2002	4	任务奖励发钱共享-发2金	2	0	0			
2003	4	任务奖励发钱共享-发3金	3	0	0			
2004	4	任务奖励发钱共享-发4金	4	0	0			
2005	4	任务奖励发钱共享-发6金	6	0	0			
2006	4	任务奖励发钱共享-发8金	8	0	0			
2007	4	任务奖励发钱共享-10-发10金	10	0	0			
2008	4	任务奖励发钱共享-10-发12金	12	0	0			
2009	4	任务奖励发钱共享-10-发14金	14	0	0			
2010	4	任务奖励发钱共享-10-发16金	16	0	0			
2011	4	任务奖励发钱共享-10-发18金	18	0	0			
2012	4	任务奖励发钱共享-20-发20金	20	0	0			
2013	4	101任务奖励发钱-发22金	22	0	0			
2014	4	101任务奖励发钱-发30金	30	0	0			
2015	4	101任务奖励发钱-发38金	38	0	0			
2016	4	101任务奖励发钱-发46金	46	0	0			
2017	4	102任务奖励发钱-发24金	24	0	0			
2018	4	102任务奖励发钱-发32金	32	0	0			
2019	4	102任务奖励发钱-发40金	40	0	0			
2020	4	102任务奖励发钱-发48金	48	0	0			
2021	4	102任务奖励发钱-发56金	56	0	0			
2022	4	102任务奖励发钱-发64金	64	0	0			
2023	4	103任务奖励发钱-发22金	22	0	0			
2024	4	103任务奖励发钱-发30金	30	0	0			
2025	4	103任务奖励发钱-发38金	38	0	0			
2026	4	103任务奖励发钱-发46金	46	0	0			
2027	4	105任务奖励发钱-发26金	26	0	0			
2028	4	106任务奖励发钱-发22金	22	0	0			
2029	4	107任务奖励发钱-发26金	26	0	0			
2030	4	107任务奖励发钱-发32金	32	0	0			
2031	4	107任务奖励发钱-发38金	38	0	0			
2032	4	118任务奖励发钱-发26金	26	0	0			
2033	4	118任务奖励发钱-发36金	36	0	0			
2034	4	118任务奖励发钱-发46金	46	0	0			
2035	4	118任务奖励发钱-发56金	56	0	0			
2100	5	102-获得2次免费刷新	2	0	0			
2101	9	104-获得18攻击力	1	18	0	0	0	
2102	9	104-获得24攻击力	1	24	0	0	0	
2103	9	104-获得30攻击力	1	30	0	0	0	
2104	9	104-获得36攻击力	1	36	0	0	0	
2105	9	104-获得42攻击力	1	42	0	0	0	
2106	9	104-获得48攻击力	1	48	0	0	0	
2107	9	104-获得600生命值	0	600	0	0	0	
2108	9	104-获得600生命值	0	600	0	0	0	
2109	9	104-获得700生命值	0	700	0	0	0	
2110	9	104-获得800生命值	0	800	0	0	0	
2111	9	104-获得900生命值	0	900	0	0	0	
2112	9	104-获得1000生命值	0	1000	0	0	0	
2113	7	105-偷取1符纹	1					
2114	4	105-减少6枚金币	-6	0	0			
2115	4	105-减少6枚金币	-6	0	0			
2116	4	105-减少5枚金币	-5	0	0			
2117	4	105-减少4枚金币	-4	0	0			
2118	4	105-减少2枚金币	-2	0	0			
2119	4	105-减少1枚金币	-1	0	0			
2120	4	106-获得流派数量*1金币	0	6	10000			
2121	4	106-获得流派数量*1金币	0	6	20000			
2122	11	107-替换背包栏第1栏的符纹	2	1	1002	1003	1004	1004
2123	1	6109x-进入战斗后获得指定buff	1016300					
2124	1	6109x-进入战斗后获得指定buff	1016301					
2125	1	6109x-进入战斗后获得指定buff	1016302					
2126	1	6109x-进入战斗后获得指定buff	1016303					
2127	1	6109x-进入战斗后获得指定buff	1016304					
2128	1	6110x-进入战斗后获得指定buff	1016309					
2129	1	6110x-进入战斗后获得指定buff	1016310					
2130	1	6110x-进入战斗后获得指定buff	1016311					
2131	1	6110x-进入战斗后获得指定buff	1016312					
2132	1	6110x-进入战斗后获得指定buff	1016313					
2133	1	6111x-进入战斗后获得指定buff	1016314					
2134	1	6111x-进入战斗后获得指定buff	1016315					
2135	1	6111x-进入战斗后获得指定buff	1016316					
2136	1	6111x-进入战斗后获得指定buff	1016317					
2137	1	6111x-进入战斗后获得指定buff	1016318					
2138	1	6112x-进入战斗后获得指定buff	1016322					
2139	1	6112x-进入战斗后获得指定buff	1016323					
2140	1	6112x-进入战斗后获得指定buff	1016324					
2141	1	6112x-进入战斗后获得指定buff	1016325					
2142	1	6112x-进入战斗后获得指定buff	1016326					
2143	1	6113x-进入战斗后获得指定buff	1016328					
2144	1	6113x-进入战斗后获得指定buff	1016329					
2145	1	6113x-进入战斗后获得指定buff	1016330					
2146	1	6113x-进入战斗后获得指定buff	1016331					
2147	1	6113x-进入战斗后获得指定buff	1016332					
2148	1	6114x-进入战斗后获得指定buff	1016339					
2149	1	6114x-进入战斗后获得指定buff	1016340					
2150	1	6114x-进入战斗后获得指定buff	1016341					
2151	1	6114x-进入战斗后获得指定buff	1016342					
2152	1	6114x-进入战斗后获得指定buff	1016343					
2153	1	6115x-进入战斗后获得指定buff	1016345					
2154	1	6115x-进入战斗后获得指定buff	1016346					
2155	1	6115x-进入战斗后获得指定buff	1016347					
2156	1	6115x-进入战斗后获得指定buff	1016348					
2157	1	6115x-进入战斗后获得指定buff	1016349					
2158	1	6116x-进入战斗后获得指定buff	1016355					
2159	1	6116x-进入战斗后获得指定buff	1016356					
2160	1	6116x-进入战斗后获得指定buff	1016357					
2161	1	6116x-进入战斗后获得指定buff	1016358					
2162	1	6116x-进入战斗后获得指定buff	1016359					
2163	1	6117x-进入战斗后获得指定buff	1016364					
2164	1	6117x-进入战斗后获得指定buff	1016365					
2165	1	6117x-进入战斗后获得指定buff	1016366					
2166	1	6117x-进入战斗后获得指定buff	1016367					
2167	1	6117x-进入战斗后获得指定buff	1016368					
2168	1	61186-标记：符纹强化效果摇的召唤物伤害加强160%	1016374					
2169	1	69011-标记：渡边【侧翼射击】强化	1016385					
2170	1	69012-标记：渡边【侧翼射击】强化	1016386					
2171	1	69013-标记：渡边【侧翼射击】强化	1016387					
2172	1	69014-标记：渡边【侧翼射击】强化	1016388					
2173	1	69015-标记：渡边【侧翼射击】强化	1016389					
2174	1	69021-标记：渡边【爆裂强袭】强化	1016390					
2175	1	69022-标记：渡边【爆裂强袭】强化	1016391					
2176	1	69023-标记：渡边【爆裂强袭】强化	1016392					
2177	1	69024-标记：渡边【爆裂强袭】强化	1016393					
2178	1	69025-标记：渡边【爆裂强袭】强化	1016394					
2179	1	69031-标记：薇拉【霆枪劫劈】强化	1016395					
2180	1	69032-标记：薇拉【霆枪劫劈】强化	1016396					
2181	1	69033-标记：薇拉【霆枪劫劈】强化	1016397					
2182	1	69034-标记：薇拉【霆枪劫劈】强化	1016398					
2183	1	69035-标记：薇拉【霆枪劫劈】强化	1016399					
2184	1	69041-标记：薇拉【炎渊诛罚】强化	1016400					
2185	1	69042-标记：薇拉【炎渊诛罚】强化	1016401					
2186	1	69043-标记：薇拉【炎渊诛罚】强化	1016402					
2187	1	69044-标记：薇拉【炎渊诛罚】强化	1016403					
2188	1	69045-标记：薇拉【炎渊诛罚】强化	1016404					
2189	1	69051-标记：万事【寂灭灵灰】强化	1016375					
2190	1	69052-标记：万事【寂灭灵灰】强化	1016376					
2191	1	69053-标记：万事【寂灭灵灰】强化	1016377					
2192	1	69054-标记：万事【寂灭灵灰】强化	1016378					
2193	1	69055-标记：万事【寂灭灵灰】强化	1016379					
2194	1	69061-标记：万事【推锋铸构】强化	1016380					
2195	1	69062-标记：万事【推锋铸构】强化	1016381					
2196	1	69063-标记：万事【推锋铸构】强化	1016382					
2197	1	69064-标记：万事【推锋铸构】强化	1016383					
2198	1	69065-标记：万事【推锋铸构】强化	1016384					
2199	1	69071-标记：莉莉丝【晶境圣绽】强化	1016405					
2200	1	69072-标记：莉莉丝【晶境圣绽】强化	1016406					
2201	1	69073-标记：莉莉丝【晶境圣绽】强化	1016407					
2202	1	69074-标记：莉莉丝【晶境圣绽】强化	1016408					
2203	1	69075-标记：莉莉丝【晶境圣绽】强化	1016409					
2204	1	69081-标记：莉莉丝【劫烬涅槃】强化	1016411					
2205	1	69082-标记：莉莉丝【劫烬涅槃】强化	1016412					
2206	1	69083-标记：莉莉丝【劫烬涅槃】强化	1016413					
2207	1	69084-标记：莉莉丝【劫烬涅槃】强化	1016414					
2208	1	69085-标记：莉莉丝【劫烬涅槃】强化	1016415					
2209	13	6909x-第1组抽取	1111	1				
2210	13	6909x-第2组抽取	1112	1				
2211	13	6909x-第3组抽取	1113	1				
2212	13	6910x-第1组抽取	1121	1				
2213	13	6910x-第2组抽取	1122	1				
2214	13	6910x-第3组抽取	1123	1				
2215	13	6911x-第1组抽取	1131	1				
2216	13	6911x-第2组抽取	1132	1				
2217	13	6911x-第3组抽取	1133	1				
2218	13	6912x-第1组抽取	1141	1				
2219	13	6912x-第2组抽取	1142	1				
2220	13	6912x-第3组抽取	1143	1				
2221	13	6913x-第1组抽取	1151	1				
2222	13	6913x-第2组抽取	1152	1				
2223	13	6913x-第3组抽取	1153	1				
2224	13	6914x-第1组抽取	1161	1				
2225	13	6914x-第2组抽取	1162	1				
2226	13	6914x-第3组抽取	1163	1				
2227	13	6915x-第1组抽取	1171	1				
2228	13	6915x-第2组抽取	1172	1				
2229	13	6915x-第3组抽取	1173	1				
