Id	GradeId	CupCount	DefeatCount	CharacterId	Score	SkillIds[1]	SkillIds[2]	SkillIds[3]	EquipIds[1]	EquipIds[2]	EquipIds[3]	EquipIds[4]	EquipIds[5]	EquipIds[6]	EquipIds[7]	EquipIds[8]	EquipIds[9]	EquipIds[10]	Level	RelicIds[1]	RelicIds[2]	RelicIds[3]	RuneEvolves[1]	RuneEvolves[2]	RuneEvolves[3]	RuneEvolves[4]	RuneEvolves[5]	RuneEvolves[6]	RuneEvolves[7]	RuneEvolves[8]	RuneEvolves[9]	RuneEvolves[10]
31	1	6		1	100	10103	10110	10105	20249	20359	20347	20448	20568						7	40016	40019		0	0	0	0	0					
32	1	6	1	1	100	10102	10110	10107	20154	20160	20400	20454	20768						7	40111	40103		0	0	0	0	0					
33	1	6	2	1	100	10104	10110	10103	20502	20454	20634	20586	20828	20654					7	40114	40126		0	0	0	0	0	0				
34	1	6	3	1	100	10108	10106	10109	20752	20265	20162	20156	20828	20636					7	40014	40008		0	0	0	0	0	0				
35	1	6	4	1	100	10110	10107	10106	20265	20251	20456	20778	20554						7	40016	40010		0	0	0	0	0					
36	1	7		1	100	10106	10103	10104	20110	20718	20552	20046	20760						8	40112	40011		0	0	0	0	0					
37	1	7	1	1	100	10102	10107	10101	20610	20676	20826	20251	20060	20636					8	40115	40010		0	0	0	0	0	0				
38	1	7	2	1	100	10110	10103	10106	20442	20828	20456	20361	20636	20820					8	40115	40112		0	0	0	0	0	0				
39	1	7	3	1	100	10103	10109	10110	20570	20060	20712	20820	20786						8	40005	40125		0	0	0	0	0					
40	1	7	4	1	100	10104	10108	10106	20812	20828	20355	20422	20028	20056	20050				8	40016	40019		0	0	0	0	20028	0	0			
41	1	8		1	100	10109	10108	10110	20710	20568	20058	20536	20060	20670					9	40004	40015	40016	0	0	0	0	0	0				
42	1	8	1	1	100	10107	10104	10101	20128	20586	20536	20828	20520	20586					9	40016	40014	40102	0	0	0	0	0	0				
43	1	8	2	1	100	10110	10101	10107	20349	20369	20156	20812	20048						9	40113	40008	40112	0	0	0	0	0					
44	1	8	3	1	100	10104	10102	10106	20450	20770	20144	20764	20334	20130	20336				9	40110	40102	40015	0	0	0	20764	20334	0	0			
45	1	8	4	1	100	10108	10106	10109	20444	20606	20772	20506	20544	20544	20224	20304	20130		9	40111	40009	40022	0	20606	20772	20506	20544	0	0	0	0	
46	1	9		1	100	10104	10108	10103	20560	20612	20662	20562	20678	20054					10	40001	40008	40115	0	0	0	0	0	0				
47	1	9	1	1	100	10104	10106	10109	20736	20048	20812	20054	20754						10	40112	40116	40103	0	0	0	0	0					
48	1	9	2	1	100	10110	10108	10109	20778	20528	20361	20050	20730	20452	20738				10	40007	40105	40017	0	0	0	20050	20730	0	0			
49	1	9	3	1	100	10109	10106	10104	20251	20422	20373	20422	20594	20259	20259	20542	20269		10	40110	40022	40115	0	0	20373	0	20594	0	0	0	0	
50	1	9	4	1	100	10105	10106	10107	20614	20556	20794	20158	20514	20050	20790	20730	20841	20714	10	40112	40125	40115	20614	20556	20794	20158	20514	0	0	0	0	0
51	1	10		1	100	10104	10108	10103	20560	20612	20662	20562	20678	20054					10	40001	40008	40115	0	0	0	0	0	0				
52	1	10	1	1	100	10104	10106	10109	20736	20048	20812	20054	20754						10	40112	40116	40103	0	0	0	0	0					
53	1	10	2	1	100	10110	10108	10109	20778	20528	20361	20050	20730	20452	20738				10	40007	40105	40017	0	0	0	20050	20730	0	0			
54	1	10	3	1	100	10109	10106	10104	20251	20422	20373	20422	20594	20259	20259	20542	20269		10	40110	40022	40115	0	0	20373	0	20594	0	0	0	0	
55	1	10	4	1	100	10105	10106	10107	20614	20556	20794	20158	20514	20050	20790	20730	20841	20714	10	40112	40125	40115	20614	20556	20794	20158	20514	0	0	0	0	0
56	1	11		1	100	10104	10108	10103	20560	20612	20662	20562	20678	20054					10	40001	40008	40115	0	0	0	0	0	0				
57	1	11	1	1	100	10104	10106	10109	20736	20048	20812	20054	20754						10	40112	40116	40103	0	0	0	0	0					
58	1	11	2	1	100	10110	10108	10109	20778	20528	20361	20050	20730	20452	20738				10	40007	40105	40017	0	0	0	20050	20730	0	0			
59	1	11	3	1	100	10109	10106	10104	20251	20422	20373	20422	20594	20259	20259	20542	20269		10	40110	40022	40115	0	0	20373	0	20594	0	0	0	0	
60	1	11	4	1	100	10105	10106	10107	20614	20556	20794	20158	20514	20050	20790	20730	20841	20714	10	40112	40125	40115	20614	20556	20794	20158	20514	0	0	0	0	0
61	1	12		1	100	10104	10108	10103	20560	20612	20662	20562	20678	20054					10	40001	40008	40115	0	0	0	0	0	0				
62	1	12	1	1	100	10104	10106	10109	20736	20048	20812	20054	20754						10	40112	40116	40103	0	0	0	0	0					
63	1	12	2	1	100	10110	10108	10109	20778	20528	20361	20050	20730	20452	20738				10	40007	40105	40017	0	0	0	20050	20730	0	0			
64	1	12	3	1	100	10109	10106	10104	20251	20422	20373	20422	20594	20259	20259	20542	20269		10	40110	40022	40115	0	0	20373	0	20594	0	0	0	0	
65	1	12	4	1	100	10105	10106	10107	20614	20556	20794	20158	20514	20050	20790	20730	20841	20714	10	40112	40125	40115	20614	20556	20794	20158	20514	0	0	0	0	0
66	1			2	100	10209			20500	20724									1	40008			0	0								
67	1		1	2	100	10202			20018	20608	20550								1	40009			0	0	0							
68	1		2	2	100	10202	10206		20326	20700	20800								1	40008			0	0	0							
69	1		3	2	100	10206	10202		20608	20600	20106								1	40013			0	0	0							
70	1		4	2	100	10208	10204	10210	20808	20308	20552	20128							1	40110			0	0	0	0						
71	1	1		2	100	10201			20508	20658	20758								2	40008			0	0	0							
72	1	1	1	2	100	10203	10204		20582	20700	20582								2	40001			0	0	0							
73	1	1	2	2	100	10206	10205		20524	20018	20718								2	40004			0	0	0							
74	1	1	3	2	100	10207	10209	10208	20566	20024	20784	20106							2	40015			0	0	0	0						
75	1	1	4	2	100	10204	10202	10206	20782	20802	20448	20826							2	40004			0	0	0	0						
76	1	2		2	100	10206	10203		20632	20532	20550								3	40017			0	0	0							
77	1	2	1	2	100	10202	10205		20600	20624	20365								3	40114			0	0	0							
78	1	2	2	2	100	10206	10210	10208	20782	20508	20518	20626							3	40115			0	0	0	0						
79	1	2	3	2	100	10210	10203	10209	20016	20255	20568	20834							3	40009			0	0	0	0						
80	1	2	4	2	100	10207	10210	10205	20818	20128	20128	20768	20760						3	40008			0	0	0	0	0					
81	1	3		2	100	10204	10206		20750	20558	20660								4	40004			0	0	0							
82	1	3	1	2	100	10209	10210	10203	20558	20016	20518	20359							4	40001			0	0	0	0						
83	1	3	2	2	100	10207	10205	10201	20774	20560	20834	20448							4	40016			0	0	0	0						
84	1	3	3	2	100	10205	10206	10203	20576	20154	20660	20046	20518						4	40001			0	0	0	0	0					
85	1	3	4	2	100	10201	10204	10208	20776	20802	20255	20702	20142						4	40115			0	0	0	0	0					
86	1	4		2	100	10206	10205	10201	20682	20558	20568	20347							5	40115	40104		0	0	0	0						
87	1	4	1	2	100	10209	10206	10205	20624	20400	20400	20160							5	40003	40124		0	0	0	0						
88	1	4	2	2	100	10205	10204	10207	20676	20534	20834	20734	20668						5	40010	40115		0	0	0	0	0					
89	1	4	3	2	100	10203	10208	10207	20442	20255	20702	20560	20776						5	40109	40125		0	0	0	0	0					
90	1	4	4	2	100	10209	10207	10202	20526	20576	20834	20060	20144	20778					5	40113	40009		0	0	0	0	0	0				
91	1	5		2	100	10203	10202	10209	20666	20046	20518	20058							6	40016	40019		0	0	0	0						
92	1	5	1	2	100	10207	10209	10202	20154	20142	20359	20826	20454						6	40013	40109		0	0	0	0	0					
93	1	5	2	2	100	10203	10205	10204	20802	20702	20154	20255	20626						6	40012	40007		0	0	0	0	0					
94	1	5	3	2	100	10208	10210	10202	20768	20142	20576	20586	20828	20444					6	40003	40009		0	0	0	0	0	0				
95	1	5	4	2	100	10203	10202	10207	20826	20720	20369	20554	20836	20770					6	40008	40008		0	0	0	0	0	0				
96	1	6		2	100	10202	10203	10206	20261	20784	20810	20400	20400						7	40113	40110		0	0	0	0	0					
97	1	6	1	2	100	10209	10202	10203	20142	20454	20249	20784	20734						7	40111	40115		0	0	0	0	0					
98	1	6	2	2	100	10203	10204	10208	20834	20626	20347	20245	20349	20804					7	40016	40017		0	0	0	0	0	0				
99	1	6	3	2	100	10208	10206	10201	20128	20245	20060	20728	20628	20812					7	40009	40102		0	0	0	0	0	0				
100	1	6	4	2	100	10201	10205	10206	20786	20770	20156	20156	20570						7	40014	40126		0	0	0	0	0					
101	1	7		2	100	10201	10202	10205	20110	20834	20400	20634	20510						8	40001	40102		0	0	0	0	0					
102	1	7	1	2	100	10210	10207	10202	20448	20768	20584	20265	20520	20536					8	40015	40004		0	0	0	0	0	0				
103	1	7	2	2	100	10206	10210	10208	20502	20804	20528	20704	20162	20456					8	40012	40010		0	0	0	0	0	0				
104	1	7	3	2	100	10210	10205	10207	20355	20636	20804	20528	20754						8	40010	40022		0	0	0	0	0					
105	1	7	4	2	100	10201	10206	10205	20554	20450	20654	20259	20218	20030	20446				8	40016	40006		0	0	0	20259	0	0	0			
106	1	8		2	100	10201	10207	10206	20834	20448	20255	20562	20251	20349					9	40009	40015	40124	0	0	0	0	0	0				
107	1	8	1	2	100	10210	10205	10207	20602	20450	20812	20054	20770	20162					9	40112	40005	40107	0	0	0	0	0	0				
108	1	8	2	2	100	10206	10203	10201	20678	20054	20778	20048	20048						9	40005	40108	40023	0	0	0	0	0					
109	1	8	3	2	100	10208	10204	10202	20156	20628	20048	20630	20338	20842	20164				9	40012	40102	40102	0	0	0	20630	20338	0	0			
110	1	8	4	2	100	10206	10205	10202	20828	20580	20164	20158	20050	20696	20200	20050	20253		9	40001	40112	40107	0	20580	20164	20158	20050	0	0	0	0	
111	1	9		2	100	10203	10201	10210	20768	20804	20512	20728	20836	20736					10	40016	40126	40126	0	0	0	0	0	0				
112	1	9	1	2	100	10206	10205	10203	20654	20712	20054	20504	20361						10	40001	40102	40016	0	0	0	0	0					
113	1	9	2	2	100	10206	10203	10208	20245	20620	20812	20696	20334	20062	20822				10	40111	40013	40126	0	0	0	20696	20334	0	0			
114	1	9	3	2	100	10206	10202	10209	20054	20357	20030	20794	20814	20838	20756	20792	20642		10	40009	40013	40126	0	20357	20030	20794	20814	0	0	0	0	
115	1	9	4	2	100	10208	10203	10201	20432	20640	20062	20642	20648	20741	20253	20146	20336	20680	10	40009	40108	40124	20432	20640	20062	20642	20648	0	0	0	0	0
116	1	10		2	100	10203	10201	10210	20768	20804	20512	20728	20836	20736					10	40016	40126	40126	0	0	0	0	0	0				
117	1	10	1	2	100	10206	10205	10203	20654	20712	20054	20504	20361						10	40001	40102	40016	0	0	0	0	0					
118	1	10	2	2	100	10206	10203	10208	20245	20620	20812	20696	20334	20062	20822				10	40111	40013	40126	0	0	0	20696	20334	0	0			
119	1	10	3	2	100	10206	10202	10209	20054	20357	20030	20794	20814	20838	20756	20792	20642		10	40009	40013	40126	0	20357	20030	20794	20814	0	0	0	0	
120	1	10	4	2	100	10208	10203	10201	20432	20640	20062	20642	20648	20741	20253	20146	20336	20680	10	40009	40108	40124	20432	20640	20062	20642	20648	0	0	0	0	0
121	1	11		2	100	10203	10201	10210	20768	20804	20512	20728	20836	20736					10	40016	40126	40126	0	0	0	0	0	0				
122	1	11	1	2	100	10206	10205	10203	20654	20712	20054	20504	20361						10	40001	40102	40016	0	0	0	0	0					
123	1	11	2	2	100	10206	10203	10208	20245	20620	20812	20696	20334	20062	20822				10	40111	40013	40126	0	0	0	20696	20334	0	0			
124	1	11	3	2	100	10206	10202	10209	20054	20357	20030	20794	20814	20838	20756	20792	20642		10	40009	40013	40126	0	20357	20030	20794	20814	0	0	0	0	
125	1	11	4	2	100	10208	10203	10201	20432	20640	20062	20642	20648	20741	20253	20146	20336	20680	10	40009	40108	40124	20432	20640	20062	20642	20648	0	0	0	0	0
126	1	12		2	100	10203	10201	10210	20768	20804	20512	20728	20836	20736					10	40016	40126	40126	0	0	0	0	0	0				
127	1	12	1	2	100	10206	10205	10203	20654	20712	20054	20504	20361						10	40001	40102	40016	0	0	0	0	0					
128	1	12	2	2	100	10206	10203	10208	20245	20620	20812	20696	20334	20062	20822				10	40111	40013	40126	0	0	0	20696	20334	0	0			
129	1	12	3	2	100	10206	10202	10209	20054	20357	20030	20794	20814	20838	20756	20792	20642		10	40009	40013	40126	0	20357	20030	20794	20814	0	0	0	0	
130	1	12	4	2	100	10208	10203	10201	20432	20640	20062	20642	20648	20741	20253	20146	20336	20680	10	40009	40108	40124	20432	20640	20062	20642	20648	0	0	0	0	0
131	1			3	100	10007			20616	20766									1	40002			0	0								
132	1		1	3	100	10005			20308	20600	20750								1	40003			0	0	0							
133	1		2	3	100	10004	10002		20318	20018	20832								1	40012			0	0	0							
134	1		3	3	100	10002	10001		20708	20632	20400								1	40013			0	0	0							
135	1		4	3	100	10001	10006	10002	20816	20516	20752	20243							1	40115			0	0	0	0						
136	1	1		3	100	10004			20616	20516	20600								2	40006			0	0	0							
137	1	1	1	3	100	10010	10004		20716	20682	20750								2	40011			0	0	0							
138	1	1	2	3	100	10010	10009		20516	20808	20818								2	40017			0	0	0							
139	1	1	3	3	100	10008	10004	10002	20500	20582	20618	20684							2	40016			0	0	0	0						
140	1	1	4	3	100	10005	10003	10007	20024	20400	20454	20610							2	40006			0	0	0	0						
141	1	2		3	100	10008	10003		20682	20516	20832								3	40005			0	0	0							
142	1	2	1	3	100	10006	10001		20808	20632	20752								3	40006			0	0	0							
143	1	2	2	3	100	10009	10003	10005	20824	20674	20702	20448							3	40114			0	0	0	0						
144	1	2	3	3	100	10003	10004	10009	20824	20726	20534	20347							3	40109			0	0	0	0						
145	1	2	4	3	100	10003	10005	10001	20052	20534	20784	20347	20802						3	40011			0	0	0	0	0					
146	1	3		3	100	10006	10009		20650	20018	20552								4	40114			0	0	0							
147	1	3	1	3	100	10002	10005	10006	20650	20674	20142	20752							4	40010			0	0	0	0						
148	1	3	2	3	100	10010	10004	10003	20608	20510	20106	20052							4	40111			0	0	0	0						
149	1	3	3	3	100	10006	10002	10009	20660	20534	20365	20552	20634						4	40110			0	0	0	0	0					
150	1	3	4	3	100	10004	10006	10010	20734	20510	20448	20684	20552						4	40115			0	0	0	0	0					
151	1	4		3	100	10008	10007	10006	20758	20558	20702	20046							5	40012	40106		0	0	0	0						
152	1	4	1	3	100	10005	10006	10004	20318	20718	20442	20768							5	40007	40004		0	0	0	0						
153	1	4	2	3	100	10007	10009	10005	20448	20584	20702	20818	20610						5	40003	40005		0	0	0	0	0					
154	1	4	3	3	100	10007	10002	10005	20752	20760	20760	20502	20058						5	40006	40124		0	0	0	0	0					
155	1	4	4	3	100	10006	10007	10008	20442	20576	20684	20162	20728	20048					5	40110	40125		0	0	0	0	0	0				
156	1	5		3	100	10009	10010	10003	20574	20154	20784	20734							6	40007	40124		0	0	0	0						
157	1	5	1	3	100	10001	10005	10009	20760	20726	20502	20510	20684						6	40004	40106		0	0	0	0	0					
158	1	5	2	3	100	10001	10006	10010	20634	20652	20154	20834	20660						6	40006	40013		0	0	0	0	0					
159	1	5	3	3	100	10010	10003	10001	20106	20448	20668	20562	20554	20820					6	40016	40125		0	0	0	0	0	0				
160	1	5	4	3	100	10010	10003	10009	20261	20604	20554	20060	20836	20570					6	40006	40113		0	0	0	0	0	0				
161	1	6		3	100	10002	10010	10001	20810	20584	20526	20154	20142						7	40115	40106		0	0	0	0	0					
162	1	6	1	3	100	10008	10009	10006	20802	20249	20668	20347	20255						7	40004	40011		0	0	0	0	0					
163	1	6	2	3	100	10007	10003	10004	20448	20106	20610	20060	20654	20520					7	40015	40112		0	0	0	0	0	0				
164	1	6	3	3	100	10002	10005	10003	20518	20456	20355	20054	20349	20048					7	40014	40102		0	0	0	0	0	0				
165	1	6	4	3	100	10002	10010	10007	20450	20562	20162	20828	20762						7	40112	40109		0	0	0	0	0					
166	1	7		3	100	10005	10010	10009	20684	20128	20261	20676	20510						8	40109	40012		0	0	0	0	0					
167	1	7	1	3	100	10009	10006	10003	20359	20249	20058	20536	20836	20456					8	40005	40107		0	0	0	0	0	0				
168	1	7	2	3	100	10002	10004	10009	20454	20604	20828	20620	20770	20245					8	40004	40105		0	0	0	0	0	0				
169	1	7	3	3	100	10003	10006	10008	20060	20678	20450	20720	20570						8	40014	40110		0	0	0	0	0					
170	1	7	4	3	100	10009	10003	10001	20586	20820	20512	20614	20756	20806	20230				8	40110	40105		0	0	0	20614	20756	0	0			
171	1	8		3	100	10009	10001	10003	20618	20602	20110	20578	20670	20762					9	40011	40008	40113	0	0	0	0	0	0				
172	1	8	1	3	100	10007	10003	10001	20046	20257	20836	20686	20369	20528					9	40017	40019	40106	0	0	0	0	0	0				
173	1	8	2	3	100	10007	10008	10003	20586	20450	20456	20349	20628						9	40115	40005	40015	0	0	0	0	0					
174	1	8	3	3	100	10002	10006	10003	20762	20450	20786	20146	20840	20764	20132				9	40004	40111	40124	0	0	0	20146	20840	0	0			
175	1	8	4	3	100	10002	10005	10004	20686	20230	20416	20304	20130	20572	20218	20214	20224		9	40014	40101	40022	0	20230	0	0	20130	0	0	0	0	
176	1	9		3	100	10006	10003	10010	20243	20586	20369	20786	20369	20456					10	40007	40116	40103	0	0	0	0	0	0				
177	1	9	1	3	100	10007	10010	10008	20578	20528	20754	20156	20778						10	40113	40009	40108	0	0	0	0	0					
178	1	9	2	3	100	10007	10002	10003	20586	20245	20048	20756	20506	20132	20588				10	40005	40008	40107	0	0	0	20756	20506	0	0			
179	1	9	3	3	100	10004	10003	10008	20562	20738	20738	20606	20841	20200	20696	20696	20158		10	40112	40105	40017	0	20738	20738	20606	20841	0	0	0	0	
180	1	9	4	3	100	10007	10004	10009	20656	20592	20742	20614	20590	20434	20422	20572	20830	20514	10	40005	40014	40126	20656	20592	20742	20614	20590	0	0	0	0	0
181	1	10		3	100	10006	10003	10010	20243	20586	20369	20786	20369	20456					10	40007	40116	40103	0	0	0	0	0	0				
182	1	10	1	3	100	10007	10010	10008	20578	20528	20754	20156	20778						10	40113	40009	40108	0	0	0	0	0					
183	1	10	2	3	100	10007	10002	10003	20586	20245	20048	20756	20506	20132	20588				10	40005	40008	40107	0	0	0	20756	20506	0	0			
184	1	10	3	3	100	10004	10003	10008	20562	20738	20738	20606	20841	20200	20696	20696	20158		10	40112	40105	40017	0	20738	20738	20606	20841	0	0	0	0	
185	1	10	4	3	100	10007	10004	10009	20656	20592	20742	20614	20590	20434	20422	20572	20830	20514	10	40005	40014	40126	20656	20592	20742	20614	20590	0	0	0	0	0
186	1	11		3	100	10006	10003	10010	20243	20586	20369	20786	20369	20456					10	40007	40116	40103	0	0	0	0	0	0				
187	1	11	1	3	100	10007	10010	10008	20578	20528	20754	20156	20778						10	40113	40009	40108	0	0	0	0	0					
188	1	11	2	3	100	10007	10002	10003	20586	20245	20048	20756	20506	20132	20588				10	40005	40008	40107	0	0	0	20756	20506	0	0			
189	1	11	3	3	100	10004	10003	10008	20562	20738	20738	20606	20841	20200	20696	20696	20158		10	40112	40105	40017	0	20738	20738	20606	20841	0	0	0	0	
190	1	11	4	3	100	10007	10004	10009	20656	20592	20742	20614	20590	20434	20422	20572	20830	20514	10	40005	40014	40126	20656	20592	20742	20614	20590	0	0	0	0	0
191	1	12		3	100	10006	10003	10010	20243	20586	20369	20786	20369	20456					10	40007	40116	40103	0	0	0	0	0	0				
192	1	12	1	3	100	10007	10010	10008	20578	20528	20754	20156	20778						10	40113	40009	40108	0	0	0	0	0					
193	1	12	2	3	100	10007	10002	10003	20586	20245	20048	20756	20506	20132	20588				10	40005	40008	40107	0	0	0	20756	20506	0	0			
194	1	12	3	3	100	10004	10003	10008	20562	20738	20738	20606	20841	20200	20696	20696	20158		10	40112	40105	40017	0	20738	20738	20606	20841	0	0	0	0	
195	1	12	4	3	100	10007	10004	10009	20656	20592	20742	20614	20590	20434	20422	20572	20830	20514	10	40005	40014	40126	20656	20592	20742	20614	20590	0	0	0	0	0
196	2			1	300	10104			20558	20758									1	40112			0	0								
197	2		1	1	300	10101			20816	20758	20824								1	40008			0	0	0							
198	2		2	1	300	10106	10105		20624	20508	20566								1	40017			0	0	0							
199	2		3	1	300	10110	10107		20516	20308	20448								1	40017			0	0	0							
200	2		4	1	300	10106	10103	10107	20550	20774	20448	20442							1	40004			0	0	0	0						
201	2	1		1	300	10108			20550	20700	20650								2	40111			0	0	0							
202	2	1	1	1	300	10110	10102		20016	20308	20700								2	40004			0	0	0							
203	2	1	2	1	300	10107	10103		20674	20558	20568								2	40114			0	0	0							
204	2	1	3	1	300	10104	10105	10101	20566	20682	20106	20660							2	40115			0	0	0	0						
205	2	1	4	1	300	10102	10103	10104	20774	20365	20510	20347							2	40109			0	0	0	0						
206	2	2		1	300	10108	10105		20508	20716	20524								3	40016			0	0	0							
207	2	2	1	1	300	10102	10110		20832	20816	20518								3	40015			0	0	0							
208	2	2	2	1	300	10104	10109	10108	20824	20666	20128	20058							3	40112			0	0	0	0						
209	2	2	3	1	300	10103	10104	10102	20016	20365	20154	20652							3	40005			0	0	0	0						
210	2	2	4	1	300	10108	10102	10110	20249	20400	20359	20448	20142						3	40009			0	0	0	0	0					
211	2	3		1	300	10108	10102		20016	20816	20676								4	40005			0	0	0							
212	2	3	1	1	300	10101	10106	10108	20308	20624	20660	20359							4	40015			0	0	0	0						
213	2	3	2	1	300	10103	10109	10110	20632	20810	20160	20046							4	40004			0	0	0	0						
214	2	3	3	1	300	10110	10102	10107	20261	20810	20768	20784	20518						4	40011			0	0	0	0	0					
215	2	3	4	1	300	10103	10104	10107	20802	20768	20568	20826	20676						4	40004			0	0	0	0	0					
216	2	4		1	300	10101	10106	10105	20824	20624	20760	20652							5	40002	40011		0	0	0	0						
217	2	4	1	1	300	10104	10110	10107	20318	20776	20255	20502							5	40001	40106		0	0	0	0						
218	2	4	2	1	300	10102	10107	10110	20834	20510	20052	20584	20618						5	40112	40110		0	0	0	0	0					
219	2	4	3	1	300	10102	10110	10109	20552	20834	20710	20502	20818						5	40010	40008		0	0	0	0	0					
220	2	4	4	1	300	10107	10109	10110	20261	20718	20046	20048	20554	20355					5	40007	40014		0	0	0	0	0	0				
221	2	5		1	300	10109	10106	10105	20558	20660	20518	20826							6	40007	40113		0	0	0	0						
222	2	5	1	1	300	10104	10102	10107	20128	20618	20668	20046	20826						6	40005	40005		0	0	0	0	0					
223	2	5	2	1	300	10108	10110	10109	20448	20046	20255	20128	20718						6	40110	40125		0	0	0	0	0					
224	2	5	3	1	300	10107	10105	10101	20261	20718	20526	20156	20628	20678					6	40001	40106		0	0	0	0	0	0				
225	2	5	4	1	300	10101	10105	10110	20810	20662	20820	20355	20654	20686					6	40115	40114		0	0	0	0	0	0				
226	2	6		1	300	10103	10110	10105	20249	20359	20347	20448	20568						7	40114	40004		0	0	0	0	0					
227	2	6	1	1	300	10102	10110	10107	20154	20160	20400	20454	20768						7	40005	40005		0	0	0	0	0					
228	2	6	2	1	300	10104	10110	10103	20502	20454	20634	20586	20828	20654					7	40001	40008		0	0	0	0	0	0				
229	2	6	3	1	300	10108	10106	10109	20752	20265	20162	20156	20828	20636					7	40007	40015		0	0	0	0	0	0				
230	2	6	4	1	300	10110	10107	10106	20265	20251	20456	20778	20554						7	40113	40110		0	0	0	0	0					
231	2	7		1	300	10106	10103	10104	20110	20718	20552	20046	20760						8	40013	40012		0	0	0	0	0					
232	2	7	1	1	300	10102	10107	10101	20610	20676	20826	20251	20060	20636					8	40003	40114		0	0	0	0	0	0				
233	2	7	2	1	300	10110	10103	10106	20442	20828	20456	20361	20636	20820					8	40115	40011		0	0	0	0	0	0				
234	2	7	3	1	300	10103	10109	10110	20570	20060	20712	20820	20786						8	40011	40113		0	0	0	0	0					
235	2	7	4	1	300	10104	10108	10106	20812	20828	20355	20422	20028	20056	20050				8	40113	40014		0	0	0	0	20028	0	0			
236	2	8		1	300	10109	10108	10110	20710	20568	20058	20536	20060	20670					9	40010	40126	40124	0	0	0	0	0	0				
237	2	8	1	1	300	10107	10104	10101	20128	20586	20536	20828	20520	20586					9	40007	40016	40110	0	0	0	0	0	0				
238	2	8	2	1	300	10110	10101	10107	20349	20369	20156	20812	20048						9	40006	40102	40104	0	0	0	0	0					
239	2	8	3	1	300	10104	10102	10106	20450	20770	20144	20764	20334	20130	20336				9	40109	40009	40111	0	0	0	20764	20334	0	0			
