Id	Count	ClearRewardId	Icon	IconLock	ChapterIcon	ChapterIconLock	ChapterEffect
11	8	66225	Assets/Product/Texture/Image/UiCollection/Iconcollection198.png	Assets/Product/Texture/Image/UiCollection/Iconcollection198B.png	Assets/Product/Texture/Image/UiCollection/Iconcollection198.png	Assets/Product/Texture/Image/UiCollection/Iconcollection198B.png	
12	12	66422	Assets/Product/Texture/Image/UiCollection/Iconcollection208.png	Assets/Product/Texture/Image/UiCollection/Iconcollection208B.png	Assets/Product/Texture/Image/UiCollection/Iconcollection208.png	Assets/Product/Texture/Image/UiCollection/Iconcollection208B.png	
13	6	66878	Assets/Product/Texture/Image/UiCollection/Iconcollection210.png	Assets/Product/Texture/Image/UiCollection/Iconcollection210B.png	Assets/Product/Texture/Image/UiCollection/Iconcollection210.png	Assets/Product/Texture/Image/UiCollection/Iconcollection210B.png	
14	4	66879	Assets/Product/Texture/Image/UiCollection/Iconcollection211.png	Assets/Product/Texture/Image/UiCollection/Iconcollection211B.png	Assets/Product/Texture/Image/UiCollection/Iconcollection211.png	Assets/Product/Texture/Image/UiCollection/Iconcollection211B.png	
15	7	67078	Assets/Product/Texture/Image/UiCollection/Iconcollection218.png	Assets/Product/Texture/Image/UiCollection/Iconcollection218B.png	Assets/Product/Texture/Image/UiCollection/Iconcollection218.png	Assets/Product/Texture/Image/UiCollection/Iconcollection218B.png	
16	6	67160	Assets/Product/Texture/Image/UiCollection/Iconcollection222.png	Assets/Product/Texture/Image/UiCollection/Iconcollection222B.png	Assets/Product/Texture/Image/UiCollection/Iconcollection222.png	Assets/Product/Texture/Image/UiCollection/Iconcollection222B.png	
17	9	67208	Assets/Product/Texture/Image/UiCollection/Iconcollection225.png	Assets/Product/Texture/Image/UiCollection/Iconcollection225B.png	Assets/Product/Texture/Image/UiCollection/Iconcollection225.png	Assets/Product/Texture/Image/UiCollection/Iconcollection225B.png	
18	9	67462	Assets/Product/Texture/Image/UiCollection/Iconcollection230.png	Assets/Product/Texture/Image/UiCollection/Iconcollection230B.png	Assets/Product/Texture/Image/UiCollection/Iconcollection230.png	Assets/Product/Texture/Image/UiCollection/Iconcollection230B.png	
19	8	67822	Assets/Product/Texture/Image/UiCollection/Iconcollection234.png	Assets/Product/Texture/Image/UiCollection/Iconcollection234B.png	Assets/Product/Texture/Image/UiCollection/Iconcollection234.png	Assets/Product/Texture/Image/UiCollection/Iconcollection234B.png	
20	7	68022	Assets/Product/Texture/Image/UiCollection/Iconcollection238.png	Assets/Product/Texture/Image/UiCollection/Iconcollection238B.png	Assets/Product/Texture/Image/UiCollection/Iconcollection238.png	Assets/Product/Texture/Image/UiCollection/Iconcollection238B.png	
21	8	68302	Assets/Product/Texture/Image/UiCollection/Iconcollection242.png	Assets/Product/Texture/Image/UiCollection/Iconcollection242B.png	Assets/Product/Texture/Image/UiCollection/Iconcollection242.png	Assets/Product/Texture/Image/UiCollection/Iconcollection242B.png	
22	7	69070	Assets/Product/Texture/Image/UiCollection/Iconcollection247.png	Assets/Product/Texture/Image/UiCollection/Iconcollection247B.png	Assets/Product/Texture/Image/UiCollection/Iconcollection247.png	Assets/Product/Texture/Image/UiCollection/Iconcollection247B.png	
23	6	69223	Assets/Product/Texture/Image/UiCollection/Iconcollection248.png	Assets/Product/Texture/Image/UiCollection/Iconcollection248B.png	Assets/Product/Texture/Image/UiCollection/Iconcollection248.png	Assets/Product/Texture/Image/UiCollection/Iconcollection248B.png	
