ChapterId	Difficult	DifficultName	DifficultEnName	DifficultColor	Desc	ActivityTimeId	ActivityCondition	OpenCondition	StageGroupIds[1]	StageGroupIds[2]	StageGroupIds[3]	StageGroupIds[4]	StageGroupIds[5]	StageGroupIds[6]	StageGroupIds[7]	StageGroupIds[8]	StageGroupIds[9]	StageGroupIds[10]	StageGroupIds[11]	PrefabName	BgStageIndexs[1]	BgStageIndexs[2]	TitleTextColors[1]	TitleTextColors[2]	LeftTimeTextColors[1]	LeftTimeTextColors[2]	ProgressTextColors[1]	ProgressTextColors[2]	TreasureId	AchievementId	SkipIds[1]	SkipIds[2]	SkipConditions[1]	SkipConditions[2]	SkipIcons[1]	SkipIcons[2]	SkipNames[1]	SkipNames[2]	SkipChapterNames[1]	SkipChapterNames[2]	EggIds[1]	SpineStageIndexs[1]	SpineStageIndexs[2]	SpineStageIndexs[3]	SpineStageIndexs[4]	SpineStageIndexs[5]	SpineStageIndexs[6]	SpineStageIndexs[7]	SpineStageIndexs[8]	SpineStageIndexs[9]	SpineStageIndexs[10]	SpineStageIndexs[11]	SpineStageIndexs[12]	SpineStageIndexs[13]	SpineProgressWans[1]	SpineProgressWans[2]	SpineProgressWans[3]	SpineProgressWans[4]	SpineProgressWans[5]	SpineProgressWans[6]	SpineProgressWans[7]	SpineProgressWans[8]	SpineProgressWans[9]	SpineProgressWans[10]	SpineProgressWans[11]	SpineProgressWans[12]	SpineProgressWans[13]	BgSpineStageIndexs[1]	BgSpineStageIndexs[2]	BgSpineStageIndexs[3]	BgSpineStageIndexs[4]	BgSpineStageIndexs[5]	BgSpineStageIndexs[6]	BgSpineStageIndexs[7]	BgSpineStageIndexs[8]	BgSpineProgressWans[1]	BgSpineProgressWans[2]	BgSpineProgressWans[3]	BgSpineProgressWans[4]	BgSpineProgressWans[5]	BgSpineProgressWans[6]	BgSpineProgressWans[7]	BgSpineProgressWans[8]
1033	1	Normal	Difficulty				30406	770400	28	29	30	31	32							Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor33.prefab	1		#ffffff		#0f70BC		#ffffff				522		1007109		Assets/Product/Texture/Image/StoryJump/StoryMainLineJump34.png		Next Chapter		Dream till the Timeless End																																												
2010	1	Normal	Difficulty				30406	770400	33	34	35									Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor10DP.prefab	1		#ffffff		#0f70BC		#ffffff				523		1007113		Assets/Product/Texture/Image/StoryJump/StoryShortJump12.png		Floating Record: Chapter 11		Begin Anew																																												
1034	1	Normal	Difficulty				30406	770400	36											Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor34.prefab	1		#ffffff		#53B3FF		#ffffff				525		1007115		Assets/Product/Texture/Image/StoryJump/StoryMainLineJump35.png		Next Chapter		Echoes Adrift																																												
2011	1	Normal Story	N	#49E6FF			30406	770400	37											Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor11DPA.prefab	1		#ffffff		#0f70BC		#ffffff				524		1007117		Assets/Product/Texture/Image/StoryJump/StoryShortJump13.png		Floating Record: Chapter 12		Spark to Wildfire																																												
2111	2	Hidden Story	H	#AF49FF			1007116	1007116	38											Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor11DPB.prefab	1		#ffffff		#0f70BC		#ffffff				524		1007117		Assets/Product/Texture/Image/StoryJump/StoryShortJump13.png		Floating Record: Chapter 12		Spark to Wildfire																																												
2012	1	Normal	Difficulty				30406	770400	39	40	41									Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor12DP.prefab	1		#ffffff		#0f70BC		#ffffff				527		1007118		Assets/Product/Texture/Image/StoryJump/StoryShortJump14.png		Floating Record: Chapter 13		Woven Prologue																																												
1035	1	NORMAL	Difficulty				30406	770400	42											Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor36.prefab	1		#ffffff		#0f70BC		#ffffff				526		1007126		Assets/Product/Texture/Image/StoryJump/StoryMainLineJump36.png		Next Chapter		Dreams Rewound																																												
1036	1	NORMAL	Difficulty				1007130	770400	43	44	45									Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor35.prefab	1		#ffffff		#0f70BC		#ffffff				529		1007127		Assets/Product/Texture/Image/StoryJump/StoryMainLineJump37.png		Next Chapter		Where Nightmares Dwell																																												
2013	1	NORMAL	Difficulty				30406	770400	46	47	48	49								Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor13DP.prefab	1		#ffffff		#0f70BC		#ffffff				528		1007131		Assets/Product/Texture/Image/StoryJump/StoryShortJump15.png		Floating Record: Chapter 14		Ideal Cage																																												
2014	1	Normal	Difficulty				30406	770400	50	51	52	53								Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor14DP.prefab	1		#ffffff		#0f70BC		#ffffff				533		1007137		Assets/Product/Texture/Image/StoryJump/StoryShortJump16.png		浮点纪实·第15章		The Dying Sun																																												
1037	1	NORMAL	Difficulty				770400	770400	54											Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor37.prefab	1		#ffffff		#0f70BC		#ffffff				530		1007138		Assets/Product/Texture/Image/StoryJump/StoryMainLineJump39.png		Next Chapter		Sightline Breach																																												
1038	1	NORMAL	Difficulty				770400	770400	55	56	57									Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor38.prefab	1		#ffffff		#0f70BC		#ffffff				531		1007143		Assets/Product/Texture/Image/StoryJump/StoryMainLineJump40.png		Next Chapter		Withering Crown		1																																										
1039	1	NORMAL	Difficulty				770400	770400	58											Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor37.prefab	1		#ffffff		#0f70BC		#ffffff																																																								
1040	1	NORMAL	Difficulty				770400	770400	59											Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor40.prefab	1		#ffffff		#0f70BC		#ffffff				534		1007149		Assets/Product/Texture/Image/StoryJump/StoryMainLineJump41.png		Next Chapter		Homecoming Voyage		2	3	4	5	10	11	16	17	19	21					531	1424	3303	3758	5242	6382	7500	8000	9000					2	3	8	9	12	13	18	19	1667	2333	3833	4333	6333	7833	7866	8467
2015	1	NORMAL	Difficulty				770400	770400	60											Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor15DP.prefab	1		#ffffff		#0f70BC		#ffffff				535		1007151		Assets/Product/Texture/Image/StoryJump/StoryShortJump17.png		Floating Record: Chapter 16		Of Solitude and Stillness			2	3	4	9	10	15	16	19	20	23	24	25		1150	2150	3300	3750	4250	4900	5200	6000	6100	7900	8100	9600																	
1041	1	NORMAL	Difficulty				770400	770400	61											Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor41.prefab	1		#ffffff		#0f70BC		#ffffff															3	4	8	9	14	15	17	18	20	22	26	27	28	1114	1375	2544	2779	4814	5457	5502	5663	6557	7658	8757	8940	9582																
2016	1	NORMAL	Difficulty			48301	770400	770400	62											Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor16DP.prefab	1		#ffffff		#0f70BC		#ffffff																																																								
