Id	Name	Title	NameplateQuality	Group	Description	NameplateGetWay	NameplateUpgradeType	DecomposeExp	UpgradeExp	ConvertItemId	ConvertItemCount	ExpireTimeStr	Duration	PlusTime	IconType	Icon	Params[1]	Params[2]	Hint[1]	Hint[2]	BackBoard	OutLineColor	QualityIcon	EffectRes
17040601	46	46	1	406	47	29	2	0	0	0	0		0	0	2		6	10000	100000048	225000049	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17040602	46	46	2	406	47	29	2	0	0	0	0		0	0	2		6	22500	100000048	225000049	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17040603	46	46	3	406	47	29	2	0	0	0	0		0	0	2				100000048	225000049	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17040701	50	50	1	407	51	29	2	0	0	0	0		0	0	2		7	10000	100000052	225000053	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17040702	50	50	2	407	51	29	2	0	0	0	0		0	0	2		7	22500	100000052	225000053	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17040703	50	50	3	407	51	29	2	0	0	0	0		0	0	2				100000052	225000053	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17040801	54	54	1	408	55	29	2	0	0	0	0		0	0	2		8	10000	100000056	225000057	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17040802	54	54	2	408	55	29	2	0	0	0	0		0	0	2		8	22500	100000056	225000057	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17040803	54	54	3	408	55	29	2	0	0	0	0		0	0	2				100000056	225000057	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17040901	58	58	1	409	59	29	2	0	0	0	0		0	0	2		9	10000	100000060	225000061	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17040902	58	58	2	409	59	29	2	0	0	0	0		0	0	2		9	22500	100000060	225000061	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17040903	58	58	3	409	59	29	2	0	0	0	0		0	0	2				100000060	225000061	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17041001	62	62	1	410	63	29	2	0	0	0	0		0	0	2		10	10000	100000064	225000065	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17041002	62	62	2	410	63	29	2	0	0	0	0		0	0	2		10	22500	100000064	225000065	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17041003	62	62	3	410	63	29	2	0	0	0	0		0	0	2				100000064	225000065	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17041101	66	66	1	411	67	29	2	0	0	0	0		0	0	2		11	10000	100000068	225000069	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17041102	66	66	2	411	67	29	2	0	0	0	0		0	0	2		11	22500	100000068	225000069	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17041103	66	66	3	411	67	29	2	0	0	0	0		0	0	2				100000068	225000069	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17041201	70	70	1	412	71	29	2	0	0	0	0		0	0	2		12	10000	100000072	225000073	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17041202	70	70	2	412	71	29	2	0	0	0	0		0	0	2		12	22500	100000072	225000073	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17041203	70	70	3	412	71	29	2	0	0	0	0		0	0	2				100000072	225000073	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17041301	74	74	1	413	75	29	2	0	0	0	0		0	0	2		13	10000	100000076	225000077	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17041302	74	74	2	413	75	29	2	0	0	0	0		0	0	2		13	22500	100000076	225000077	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17041303	74	74	3	413	75	29	2	0	0	0	0		0	0	2				100000076	225000077	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17041401	78	78	1	414	79	29	2	0	0	0	0		0	0	2		14	10000	100000080	225000081	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17041402	78	78	2	414	79	29	2	0	0	0	0		0	0	2		14	22500	100000080	225000081	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17041403	78	78	3	414	79	29	2	0	0	0	0		0	0	2				100000080	225000081	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17041501	82	82	1	415	83	29	2	0	0	0	0		0	0	2		15	10000	100000084	225000085	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17041502	82	82	2	415	83	29	2	0	0	0	0		0	0	2		15	22500	100000084	225000085	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17041503	82	82	3	415	83	29	2	0	0	0	0		0	0	2				100000084	225000085	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17041601	86	86	1	416	87	29	2	0	0	0	0		0	0	2		16	10000	100000088	225000089	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17041602	86	86	2	416	87	29	2	0	0	0	0		0	0	2		16	22500	100000088	225000089	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17041603	86	86	3	416	87	29	2	0	0	0	0		0	0	2				100000088	225000089	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17041701	90	90	1	417	91	29	2	0	0	0	0		0	0	2		17	10000	100000092	225000093	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17041702	90	90	2	417	91	29	2	0	0	0	0		0	0	2		17	22500	100000092	225000093	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17041703	90	90	3	417	91	29	2	0	0	0	0		0	0	2				100000092	225000093	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17041801	94	94	1	418	95	29	2	0	0	0	0		0	0	2		18	10000	100000096	225000097	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17041802	94	94	2	418	95	29	2	0	0	0	0		0	0	2		18	22500	100000096	225000097	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17041803	94	94	3	418	95	29	2	0	0	0	0		0	0	2				100000096	225000097	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17041901	98	98	1	419	99	29	2	0	0	0	0		0	0	2		19	10000	100000100	225000101	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17041902	98	98	2	419	99	29	2	0	0	0	0		0	0	2		19	22500	100000100	225000101	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17041903	98	98	3	419	99	29	2	0	0	0	0		0	0	2				100000100	225000101	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17042001	102	102	1	420	103	29	2	0	0	0	0		0	0	2		20	10000	100000104	225000105	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17042002	102	102	2	420	103	29	2	0	0	0	0		0	0	2		20	22500	100000104	225000105	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17042003	102	102	3	420	103	29	2	0	0	0	0		0	0	2				100000104	225000105	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17042101	106	106	1	421	107	29	2	0	0	0	0		0	0	2		21	10000	100000108	225000109	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17042102	106	106	2	421	107	29	2	0	0	0	0		0	0	2		21	22500	100000108	225000109	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17042103	106	106	3	421	107	29	2	0	0	0	0		0	0	2				100000108	225000109	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17042201	110	110	1	422	111	29	2	0	0	0	0		0	0	2		22	10000	100000112	225000113	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17042202	110	110	2	422	111	29	2	0	0	0	0		0	0	2		22	22500	100000112	225000113	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17042203	110	110	3	422	111	29	2	0	0	0	0		0	0	2				100000112	225000113	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17042301	114	114	1	423	115	29	2	0	0	0	0		0	0	2		23	10000	100000116	225000117	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17042302	114	114	2	423	115	29	2	0	0	0	0		0	0	2		23	22500	100000116	225000117	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17042303	114	114	3	423	115	29	2	0	0	0	0		0	0	2				100000116	225000117	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17042401	118	118	1	424	119	29	2	0	0	0	0		0	0	2		24	10000	100000120	225000121	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17042402	118	118	2	424	119	29	2	0	0	0	0		0	0	2		24	22500	100000120	225000121	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17042403	118	118	3	424	119	29	2	0	0	0	0		0	0	2				100000120	225000121	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17050101	122	122	1	501	123	10125	3	100	100	0	0		1296000	0	1	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateT101.png			150124					Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeNameplateT101.prefab
17050102	122	122	2	501	123	10125	3	100	100	0	0		2592000	0	1	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateT101.png			300124					Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeNameplateT101.prefab
17050103	122	122	3	501	123	10125	3	100	0	0	0		3888000	0	1	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateT101.png			450124					Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeNameplateT101.prefab
17050104	126	126	1	502	127	300129	3	100	100	0	0		1296000	0	1	Assets/Product/Texture/Atlas/UiNameplate/UiNameplatet204.png			150128					
17050105	126	126	2	502	127	300130	3	100	100	0	0		1296000	0	1	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateT202.png			150128					
17050106	126	126	3	502	127	100130	3	100	0	0	0		1296000	0	1	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateT209.png			150128					
17050107	131	131	1	503	127	300132	3	100	100	0	0		1296000	0	1	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateT207.png			150128					
17050108	131	131	2	503	127	300133	3	100	100	0	0		1296000	0	1	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateT205.png			150128					
17050109	131	131	3	503	127	100133	3	100	0	0	0		1296000	0	1	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateT201.png			150128					
17050110	134	134	1	504	127	300135	3	100	100	0	0		1296000	0	1	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateT203.png			150128					
17050111	134	134	2	504	127	300136	3	100	100	0	0		1296000	0	1	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateT208.png			150128					
17050112	134	134	3	504	127	100136	3	100	0	0	0		1296000	0	1	Assets/Product/Texture/Atlas/UiNameplate/UiNameplatet206.png			150128					
17050113	137	137	1	601	138	140	1	0	0	0	0		604800	0	1	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSingleBossT1N1s.png			70139					Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeNameplateT1N1.prefab
17050114	141	141	1	602	142	143	1	0	0	0	0		604800	0	1	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSingleBossT2N1s.png			70139					
17050115	144	144	1	603	145	146	1	0	0	0	0		604800	0	1	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSingleBossT2N2s.png			70139					
17050116	147	147	3	604	148	10149	1	0	0	0	0		604800	0	1	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSingleBossT1N2s.png			70139					Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeNameplateT1N2.prefab
17050117	150	150	2	605	151	152	1	0	0	0	0		604800	0	1	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSingleBossT2N3s.png			70139					
17050118	153	153	1	606	154	155	1	0	0	0	0		604800	0	1	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSingleBossT2N4s.png			70139					
17060101	156	156	1	701	26	29	2	0	0	0	0		0	0	2		201	20000	200000157	450000028	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar01.png	4d4d50	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17060102	156	156	2	701	26	29	2	0	0	0	0		0	0	2		201	45000	200000157	450000028	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar02.png	414c72	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17060103	156	156	3	701	26	29	2	0	0	0	0		0	0	1	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar08.png			200000157	450000028				Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainJiangbing.prefab
17060201	158	158	1	702	31	29	2	0	0	0	0		0	0	2		202	20000	200000159	450000033	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar01.png	4d4d50	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17060202	158	158	2	702	31	29	2	0	0	0	0		0	0	2		202	45000	200000159	450000033	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar02.png	414c72	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17060203	158	158	3	702	31	29	2	0	0	0	0		0	0	1	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar16.png			200000159	450000033				Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainJiangbing.prefab
17060301	160	160	1	703	35	29	2	0	0	0	0		0	0	2		203	20000	200000161	450000037	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar01.png	4d4d50	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17060302	160	160	2	703	35	29	2	0	0	0	0		0	0	2		203	45000	200000161	450000037	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar02.png	414c72	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17060303	160	160	3	703	35	29	2	0	0	0	0		0	0	1	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar23.png			200000161	450000037				Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainJiangbing.prefab
17060401	162	162	1	704	39	29	2	0	0	0	0		0	0	2		204	20000	200000163	450000041	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar01.png	4d4d50	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17060402	162	162	2	704	39	29	2	0	0	0	0		0	0	2		204	45000	200000163	450000041	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar02.png	414c72	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17060403	162	162	3	704	39	29	2	0	0	0	0		0	0	1	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar21.png			200000163	450000041				Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainJiangbing.prefab
17060501	164	164	1	705	43	29	2	0	0	0	0		0	0	2		205	20000	200000165	450000045	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar01.png	4d4d50	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17060502	164	164	2	705	43	29	2	0	0	0	0		0	0	2		205	45000	200000165	450000045	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar02.png	414c72	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17060503	164	164	3	705	43	29	2	0	0	0	0		0	0	1	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar05.png			200000165	450000045				Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainJiangbing.prefab
17060601	166	166	1	706	47	29	2	0	0	0	0		0	0	2		206	20000	200000167	450000049	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar01.png	4d4d50	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17060602	166	166	2	706	47	29	2	0	0	0	0		0	0	2		206	45000	200000167	450000049	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar02.png	414c72	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17060603	166	166	3	706	47	29	2	0	0	0	0		0	0	1	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar10.png			200000167	450000049				Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainJiangbing.prefab
17060701	168	168	1	707	51	29	2	0	0	0	0		0	0	2		207	20000	200000169	450000053	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar01.png	4d4d50	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17060702	168	168	2	707	51	29	2	0	0	0	0		0	0	2		207	45000	200000169	450000053	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar02.png	414c72	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17060703	168	168	3	707	51	29	2	0	0	0	0		0	0	1	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar13.png			200000169	450000053				Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainJiangbing.prefab
17060801	170	170	1	708	55	29	2	0	0	0	0		0	0	2		208	20000	200000171	450000057	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar01.png	4d4d50	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17060802	170	170	2	708	55	29	2	0	0	0	0		0	0	2		208	45000	200000171	450000057	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar02.png	414c72	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17060803	170	170	3	708	55	29	2	0	0	0	0		0	0	1	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar11.png			200000171	450000057				Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainJiangbing.prefab
17060901	172	172	1	709	59	29	2	0	0	0	0		0	0	2		209	20000	200000173	450000061	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar01.png	4d4d50	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17060902	172	172	2	709	59	29	2	0	0	0	0		0	0	2		209	45000	200000173	450000061	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar02.png	414c72	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17060903	172	172	3	709	59	29	2	0	0	0	0		0	0	1	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar03.png			200000173	450000061				Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainJiangbing.prefab
17061001	174	174	1	710	63	29	2	0	0	0	0		0	0	2		2010	20000	200000175	450000065	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar01.png	4d4d50	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17061002	174	174	2	710	63	29	2	0	0	0	0		0	0	2		2010	45000	200000175	450000065	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar02.png	414c72	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17061003	174	174	3	710	63	29	2	0	0	0	0		0	0	1	Assets/Product/Texture/Atlas/UiNameplate/UINameplatetMoeWar26.png			200000175	450000065				Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainJiangbing.prefab
