Id	EventId	StepId	Type	OptionDesc[1]	OptionDesc[2]	OptionDesc[3]	OptionDesc[4]	OptionDownDesc[1]	OptionDownDesc[2]	OptionDownDesc[3]	OptionDownDesc[4]	OptionType[1]	OptionType[2]	OptionType[3]	OptionType[4]	OptionItemType[1]	OptionItemType[2]	OptionItemType[3]	OptionItemType[4]	OptionItemId[1]	OptionItemId[2]	OptionItemId[3]	OptionItemId[4]	OptionItemCount[1]	OptionItemCount[2]	OptionItemCount[3]	OptionItemCount[4]	OptionNextStepGroupId[1]	OptionNextStepGroupId[2]	OptionNextStepGroupId[3]	OptionNextStepGroupId[4]	Title	TitleContent	RoleName	RoleContent	EventDesc	ConfirmContent	BgAsset	StepRewardItemType	StepRewardItemId[1]	StepRewardItemId[2]	StepRewardItemId[3]	StepRewardItemCount[1]	StepRewardItemCount[2]	StepRewardItemCount[3]	RoleIcon	OptionCondition[1]	OptionCondition[2]	OptionCondition[3]	OptionCondition[4]	FightNodeId	EffectGroupId	NextStepId
11	104	1043	3																													Happy times	Take a few sips	Bar Small Town	...Lively as always...	You only drink occasionally for a little uplift and you must keep your head straight at all times for the long journey ahead.	Obtained supplies	Assets/Product/Texture/Image/BgStory/Bgstory423.jpg	1	96120			3										
12	105	1051	2	Choose Biomimetic Blood	Claim the Tinbread Cookies	Refuse the nun's help (requires activation of Insight)		Choose Biomimetic Blood	Claim the Tinbread Cookies	Refuse the nun's help		3	3	3		0	0	0		0	0	0		0	0	0		10511	10512	10513		Missionary	A nun walks toward you.	Nun	Are you a Curse Queller? Please take our...	When the kingdom, once so glorious, fell to calamity, doors to understanding ancient wisdom closed upon the world once more. Seekers of knowledge assemble from far and wide in an attempt to unearth the truth buried under the sands of time. After patiently listening to the history of the church, you sense there is something to be gained even for a non-believer like yourself as the nuns hand out supplies to passersby.	Made up your mind	Assets/Product/Texture/Image/BgStory/Bgstory364.png								Assets/Product/Texture/Image/RoleStory/CibeizheNormal03.png			1005046				
13	105	1052	3																													Missionary	You collect supplies given by the church.	Nun	Thank you for supporting our church. Please take this as a token of our gratitude.	You accept the nun's kind gesture. They make a prayer for your journey ahead.	Accept supplies	Assets/Product/Texture/Image/BgStory/Bgstory364.png	1	96120			3			Assets/Product/Texture/Image/RoleStory/CibeizheNormal03.png							
14	105	1053	3																													Missionary	You collect supplies given by the church.	Nun	Thank you for supporting our church. Please take this as a token of our gratitude.	You accept the nun's kind gesture. They make a prayer for your journey ahead.	Accept supplies	Assets/Product/Texture/Image/BgStory/Bgstory364.png	1	96119			10			Assets/Product/Texture/Image/RoleStory/CibeizheNormal03.png							
15	105	1054	3																													Missionary	Exit	Nun	Oh... Are you leaving already?	You find it difficult to forget the prayer you heard even though you did not accept the supplies given by the church...	Continue Journey	Assets/Product/Texture/Image/BgStory/Bgstory364.png	7	6			1			Assets/Product/Texture/Image/RoleStory/CibeizheNormal03.png							
16	106	1061	2	Try pouring in 3 bottles of Biomimetic Blood	Drop 8 Tinbread Cookies	Like anyone is going to believe this		Biomimetic Blood x3	Tinbread Cookie x8	Leave		1	1	3		1	1	0		96120	96119	0		3	8	0		10611	10612	10613		Wishing Well	You stroll among the woods.	A deserted well	Bottomless	A rotten old well out of nowhere attracts your attention. It reminds you of a myth that doesn't hurt to try—dropping coins into dried-up wells for good luck, that is.	Made up your mind	Assets/Product/Texture/Image/BgStory/Bgstory374.png															
17	106	1062	3																													Wishing Well	The storm is howling...	A deserted well	The howling winds	The idea of dropping a few drops of Biomimetic Blood into the well suddenly comes to you. Before you know it, winds pick up dust and swerve around you. When you open your eyes again, a crumpled letter lands at your feet. It contains the location of the outliers yearning for companions.	Open the letter	Assets/Product/Texture/Image/BgStory/Bgstory374.png	4	9002			1										
18	106	1063	3																													Wishing Well	Nothing's happening?	A deserted well	Not a single sound.	You throw a few Tinbread Cookies into the well in anticipation, but nothing happens. Just as you're about to leave, you notice a supply crate behind the rundown well.	Open the box	Assets/Product/Texture/Image/BgStory/Bgstory374.png	3	2			1										
19	106	1064	1																													Wishing Well	Better not waste it	A deserted well	Bottomless	You realize that these myths have no basis so it's better not to waste your money on them.	Continue Journey	Assets/Product/Texture/Image/BgStory/Bgstory377.png															
20	107	1071	2	Offer 6 Tinbread Cookies for the deal	Bid him farewell			6 Tinbread Cookies	Bid him farewell			1	3			1	0			96119	0			6	0			10711	10712			Homebound Traveler	A chance meeting on the journey	An exhausted man	Greetings... Mind if I borrow you for a minute?	You cross paths with a tattered man, an archaeologist who made his way here looking for what rumors say are traces of the crimson creatures. Yet years of pursuit have led to nothing, and the yearning in his heart urges him to sell all that he has so he can finally go home.	Made up your mind	Assets/Product/Texture/Image/BgStory/Bgstory377.png								Assets/Product/Texture/Image/RoleStory/LuolanNormal12.png							
21	107	1072	3																													Homebound Traveler	You trade supplies.	An exhausted man	Thank you so much for your help. May God be with you on your journey.	You trade some Tinbread Cookies for a few of his items. Hopefully, that will keep him alive on his way to the next village.	Accept supplies	Assets/Product/Texture/Image/BgStory/Bgstory377.png	1	96120			6			Assets/Product/Texture/Image/RoleStory/LuolanNormal12.png							
22	107	1073	1																													Homebound Traveler	Bid him farewell	An exhausted man	Stay safe.	You bid farewell to the man you probably will never cross paths with again and wish that he will soon find a way back to his beloved homeland.	Continue Journey	Assets/Product/Texture/Image/BgStory/Bgstory377.png								Assets/Product/Texture/Image/RoleStory/LuolanNormal12.png							
23	108	1081	2	Buy information with 12 Tinbread Cookies	Buy supplies with 6 Tinbread Cookies	Buy antiques with 6 Tinbread Cookies	Leave and continue your journey	12 Tinbread Cookies	6 Tinbread Cookies	6 Tinbread Cookies		1	1	1	3	1	1	1	0	96119	96119	96119	0	12	6	6	0	10811	10812	10813	10814	Market	You arrive at a busy market.	Rowdy crowd	...Busy with the sounds of hawkers and shoppers...	There is a busy market in town. After the demise of civilization, these large markets were the key to the economic recovery. This is where you can get items that will be useful during your journey.	Made up your mind	Assets/Product/Texture/Image/BgStory/BgStory554.jpg															
24	108	1082	3																													Market	You meet an informant.	Informant	This is all I have. Follow the lead and see what you'll find.	You manage to reel some information out of the informant. There are a few interesting characters in this little town with the potential to become your travel companion.	Go to recruitment	Assets/Product/Texture/Image/BgStory/BgStory554.jpg	4	9002			1										
25	108	1083	3																													Market	You meet a merchant.	Merchant	Thank you for your business. Best of luck on your journey.	You manage to get your hands on a good amount of supplies. They will certainly be useful on your journey.	Accept supplies	Assets/Product/Texture/Image/BgStory/BgStory554.jpg	1	96120			6										
26	108	1084	3																													Market	You meet an antique dealer.	Antique Dealer	Mark my word. There are treasures in here!	You found a battered chest at an antique stall. The owner claims that the contents are worth a fortune.	Open the box	Assets/Product/Texture/Image/BgStory/BgStory554.jpg	3	2			1										
27	108	1085	1																													Market	I should focus.	Rowdy crowd	...Quiets down...	You think there are better uses for your funds and leave without purchasing anything.	Continue Journey	Assets/Product/Texture/Image/BgStory/BgStory554.jpg															
28	109	1091	2	Watch using 8 Tinbread Cookies	Not interested in the plays at all			Use 8 Tinbread Cookies	Leave			1	3			1	0			96119	0			8	0			10911	10912			Traveling Troupe	You meet a traveling troupe.	Traveling Troupe	...Busy with the sounds of hawkers and shoppers...	A traveling troupe is setting up a stage in this little town to put on their most famous show, The Horizon Blue Sun and the Red Moon. This play is an interpretation of a famous battle in the Mythical Age, where believers holding scepters light themselves up in flames to cleanse the world of disease and death. An admission fee is of course required.	Made up your mind	Assets/Product/Texture/Image/BgStory/Bgstory368.png															
29	109	1092	3																													Traveling Troupe	You watch the show.	Traveling Troupe	Actress: She's holding a scepter, even though the scepter is...	The play was a big success. After the curtain closes, you sit for a minute to take it all in, while recalling the faces of the actors with adventure gleaming in their eyes.	Recruit companion	Assets/Product/Texture/Image/BgStory/Bgstory368.png	4	9002			1										
30	109	1093	1																													Traveling Troupe	Exit	Traveling Troupe	...Quiets down...	You're not interested in the play and leave the enthusiastic crowd behind.	Continue Journey	Assets/Product/Texture/Image/BgStory/Bgstory368.png															
31	110	1101	2	Fulfill his requirements (Enter a difficult battle)	Keep your distance and leave quickly.				Leave			3	3			0	0			0	0			0	0			11011	11012			The last warrior	Hatred fills the air	Warrior	Come, come and join me in the craziest dance you can ever imagine!	A once-famous swordsman is blinded by resentment and asks for nothing but a final dual.	Made up your mind	Assets/Product/Texture/Image/BgStory/Bgstory360.png								Assets/Product/Texture/Image/RoleStory/BalaswordNomal.png							
32	110	1102	5																													The last warrior	You step into the deep bog of hate.	Warrior	Hahahahahahahahahahahahahaha... Hahahahahahaha!	You decide to end his hatred once in for all and walk straight into him... and into an inevitable and arduous battle.	Prepare for battle!	Assets/Product/Texture/Image/BgStory/Bgstory360.png								Assets/Product/Texture/Image/RoleStory/BalaswordNomal.png					70011		
33	110	1103	1																													The last warrior	You free yourself from the hate.	Warrior	No! Don't go, please...	You decide to quickly get yourself out of here. One filled with hatred only spells trouble.	Leave quickly	Assets/Product/Texture/Image/BgStory/Bgstory360.png								Assets/Product/Texture/Image/RoleStory/BalaswordNomal.png							
34	111	1111	2	A Gospel to End All Evil (Enter an arduous battle)	Keep your distance from her and leave swiftly				Leave			3	3			0	0			0	0			0	0			11111	11112			Gospel of Death	You hear about the legend of this land.	The Nun of Death	...Stay silent...	In the abandoned church on the fringe of town, a nun who embraced the forbidden faith lingers eternally. She seeks to bring to all living souls in this world the final gospel—death.	Made up your mind	Assets/Product/Texture/Image/BgStory/Bgstory358.png								Assets/Product/Texture/Image/RoleStory/XiunvNomal04.png							
35	111	1112	5																													Gospel of Death	Sever the unknown	The Nun of Death	As punishment for your blasphemy, turn to dust!	It is time to end such a malicious gospel.	Prepare for battle!	Assets/Product/Texture/Image/BgStory/Bgstory358.png								Assets/Product/Texture/Image/RoleStory/XiunvNomal04.png					70021		
36	111	1113	1																													Gospel of Death	Leave	The Nun of Death	...Stay silent...	Shouldn't have come this close to someone so foreboding. Let's leave at once!	Leave quickly	Assets/Product/Texture/Image/BgStory/Bgstory358.png								Assets/Product/Texture/Image/RoleStory/XiunvNomal04.png							
37	112	1121	2	Enter to search in the dense forest (Consume 2 Biomimetic Blood)	Dismiss and leave			Consume 2 Biomimetic Blood	Leave quickly			1	3			1	0			96120	0			2	0			11211	11212			Lost Child	You meet a blind old woman.	Blind Old Woman	My child... where are you...	You were wandering the outskirts of town when you met a blind old woman by the roadside. She lost her direction while looking for her son Grey and is offering all of her possessions in exchange for your help, but the forest she points to seems to be crawling with beasts and bandits.	Made up your mind	Assets/Product/Texture/Image/BgStory/Bgstory373.png								Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal01.png							
38	112	1122	2	Tell the truth	Tell her that you've found traces of her son			Tell the truth	Lie to her			3	3			0	0			0	0			0	0			11221	11222			Lost Child	You did not find Grey.	Blind Old Woman	You're back... Anything...?	After a long search, you find no trace of Grey in the forest. What do you tell the old lady when you see her?	Made up your mind	Assets/Product/Texture/Image/BgStory/Bgstory373.png								Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal01.png							
39	112	1123	1																													Lost Child	The forest is too dangerous.	Blind Old Woman	My child... Help! Somebody, please help...	You sense a malicious aura coming from the forest and finally made the difficult decision to leave without answering the old lady's plea for help.	Continue Journey	Assets/Product/Texture/Image/BgStory/Bgstory373.png								Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal01.png							
40	112	1124	3																													Lost Child	You inform her.	Blind Old Woman	Thank you... gracious stranger... Seems like I'll have to look elsewhere...	After hearing your explanation, the heartbroken old lady thanks you for your kindness, gifts you the ring she kept for her beloved son, and heads back into town.	Accept the gift	Assets/Product/Texture/Image/BgStory/Bgstory373.png	2	96			1			Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal01.png						150002	
41	112	1125	3																													Lost Child	You lied to her.	Blind Old Woman	God bless... I'm coming... I'm coming, my child...	The old lady believes your words and hands over everything she has before hurrying into the forest alone.	Continue Journey	Assets/Product/Texture/Image/BgStory/Bgstory373.png	1	96119	96120		6	3		Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal01.png							
42	113	1131	2	Treat him to a meal with 6 Tinbread Cookies.	Give him 2 bottles of Biomimetic Blood	Dismiss and leave		Consume Tinbread Cookies x6	2 bottles of Biomimetic Blood	Leave		1	1	3		1	1	0		96119	96120	0		6	2	0		11311	11312	11313		A curse called "knowledge"	You meet a young academic.	Young Academic	What should I do... I've been lost here for far too long...	A starving young lad sits on the side of the road with a troubled expression, which makes him seem out of place in this lively little town.	Made up your mind	Assets/Product/Texture/Image/BgStory/Bgstory381.png								Assets/Product/Texture/Image/RoleStory/PinminNormal01.png							
43	113	1132	2	Share your experiences of feeling lost with him	Encourage him to do more research			Interact	Encourage him			3	3			0	0			0	0			0	0			11321	11322			A curse called "knowledge"	You helped the young academic.	Young Academic	Thank you, kind-hearted stranger. Thank you so much.	Inspired by your passion, the young academic enjoys a pleasant time with you. He reveals that looking for the lost knowledge was an ambition he inherited from his mentor, but he has never felt qualified for this endeavor and is looking for guidance.	Made up your mind	Assets/Product/Texture/Image/BgStory/Bgstory381.png								Assets/Product/Texture/Image/RoleStory/PinminNormal01.png							
44	113	1133	1																													A curse called "knowledge"	You ignore the young academic.	Young Academic	...I guess I have no choice... but to go home now...	It's too much work to deal with people like this so you choose to ignore him.	Continue Journey	Assets/Product/Texture/Image/BgStory/Bgstory381.png								Assets/Product/Texture/Image/RoleStory/PinminNormal01.png							
45	113	1134	3																													A curse called "knowledge"	You accept the young lad's gift.	Young Academic	Please accept this. I am certain you are the only one who can grasp the wisdom contained in this antique book.	The academic is shocked at the extent of your knowledge. After a moment of thought, he hands you an antique book. It contains ancient wisdom from his school of thought that's been passed down for generations. He laments that someone as dull as he himself will never be able to comprehend the text's wisdom and wishes to pass it on to someone who can.	Accept the Antique Book	Assets/Product/Texture/Image/BgStory/Bgstory381.png	2	104			1			Assets/Product/Texture/Image/RoleStory/PinminNormal01.png						150003	
46	113	1135	3																													A curse called "knowledge"	You accept the young lad's gift.	Young Academic	Thank you so much for your encouragement. Please take these. I am certain that these notes will be of use to you.	You encourage the scholar to continue his own journey. He bids you a sorrowful farewell and gives you his notebook with records of his journey, hoping it'll be helpful to you.	Accept the Notebook	Assets/Product/Texture/Image/BgStory/Bgstory381.png	2	105			1			Assets/Product/Texture/Image/RoleStory/PinminNormal01.png							
47	114	1141	2	Support his pursuit of dreams with 3 bottles of Biomimetic Blood	Give him 6 Tinbread Cookies to move on	Dismiss and leave			6 Tinbread Cookies	Exit		1	1	3		1	1	0		96120	96119	0		3	6	0		11411	11412	11413		Full of "potential"!	You spot an artisan.	Robotics Artisan	Hello there, Traveler! Care to learn about some long-lost ancient robotics technology? All you have to do...	An artisan is tirelessly selling his dreams to you on the street of a tiny village. Incomplete knowledge of ancient technology has stalled the advancement of robotics, but this man believes that he has found the key to restoring its past glory. All he needs is some funds to help him build his "groundbreaking invention," or you can choose to pay him to stock up your armory.	Made up your mind	Assets/Product/Texture/Image/BgStory/Bgstory383.png								Assets/Product/Texture/Image/RoleStory/TongyongShihuangzheNormal01.png							
48	114	1142	3																													Full of "potential"!	The artisan "rebuilt" the robot fighter for you.	Robotics Artisan	I did it! It's not perfect, but that's OK!	With every ounce of his being, the artisan came up with what he thinks is the work of a lifetime. It looks like a fighter robot of the ancient world.	Accept the item	Assets/Product/Texture/Image/BgStory/Bgstory383.png	2	109			1			Assets/Product/Texture/Image/RoleStory/TongyongShihuangzheNormal01.png						150004	
49	114	1143	3																													Full of "potential"!	The engineer builds you something confusing.	Robotics Artisan	Fine, fine. I'll make you something because you seem sincere enough.	The engineer is disappointed but still makes an effort to build you an automatic cannon for fire support.	Accept the item	Assets/Product/Texture/Image/BgStory/Bgstory383.png	2	110			1			Assets/Product/Texture/Image/RoleStory/TongyongShihuangzheNormal01.png							
50	114	1144	1																													Full of "potential"!	The engineer leaves in disappointment.	Robotics Artisan	No...? OK...	You believe in your skills and don't think you need the help of robots.	Continue Journey	Assets/Product/Texture/Image/BgStory/Bgstory383.png								Assets/Product/Texture/Image/RoleStory/TongyongShihuangzheNormal01.png							
51	115	1151	2	Trade 2 bottles of Biomimetic Blood for useful Artifacts	Buy some Biomimetic Blood using 6 Tinbread Cookies	Actually, never mind		2 bottles of Biomimetic Blood	Tinbread Cookies x6	Leave		1	1	3		1	1	0		96120	96119	0		2	6	0		11511	11512	11513		Scavengers Party	You meet a group of Scavengers.	Group of Scavengers	Hey buddy, I've got loads of treasures here. Wanna take a look?	In a tiny room inside the fortress, a group of trespassing Scavengers is going through what they've collected after a day of scavenging. A myriad of ancient mechanical parts and supplies of all shapes and sizes scatter across the floor. They offer to sell you some of the items at prices much lower than the market prices.	Made up your mind	Assets/Product/Texture/Image/BgStory/Bgstory419.jpg								Assets/Product/Texture/Image/RoleStory/TongyongNanminxiaohai.png							
52	115	1152	3																													Scavengers Party	You reach a deal with them.	Group of Scavengers	You've got a sharp eye. We haven't even had a chance to open this one yet.	You trade for some useful "stuff" with the Scavengers. They swear that these will be of great use in the fortress.	Open the box	Assets/Product/Texture/Image/BgStory/Bgstory419.jpg	3	2			1			Assets/Product/Texture/Image/RoleStory/TongyongNanminxiaohai.png							
53	115	1153	3																													Scavengers Party	You reach a deal with them.	Group of Scavengers	This stuff saves lives. You certainly are a sharp one.	You trade for some extra reserves of Biomimetic Blood with the Scavengers. These may be useful in the adventure ahead.	Collect supplies	Assets/Product/Texture/Image/BgStory/Bgstory419.jpg	1	96120			3			Assets/Product/Texture/Image/RoleStory/TongyongNanminxiaohai.png							
54	115	1154	1																													Scavengers Party	Ignore them	Group of Scavengers	Then get lost...	You can't trust these money-thirsty Scavengers. Ignoring their invitation, you carry on into the fortress.	Continue Journey	Assets/Product/Texture/Image/BgStory/Bgstory419.jpg								Assets/Product/Texture/Image/RoleStory/TongyongNanminxiaohai.png							
55	116	1161	2	Take the Scepter	Take the Banner Spear			Scepter	Banner Spear			3	3			0	0			0	0			0	0			11611	11612			Solved Puzzle	You enter... a strange room...	Strange room	Filled with a solemn atmosphere	This is a room that resembles a chessboard with all sorts of sculptures. It seems to be reenacting a battle while being part of a complex puzzle. One legendary hero stands on either end of the room—one a divine messenger holding a purifying flame, the other a female warrior holding a banner spear. Which would you choose?	Made up your mind	Assets/Product/Texture/Image/BgStory/Bgstory416.jpg															
56	116	1162	3																													Solved Puzzle	Take down the scepter	Strange room	You feel your resolve strengthened	You give it a moment's thought before taking the prize, a scepter. You don't know who solved the puzzle, but you thank them in your heart.	Take the relic	Assets/Product/Texture/Image/BgStory/Bgstory416.jpg	2	111			1										
57	116	1163	3																													Solved Puzzle	Taken down the banner spear	Strange room	You feel more agile now	You give it a moment's thought before taking the prize, a banner spear. You don't know who solved the puzzle, but you thank them in your heart.	Take the relic	Assets/Product/Texture/Image/BgStory/Bgstory416.jpg	2	112			1										
58	117	1171	2	Accept his chattels				Accept the chattels				3				0				0				0				11711				Failure	An adventurer who has passed	Deep in the Fortress	Even the air has grown heavy	An adventurer from long ago lies dead in the depths of the fortress. He leaves one last line of warning in blood as it runs dry—at the deepest end of the fortress, a Guardian stands watch by the entrance to the sea since the beginning of time. His final wish is for a successor to take his place and seek the truth that lies buried at the bottom of this world.	Inherited will	Assets/Product/Texture/Image/BgStory/Bgstory408.jpg															
59	117	1172	3																													Failure	Inherit his will	Deep in the Fortress	Keep moving	You give the adventurer a proper burial, etch his resolution to your heart, carefully pack his belongings and continue your journey with new motivation.	Continue Journey	Assets/Product/Texture/Image/BgStory/Bgstory408.jpg	3	1			1										
60	118	1181	2	Choose to plunder Artifacts	Choose to plunder Biomimetic Blood	Choose to plunder Tinbread Cookies		Plunder the Artifacts	Plunder Biomimetic Blood	Plunder Tinbread Cookies		3	3	3		0	0	0		0	0	0		0	0	0		11811	11812	11813		Armory	You enter an unguarded armory.	Armory	An armory sealed long ago.	You barge into one of the armories in the fortress and try to figure out an illegible symbol on a sealed supply crate. It seems to be a coat of arms designed around the runic letter "G". Fortunately, the guards are nowhere to be seen for now. Hurry and look for the supplies you need.	Made up your mind	Assets/Product/Texture/Image/BgStory/Bgstory411.jpg															
61	118	1182	3																													Armory	You decide to...	Armory	An armory sealed long ago.	You decide to open this Artifact box. It might help you on the battlefield.	Open the box	Assets/Product/Texture/Image/BgStory/Bgstory411.jpg	3	1			1										
62	118	1183	3																													Armory	You decide to...	Armory	An armory sealed long ago.	You decide to rummage the place for leftover Biomimetic Blood in case of emergency.	Collect Biomimetic Blood	Assets/Product/Texture/Image/BgStory/Bgstory411.jpg	1	96120			3										
63	118	1184	3																													Armory	You decide to...	Armory	An armory sealed long ago.	One can never have too much money. Gathering Tinbread Cookies seems like an intelligent choice.	Collect Tinbread Cookies	Assets/Product/Texture/Image/BgStory/Bgstory411.jpg	1	96119			8										
64	119	1191	1																													Heed the advice	You meet a survivor.	Deep in the Fortress	Danger inches closer.	Deep inside the fortress, in a safe house without patrolling robots, someone is here before you. A man with ragged clothes slumps by the wall with an empty and hopeless expression, as if he has lost his purpose.	Continue	Assets/Product/Texture/Image/BgStory/Bgstory409.jpg															1192
65	119	1192	1																													Heed the advice	You meet a survivor.	Deep in the Fortress	Danger inches closer.	When he realizes that you're a newcomer, he begins to recount to you the history of this fortress. It is part of the remains of a major battle in the Mythical Age and carries traces of advanced ancient technology. Countless secrets are hidden behind secure mechanisms while lost intelligent machines wander the empty halls.	Continue	Assets/Product/Texture/Image/BgStory/Bgstory409.jpg															1193
66	119	1193	2	Obtain more Tinbread Cookies	Recruit more companions			5 Tinbread Cookies	Recruit companion			3	3			0	0			0	0			0	0			11931	11932			Heed the advice	You meet a survivor.	Deep in the Fortress	Danger inches closer.	He came here on the church's wishes to uncover secrets buried in this fortress, but the expedition was hit with many perils from which he is the lone survivor. He no longer has the strength to go further into the fortress but stays to provide relentless seekers after him with supplies to help them on their quest.	Made up your mind	Assets/Product/Texture/Image/BgStory/Bgstory409.jpg															
67	119	1194	3																													Heed the advice	Accept his help	Deep in the Fortress	Danger inches closer.	You accept a few Tinbread Cookies the man took from his stash and head toward the depths of the fortress.	Collect supplies	Assets/Product/Texture/Image/BgStory/Bgstory409.jpg	1	96119			9										
68	119	1195	3																													Heed the advice	Accept his help	Deep in the Fortress	Danger inches closer.	The man gives you information on the other adventurers in the fortress that will help you expand your team.	Recruit companion	Assets/Product/Texture/Image/BgStory/Bgstory409.jpg	4	9001			1										
69	120	1201	2	Purchase the "Red Teardrop Pendant" using 10 Tinbread Cookies.	Purchase the "Blue Teardrop Pendant" using 10 Tinbread Cookies.	State that you have "Merlin's Jewel"	State that you don't have the gem	10 Tinbread Cookies	10 Tinbread Cookies	Merlin's Jewel	Leave	1	1	2	3	1	1	2	0	96119	96119	96	0	10	10	1	0	12011	12012	12013	12014	Jewel Hunter	You meet a jewel hunter.	Jewel Hunter	Hey there, I happen to have some precious treasures. Want to have a look?	Inside the fort, you meet a man covered from head to toe in black. He claims to be a passionate jewel collector on his way to the ocean floor to look for rare treasures and would be happy to exchange information with you.	Made up your mind	Assets/Product/Texture/Image/BgStory/Bgstory405.jpg								Assets/Product/Texture/Image/RoleStory/TongyonggongzuorenyuanNormal01.png							
