Id	Name	Type	Quality	EffectGroupId	Description	WorldDesc	Icon	UnlockConditionId	Repeatable	VisionId
21	Replica: Glyph of Coercion Lv.2	1	4	40021	Enemy's HP <color=#dbb536>-15%</color>.	A small emblem made in ancient style. Can mildly reduce the enemy's HP.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip042.png	1004002		
22	Replica: Glyph of Coercion Lv.3	1	5	40022	Enemy's HP <color=#dbb536>-20%</color>.	A big emblem made in ancient style. Can significantly reduce the enemy's HP.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip042.png	1004003		
23	Replica: Glyph of Corruption Lv.1	1	3	40023	Enemy's Extra DMG Reduction <color=#dbb536>-10%</color>.	A broken emblem made in ancient style. Can slightly reduce the enemy's DMG Reduction.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip034.png			
24	Replica: Glyph of Corruption Lv.2	1	4	40024	Enemy's Extra DMG Reduction <color=#dbb536>-20%</color>.	A small emblem made in ancient style. Can mildly reduce the enemy's DMG Reduction.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip034.png	1004004		
25	Replica: Glyph of Corruption Lv.3	1	5	40025	Enemy's Extra DMG Reduction <color=#dbb536>-30%</color>.	A big emblem made in ancient style. Can significantly reduce the enemy's DMG Reduction.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip034.png	1004005		
26	Replica: Glyph of Absorption Lv.1	1	3	40026	Recovery speed of Signal Orbs by Basic Attack <color=#dbb536>+25%</color>.	A broken emblem made in ancient style. Can slightly increase Signal Orb Production Efficiency.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip045.png	1006006		
27	Replica: Glyph of Absorption Lv.2	1	4	40027	Recovery speed of Signal Orbs by Basic Attack <color=#dbb536>+50%</color>.	A small emblem made in ancient style. Can mildly increase Signal Orb Production Efficiency.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip045.png	1006006		
28	Replica: Glyph of Absorption Lv.3	1	5	40028	Recovery speed of Signal Orbs by Basic Attack <color=#dbb536>+100%</color>.	A big emblem made in ancient style. Can significantly increase Signal Orb Production Efficiency.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip045.png	1004024		
29	Replica: Glyph of Speed Lv.1	1	3	40029	Movement Speed <color=#dbb536>+50%</color>.	A broken emblem made in ancient style. Can slightly increase Movement Speed.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip053.png			
30	Replica: Glyph of Speed Lv.2	1	4	40030	Movement Speed <color=#dbb536>+100%</color>.	A small emblem made in ancient style. Can mildly increase Movement Speed.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip053.png			
31	Replica: Glyph of Switch Lv.2	1	4	40031	Switch Cooldown <color=#dbb536>-15%</color>.	A small emblem made in ancient style. Can mildly reduce Character Switch Cooldown.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip046.png	1006007		
32	Replica: Glyph of Switch Lv.3	1	5	40032	Switch Cooldown <color=#dbb536>-25%</color>.	A big emblem made in ancient style. Can significantly reduce Character Switch Cooldown.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip046.png			
33	Replica: Glyph of Synergy Lv.2	1	4	40033	QTE Cooldown <color=#dbb536>-15%</color>.	A small emblem made in ancient style. Can mildly reduce QTE Cooldown.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip033.png	1006007		
34	Replica: Glyph of Synergy Lv.3	1	5	40034	QTE Cooldown <color=#dbb536>-25%</color>.	A big emblem made in ancient style. Can significantly reduce QTE Cooldown.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip033.png			
35	Replica: Glyph of Matrix Lv.2	1	4	40035	Matrix Cooldown <color=#dbb536>-15%</color>.	A small emblem made in ancient style. Can mildly reduce Matrix Cooldown.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip043.png	1006007		
36	Replica: Glyph of Matrix Lv.3	1	5	40036	Matrix Cooldown <color=#dbb536>-25%</color>.	A big emblem made in ancient style. Can significantly reduce Matrix Cooldown.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip043.png			
37	Replica: Glyph of Advantage Lv.1	1	3	40037	Gains <color=#dbb536>1</color> additional set of 3-Ping Orbs at the beginning of the battle.	A broken emblem made in ancient style. Can grant 1 set of 3-Ping Signal Orbs at the beginning of the battle.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip025.png	1004008		
38	Replica: Glyph of Advantage Lv.2	1	4	40038	Gains <color=#dbb536>2</color> additional sets of 3-Ping Orbs at the beginning of the battle.	A small emblem made in ancient style. Can grant 2 sets of 3-Ping Signal Orbs at the beginning of the battle.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip025.png	1004008		
39	Replica: Glyph of Advantage Lv.3	1	5	40039	Gains <color=#dbb536>3</color> additional sets of 3-Ping Orbs at the beginning of the battle.	A big emblem made in ancient style. Can grant 3 sets of 3-Ping Signal Orbs at the beginning of the battle.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip025.png	1004026		
40	Replica: Glyph of Aftershocks Lv.2	1	4	40040	Obtains <color=#dbb536>2 sets</color> of 3-Ping Orbs upon casting a Signature Move.	A small emblem made in ancient style. Can grant 2 sets of 3-Ping Signal Orbs upon casting a Signature Move.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip054.png	1006006		
41	Replica: Glyph of Aftershocks Lv.3	1	5	40041	Obtains <color=#dbb536>3 sets</color> of 3-Ping Orbs upon casting a Signature Move.	A big emblem made in ancient style. Can grant 3 sets of 3-Ping Signal Orbs upon casting a Signature Move.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip054.png	1004029		
42	Replica: Glyph of Flames Lv.2	1	4	40042	Fire Extra DMG Bonus <color=#dbb536>+30%</color>.	A small emblem made in ancient style. Can mildly increase Fire DMG.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip005.png			
43	Replica: Glyph of Flames Lv.3	1	5	40043	Fire Extra DMG Bonus <color=#dbb536>+50%</color>.	A big emblem made in ancient style. Can significantly increase Fire DMG.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip005.png	1004009		
44	Replica: Glyph of Lightning Lv.2	1	4	40044	Lightning Extra DMG Bonus <color=#dbb536>+30%</color>.	A small emblem made in ancient style. Can mildly increase Lightning DMG.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip006.png			
45	Replica: Glyph of Lightning Lv.3	1	5	40045	Lightning Extra DMG Bonus <color=#dbb536>+50%</color>.	A big emblem made in ancient style. Can significantly increase Lightning DMG.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip006.png	1004010		
46	Replica: Glyph of Ice Lv.2	1	4	40046	Ice Extra DMG Bonus <color=#dbb536>+30%</color>.	A small emblem made in ancient style. Can mildly increase Ice DMG.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip007.png			
47	Replica: Glyph of Ice Lv.3	1	5	40047	Ice Extra DMG Bonus <color=#dbb536>+50%</color>.	A big emblem made in ancient style. Can significantly increase Ice DMG.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip007.png	1004011		
48	Replica: Glyph of Darkness Lv.2	1	4	40048	Dark Extra DMG Bonus <color=#dbb536>+30%</color>.	A small emblem made in ancient style. Can mildly increase Dark DMG.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip008.png			
49	Replica: Glyph of Darkness Lv.3	1	5	40049	Dark Extra DMG Bonus <color=#dbb536>+50%</color>.	A big emblem made in ancient style. Can significantly increase Dark DMG.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip008.png	1004012		
50	Replica: Glyph of Blades Lv.2	1	4	40050	Physical Extra DMG Bonus <color=#dbb536>+30%</color>.	A small emblem made in ancient style. Can mildly increase Physical DMG.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip009.png			
51	Replica: Glyph of Blades Lv.3	1	5	40051	Physical Extra DMG Bonus <color=#dbb536>+50%</color>.	A big emblem made in ancient style. Can significantly increase Physical DMG.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip009.png	1004013		
52	Replica: Glyph of Healing Lv.1	1	3	40052	Healing Received <color=#dbb536>+50%</color>.	A broken emblem made in ancient style. Can slightly increase the healing effect.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip048.png			
53	Replica: Glyph of Healing Lv.2	1	4	40053	Healing Received <color=#dbb536>+100%</color>.	A small emblem made in ancient style. Can mildly increase the healing effect.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip048.png			
54	Replica: Glyph of Passion Lv.1	1	3	40054	Skill Orb Extra DMG Bonus <color=#dbb536>+15%</color>.	A broken emblem made in ancient style. Can slightly increase Skill Orb DMG.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip027.png			
55	Replica: Glyph of Passion Lv.2	1	4	40055	Skill Orb Extra DMG Bonus <color=#dbb536>+30%</color>.	A small emblem made in ancient style. Can mildly increase Skill Orb DMG.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip027.png	1006014		
56	Replica: Glyph of Passion Lv.3	1	5	40056	Skill Orb Extra DMG Bonus <color=#dbb536>+50%</color>.	A big emblem made in ancient style. Can significantly increase Skill Orb DMG.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip027.png	1004015		
57	Replica: Glyph of Carnage Lv.1	1	3	40057	Signature Move Extra DMG Bonus <color=#dbb536>+15%</color>.	A broken emblem made in ancient style. Can slightly increase Signature DMG.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip055.png			
58	Replica: Glyph of Carnage Lv.2	1	4	40058	Signature Move Extra DMG Bonus <color=#dbb536>+30%</color>.	A small emblem made in ancient style. Can mildly increase Signature DMG.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip055.png	1006014		
59	Replica: Glyph of Carnage Lv.3	1	5	40059	Signature Move Extra DMG Bonus <color=#dbb536>+50%</color>.	A big emblem made in ancient style. Can significantly increase Signature DMG.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip055.png	1004016		
60	Loose-Packed Tinbread Cookies	2	3	40060	Gives <color=#dbb536>10</color> Tinbread Cookies directly.	A few Tinbread Cookies.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip061.png		1	
61	Small Tinbread Cookie Bag	2	4	40061	Gives <color=#dbb536>20</color> Tinbread Cookies directly.	A small bag of Tinbread Cookies.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip061.png			
62	Large Tinbread Cookie Bag	2	5	40062	Gives <color=#dbb536>30</color> Tinbread Cookies directly.	A large bag of Tinbread Cookies.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip061.png			
63	Replica: Glyph of Gluttony Lv.1	2	3	40063	Battle victory grants <color=#dbb536>2</color> extra Tinbread Cookies.	A broken emblem made in ancient style. Can slightly increase the Tinbread Cookies obtained in battle.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip062.png			
64	Replica: Glyph of Gluttony Lv.2	2	4	40064	Battle victory grants <color=#dbb536>4</color> extra Tinbread Cookies.	A small emblem made in ancient style. Can mildly increase the Tinbread Cookies obtained in battle.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip062.png	1004017		
65	Replica: Glyph of Gluttony Lv.3	2	5	40065	Battle victory grants <color=#dbb536>6</color> extra Tinbread Cookies.	A big emblem made in ancient style. Can significantly increase the Tinbread Cookies obtained in battle.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip062.png	1004017		
66	Replica: Glyph of Grace Lv.2	2	4	40066	Each node cleared grants <color=#dbb536>2</color> extra Tinbread Cookies.	A small emblem made in ancient style. Can mildly increase the Tinbread Cookies obtained after clearing a node.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip063.png			
67	Replica: Glyph of Grace Lv.3	2	5	40067	Each node cleared grants <color=#dbb536>3</color> extra Tinbread Cookies.	A big emblem made in ancient style. Can significantly increase the Tinbread Cookies obtained after clearing a node.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip063.png	1004017		
68	Small Biomimetic Blood	2	3	40068	Gives <color=#dbb536>3</color> bottles of Biomimetic Blood directly (For team resurrection/stage restart).	A small bottle of Biomimetic Blood.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip064.png			
69	Medium Biomimetic Blood	2	4	40069	Gives <color=#dbb536>6</color> bottles of Biomimetic Blood directly (For team resurrection/stage restart).	A medium bottle of Biomimetic Blood.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip064.png			
70	Large Biomimetic Blood	2	5	40070	Gives <color=#dbb536>9</color> bottles of Biomimetic Blood directly (For team resurrection/stage restart).	A big bottle of Biomimetic Blood.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip064.png			
71	Special Biomimetic Blood	2	5	40071	Gives <color=#dbb536>12</color> bottles of Biomimetic Blood directly (For team resurrection/stage restart).	Biomimetic Blood made in a special method.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip064.png	1004018		
72	Glyph of Survival	2	5	40072	Each node cleared grants <color=#dbb536>1</color> extra bottle of Biomimetic Blood (For team resurrection/stage restart).	A broken emblem made in ancient style. Can slightly increase the Biomimetic Blood obtained after clearing a node.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip065.png	1004018		
73	Glyph of Recruitment	2	4	40073	Bonus Recruitment Voucher Refresh Attempts <color=#dbb536>+1</color>.	A proof of friendship with the outlier. Use it to gain bonus Recruitment Voucher Refresh Attempts.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip066.png	1004019		
74	Glyph of Greed	2	4	40074	Shop Discount Slots <color=#dbb536>+2</color>.	A proof of friendship with merchants. Use it to gain more discount slots in the shop.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip056.png	1004020		
75	Glyph of Resonance	3	5	40075	Upon triggering a QTE, triggers the QTE of another character. Cooldown: <color=#dbb536>5</color>s.	A special ancient emblem that possesses some kind of special power.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip032.png	1004021		
76	Glyph of Swordsaint	3	5	40076	Basic Attack Extra DMG Bonus <color=#dbb536>+100%</color>.	A special ancient emblem that possesses some kind of special power.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip020.png	1004022		
77	Glyph of Broken Blade	3	5	40077	Basic Attack Extra DMG Bonus <color=#d84740>-50%</color>. Gains one Signal Orb every <color=#dbb536>2</color>s.	A special ancient emblem that possesses some kind of special power.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip0016.png	1004023		
78	Glyph of Bind	3	5	40078	Dodges <color=#d84740>consume double Dodge Gauge</color>. Gains one Signal Orb every <color=#dbb536>2</color>s.	A special ancient emblem that possesses some kind of special power.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip057.png	1004023		
79	Glyph of Severance	3	5	40079	Extra DMG Bonus <color=#dbb536>+80%</color>. Each existing Signal Orb reduces the bonus effect by <color=#d84740>5%</color>.	A special ancient emblem that possesses some kind of special power.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip039.png	1004024		
80	Glyph of Onslaught	3	5	40080	Each existing Signal Orb increases the Extra DMG Bonus by <color=#dbb536>5%</color>.	A special ancient emblem that possesses some kind of special power.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip010.png	1004025		
81	Glyph of Power Surge	3	5	40081	Restores Signature Energy equal to <color=#dbb536>1%</color> of the Energy (which is not full).	A special ancient emblem that possesses some kind of special power.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip058.png	1004026		
82	Glyph of Shield	3	5	40082	All Shield Acquired <color=#dbb536>+100%</color>.	A special ancient emblem that possesses some kind of special power.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip023.png	1004027		
83	Glyph of Brawl	3	5	40083	Every <color=#dbb536>5</color>s, gains <color=#dbb536>5%</color> Extra DMG Bonus and loses <color=#d84740>5%</color> Extra DMG Reduction, up to <color=#dbb536>100%</color>.	A special ancient emblem that possesses some kind of special power.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip028.png	1004028		
84	Glyph of Abundance	3	5	40084	Each 3-Ping grants <color=#dbb536>1</color> orb of the same color.	A special ancient emblem that possesses some kind of special power.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip026.png	1004029		
85	Glyph of Horizon	3	5	40085	Upon casting a Signature, triggers an extra Matrix.	A special ancient emblem that possesses some kind of special power.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip059.png	1004030		
86	Glyph of Charge	3	5	40086	Upon casting a Signature, restores <color=#dbb536>50%</color> of the Signature Energy consumed.	A special ancient emblem that possesses some kind of special power.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip060.png	1004031		
87	Replica: Glyph of Charge Lv.2	3	4	40087	3-Pings give <color=#dbb536>5</color> extra Energy.	A special ancient emblem that possesses some kind of special power.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip037.png	1004032		
88	Replica: Glyph of Charge Lv.3	3	5	40088	3-Pings give <color=#dbb536>10</color> extra Energy.	A special ancient emblem that possesses some kind of special power.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip037.png	1004032		
89	Glyph of Instakill	3	4	40089	Upon switching to a new character, deals DMG equal to <color=#dbb536>500%</color> of the new character's ATK to all enemies within <color=#dbb536>6</color>m.	A special ancient emblem that possesses some kind of special power.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip036.png			
90	Glyph of Leadership	3	5	40090	All Recruitment Vouchers' Bonus Recruitment Attempts <color=#dbb536>+1</color>.	A special ancient emblem that possesses some kind of special power.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip067.png	1004033		
91	Glyph of Treasure	3	5	40091	All Item Boxes have a bigger chance to give a Rare/Legendary item.	A special ancient emblem that possesses some kind of special power.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip024.png	1004034		
92	Glyph of Source	3	5	40092	Each Artifact grants <color=#dbb536>+10%</color> Extra DMG Bonus.	A special ancient emblem that possesses some kind of special power.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip049.png	1004035		
93	The Returner's Blade	4	5	40093	It doesn't seem to have any special effects...	A blade dropped after defeating the Ocean Guardian. It was crafted by artisans of ancient times and passed a long time. It's likely to be useful on some important occasion...	Assets/Product/Texture/Image/IconTools/IconRougeItem014.png	1004045		
94	The Brand of Void	4	5	40094	Extra DMG Reduction <color=#d84740>-50%</color>.	A mark that does not belong to the world, carrying the will that seems to have come from another world.	Assets/Product/Texture/Image/IconTools/IconRougeItem019.png	1004046		
95	The Brand of Infinity	4	5	40095	Dodge Recovery Speed increases by <color=#dbb536>+80%</color>.	A mark that does not belong to the world, carrying the will that seems to have come from another world.	Assets/Product/Texture/Image/IconTools/IconRougeItem020.png	1004046		
96	Merlin's Jewel	4	5	40096	Recovers <color=#dbb536>5%</color> of max HP per second.	A gem that gives off a dim blue light. Crafted with an ancient technique that was long lost, this gem named "Merlin" is a treasure that has been passed on through generations in a family.	Assets/Product/Texture/Image/IconTools/IconRougeItem016.png	1004046		
97	Indigo Wave Amethyst	4	5	40097	CRIT Rate and CRIT DMG increase by <color=#dbb536>+40%</color> and <color=#dbb536>+100%</color> respectively.	A gem that gives off a dim indigo light and was crafted with an ancient technique that was long lost. When you put it next to your ear, you could hear the faint sound of waves coming from the gem.	Assets/Product/Texture/Image/IconTools/IconRougeItem018.png	1004046		
98	Broken Indigo Wave Amethyst	4	4	40098	CRIT Rate <color=#dbb536>+20%</color>	A gem shard obtained by violently disassembling a mechanism. There is still some power left in it.	Assets/Product/Texture/Image/IconTools/IconRougeItem017.png	1004046		
99	Clyphas Black Codex	4	5	40099	Restores <color=#dbb536>3</color> Energy every second. Takes DMG equal to <color=#d84740>5%</color> max HP every second. And gains a <color=#dbb536>30%</color> Signature Extra DMG Bonus.	A black codex with knowledge of ancient taboos. Although it might contain some wisdom, it's better to be buried in the distant past.	Assets/Product/Texture/Image/IconTools/IconRougeItem010.png	1004045		
100	Saphorus White Codex	4	5	40100	Restores <color=#dbb536>3</color> Energy every second. Restores <color=#dbb536>2%</color> max HP every second. And gains a <color=#dbb536>30%</color> Signature Extra DMG Bonus.	A white codex with ancient knowledge. The first disciples should have been the ones who were closest to the ancient wisdom, but unfortunately, even their knowledge was lost in the long process of history.	Assets/Product/Texture/Image/IconTools/IconRougeItem09.png	1004045		
101	Red Teardrop Pendant	4	4	40101	Extra DMG Bonus <color=#dbb536>+20%</color>.	A pendant with a red teardrop gem from a famous collector. Many are attracted by the various treasures lying deep under the sea and would even risk their lives to get them.	Assets/Product/Texture/Image/IconTools/IconRougeItem011.png	1004046		
102	Blue Teardrop Pendant	4	4	40102	Dodge Recovery Speed <color=#dbb536>+50%</color>.	A pendant with a blue teardrop gem from a famous collector. Many are attracted by the various treasures lying deep under the sea and would even risk their lives to get them.	Assets/Product/Texture/Image/IconTools/IconRougeItem012.png	1004046		
103	Yellow Teardrop Pendant	4	4	40103	Obtains <color=#dbb536>1 set</color> of 3-Ping Orbs every <color=#dbb536>12</color>s.	A pendant with a yellow teardrop gem from a famous collector. Many are attracted by the various treasures lying deep under the sea and would even risk their lives to get them.	Assets/Product/Texture/Image/IconTools/IconRougeItem013.png	1004046		
104	Unstudied Antique Book	4	4	40104	Gains <color=#dbb536>6</color> random Signal Orbs at the beginning of the battle.	The antique book that has been passed on through generations in an ancient school, whose founder seems to be the heir of a mythological hero. The knowledge passed on through a single bloodline failed to bring happiness to the world and eventually met its end.	Assets/Product/Texture/Image/IconTools/IconRougeItem015.png	1004045		
105	Scholar's Notes	4	4	40105	Gains <color=#dbb536>3</color> random Signal Orbs at the beginning of the battle.	The notes left by a young scholar. It records what he saw and heard while traveling the world. Although he was not talented enough, he wished to make up for it by hard work.	Assets/Product/Texture/Image/IconTools/IconRougeItem022.png	1004045		
106	Note of the Ludicrous	4	5	40106	Gains <color=#dbb536>3</color> random sets of 3-Ping Orbs at the beginning of the battle.	A note left by a certain ludicrous man who was still writing before until the last minute of his life. Pursuing something out of reach will eventually lead to madness.	Assets/Product/Texture/Image/IconTools/IconRougeItem021.png	1004045		
108	Sword of the Nameless	4	5	40108	Extra DMG Bonus <color=#dbb536>+50%</color>. Recovery speed of Signal Orbs by Basic Attack <color=#dbb536>-50%</color>.	A sword left by someone unknown. Crafted with the lost forging technology, it is still as sharp as a new blade even after numerous battles.	Assets/Product/Texture/Image/IconTools/E2SwordMd120111.png			
109	Black Nat	4	4	40109	Extra DMG Bonus <color=#dbb536>+20%</color>.	A battle bot made by imitating the lost mechanical technology. It could play a important role on the battlefield.	Assets/Product/Texture/Image/IconTools/IconSpecialTrainConsume01.png	1004028		
110	Auto Cannon Omega	4	4	40110	Obtains <color=#dbb536>1 set</color> of 3-Ping Orbs every <color=#dbb536>9</color>s.	An auto cannon made with modern mechanical technology. It can offer fire support.	Assets/Product/Texture/Image/IconTools/E2BallrobotMd010011.png	1004028		
111	Vista	4	4	40111	Characters' ATK increases by <color=#dbb536>7%</color> ATK every <color=#dbb536>10</color>s when they are on the field. Stacks up to <color=#dbb536>3</color> times.	A well crafted scepter that seems to be a replica of the weapon wielded by a hero from the Mythical Age.	Assets/Product/Texture/Image/IconTools/E3WandMd010011.png			
