Id	FilePoolId	Weight	Announcer	Condition[1]	Condition[2]	Condition[3]	PreFileId[1]
7012001	5017	50	200				
8012001	5015	50	200				
8012002	90301	50	200	31200			
8012003	90301	50	200	31200			
8012004	90501	50	200	31200			
8012005	90501	50	200	31200			
9012001	5016	50	200				
9012002	100101	50	200	31200			
9012003	100101	50	200	31200			
9012004	100201	50	200	31200			
9012005	100201	50	200	31200			
9012006	100701	50	200	31200			
10012001	10501	50	200	31200			
10012002	40101	50	200	31200			
10012003	40403	50	200	31200			
10022001	10501	50	305	31200			
1032005	60401	50	6	31200	31213		
3022002	70302	50	7	31200			
4032003	60603	50	6	31200	31214		
10013001	5022	50	200				
10013002	5026	50	200				
1013001	10301	50	200	31200			
1013002	10501	50	200	31200			
1013003	10501	50	200	31200			
1013004	10702	50	200	31200			
1013005	10701	50	200	31200			
1013006	20101	50	200	31200			
1013007	20201	50	200	31200			
1013008	20201	50	200	31200			
1013009	30501	50	200	31200			
1013010	30501	50	200	31200			
1013011	30502	50	200	31200			
1013012	30502	50	200	31200			
1013013	40403	50	200	31200	31213		
1013014	40403	50	200	31200			
1013015	40501	50	200	31200			
2013001	50101	50	200	31200			
2013002	50201	50	200	31200			
2013003	50201	50	200	31200	31212		
2013004	50301	50	200	31200	31212		
4013001	60201	50	200	31200			
4013002	60603	50	200	31200			
4013003	60603	50	200	31200			
3013001	70301	50	200	31200	31216		3012005
3013002	70301	50	200	31200			
3013003	70302	50	200	31200	31201		
3013004	70302	50	200	31200			3012007
5013001	80402	50	200	31200			
5013002	80401	50	200	31200			
5013003	80502	50	200	31200			
5013004	80502	50	200	31200			
8013001	90301	50	200	31200			
8013002	90301	50	200	31200			
8013003	90401	50	200	31200			
8013004	90501	50	200	31200			
9013001	100101	50	200	31200	31213		
9013002	100401	50	200	31200			
9013003	100501	50	200	31200	31213		
9013004	100501	50	200	31200	31213		
1013016	130701	50	200	31200			
1023001	5020	50	1				
1023002	5021	50	2				
1023003	5023	50	4				
2023001	5024	50	5	31213			
4023001	5025	50	307				
1023004	30101	50	3	31200			
1023005	40101	50	308	31200			
1023006	40501	50	4	31200			
2023002	50605	50	5	31200	31212		
4023002	60501	50	6	31200			
423003	60603	50	4	31200			
5023001	80401	50	8	31200			
8023001	90101	50	9	31200			
9023001	100402	50	309	31200	31214		
8014001	5027	50	200				
9014001	5028	50	200				
6014001	5030	50	200				
1014001	10401	50	200	31200			
10014001	20101	50	200	31200			
10014002	20101	50	200	31200			
1014002	20201	50	200	31200			
10014003	20201	50	200	31200			10014002
10014004	20701	50	200	31200			
1014003	30501	50	200	31200			
10014005	30502	50	200	31200			
10014006	30701	50	200	31200			
10014007	40101	50	200	31200			
10014008	40101	50	200	31200			10014007
10014009	40403	50	200	31200			
10014010	40403	50	200	31200			
10014011	40701	50	200	31200			
2014001	50101	50	200	31200			
2014002	50401	50	200	31200			2010501
2024003	50501	50	200	31200	31219		
2024004	50604	50	200	31200			
2024005	50605	50	200	31200			
4014001	60201	50	200	31200			
4014002	60501	50	200	31200			
4014003	60603	50	200	31200			
4014004	60603	50	200	31200			
4014005	60603	50	200	31200			
10014012	70301	50	200	31200			
3014001	70301	50	200	31200			
10014013	70301	50	200	31200			
3014002	70302	50	200	31200			
3014003	70302	50	200	31200			
5014001	80102	50	200	31200			
5014002	80102	50	200	31200			
5014003	80501	50	200	31200			
5014004	80701	50	200	31200			
5014005	80701	50	200	31200			
8014002	90101	50	200	31200			
8014003	90101	50	200	31200			
8014004	90201	50	200	31200			
8014005	90201	50	200	31200			
8014006	90401	50	200	31200			
6014002	120201	50	200	31200			
6014003	120202	50	200	31200			
6014004	120202	50	200	31200			
6014005	120401	50	200	31200			
6014006	120602	50	200	31200			
7024001	5029	50	11				
1024001	5031	50	310				
1024002	10402	50	200	31200			
1024003	30701	50	3	31200	31212		10014006
3024001	70302	50	7	31200			
1015001	130701	50	200	31200	31220		
1015002	10301	50	200	31200			
1015003	10301	50	200	31200	31220		
5015001	80401	50	200	31200	31220		
10015001	20201	50	200	31200	31218		
10015002	10301	50	200	31200	31220		
10015003	10301	50	200	31200	31220		10015002
10015004	10301	50	200	31200	31220		10015003
10015005	20201	50	200	31200	31220		
10015006	20201	50	200	31200	31220		10015005
10015007	20201	50	200	31200	31220		10015006
10015008	20201	50	200	31200	31220		10015007
10015009	20201	50	200	31200	31220		10015008
10015010	20201	50	200	31200	31220		10015009
10015011	30502	50	200	31200	31220		
10015012	20201	50	200	31200	31220		
10025001	20201	50	200	31200	31220		
