Key	Value
FriendMaxBlacklistCount	50
ChatIntervalTime	10
UseRecommendedAssistTimesLimit	1
UseRankAssistTimesLimit	1
AudioBusSetting	unset
UrgentEventCDTime	60
UrgentEventWeekChallengTimes	4
UrgentEventMaxMapCount	1
MaxCharacterVitality	100
MaxTeamPrefab	30
TeamPrefabNameLength	12
ChallengeRewardRequireNum	2
HostelDelegateAssitPlayer	5
HostelDelegateAssitPerPlayerCount	1
DefaultSoundVolume	0.8
DefaultMusicVolume	0.8
DefaultCvVolume	0.8
DefaultCvType	2
DefaultControl	1
BossSingleChallengeNum	4
BossSingleMaxStamina	5
CharacterInitStamina	5
DormitoryEquipScore	1.5
FubenTypeBossSingle	7
BOResetType	1
BOResetTime	3600
WorldChatContinuousIntervalTime	5
WorldChatContinuousSendCount	3
MaxNoOPTime	60
BlackListCD	30
BlackListCount	5
QuickMatchMaxTime	0
QuickMatchProb	0
RobotMatchMinTime	0
RobotMatchProb	0
RoomHrefDisableTime	300
DlcRoomHrefDisableTime	300
PrivateInviteInterval	10
ClanInviteInterval	10
WorldInviteInterval	10
ChatSaveCount	30
ChatGiftCountMin	1
ChatGiftCountMax	20
GetGiftMaxCountEveryDay	10
OnlineBossResultSelectTime	10
HeartbeatInterval	3000
LoginTimeOutInterval	30
OnlinePraiseCountDown	3
FlopRewardCloseTime	2.5
OnlineBossNormalChapterId	1001
OnlineBossActivityChapterId	1002
FubenFlopCount	3
BountyTaskCount	3
BountyTaskRefreshCount	7
TaskForceItemId	3
TaskForceElapseMinutes	2
FurnitureMoneyId	1
DormVitalityRecoverInterval	3600
DormMoodRecoverInterval	3600
DormVitalityMaxValue	10000
DormMoodMaxValue	10000
DormVitalityInitValue	10000
DormMoodInitValue	8000
DormRandomMoodTime	14400
DormVisitRecordNum	10
DormRecommendCd	10
DormRecommendInterval	2
DormRecommendCountLimit	3
DormRecommendPlayerCountLimit	10
DormWorkTimePerVitality	1
DormWorkRewardPerVitality	1
DormFurnitureCreateNum	5
DormLayoutMaxCount	36
DormMaxPutFurnitureCount	150
DormRemoveFurnitureOrder	25011|25012|25010|25009|25008|25013|25007|25006|25004|25005
DormMaxCreateCount	100
DormMaxRemakeCount	100
DormMaxRemouldCount	100
DormMaxRecycleCount	200
DormMaxTotalFurnitureCount	8000
TrustGameCount	3
TrustGameReadySecond	3
TrustGameWaitForNextSecond	3
TrustGameWaitForEnding	3
AutoFightMaxRecordsCount	10
ArenaTeamRankShow	100
ArenaDayUnlockCount	4
ArenaTeamRankSortTime	1800
ArenaOnlineCharMaxEndurance	1
BaseEquipMaxCount	30
DormWorkMaxCount	8
DormReNameLen	12
ReportInterval	300
ReportDailyMaxTimes	10
ArenaWeekBeginTime	18000
DormRecommendedCacheMaxCount	200
DormEventRefreshTime	5400
DormVisitTimeoutInterval	14400
DormMaxSnapshotTimes	10
DormInitFurnitureAttr	100001
PurchaseExpireTipsDaysLimit	2
RoomKickCountDownTime	30
RoomKickCountDownShowTime	0
WorldChatMaxCount	150
BossSingleAutoFightCount	9
BossSingleAutoFightNewCount	6
BossSingleAutoFightRebate	100
GuildApplyMaxCount	50
ShopBuyGoodsCountLimit	999
DormMaxDrawBuyCount	20
HeadPortraitQuality	1
HeartbeatTimeout	5000
ReconnectInterval	3000
DelayReconnectTime	2000
MaxDisconnectTime	600
RedEnvelopeWeightReduceValue	2000
RedEnvelopeMinWeightValue	2000
EquipSuitPrefabNameLength	12
EquipSuitPrefabMaxNum	20
EquipSuitCharacterPrefabMaxNum	3
ItemRecycleText	{0} × {1}
GuildCreateCostItemType	3
GuildCreateCostItemCount	300
GuildApplyPlayerMaxCount	200
GuildApplyGuildMaxCount	60
GuildRecruitGuildMaxCount	20
GuildLikedItemId	37
GuildAddPopularity	3
GuildImpeachDays	7
GuildImpeachDuration	3
GuildImpeachExtend	1
GuildScriptCount	5
GuildScriptLength	40
GuildTouristDuration	48
GuildPlayerRecommendLevel	40
GuildPlayerRecommendCount	30
GuildPlayerRecommendCountPage	10
GuildPlayerRecommendRefresh	1
GuildRecruitTimeout	24
GuildRecruitPlayerMaxCount	30
GuildContributeRewardMin	10
GuildContributeRewardCoA	0.8
GuildContributeRewardCoB	100
GuildWishContributeAddCoin	20
GuildNewsCountPerPage	10
GuildNewsMaxCount	30
GuildPlayerNewsMaxCount	50
GuildEnterCd	8
GuildChatMaxCount	50
GuildCoinCd	0
GuildApplyCd	1
GuildRecommendCount	100
GuildRecommendCountPage	30
GuildRecommendRefresh	1
GuildFindLikeCount	25
GuildBossNewRewardDate	1657522800
GuildRecruitGuildDailyCount	10
GuildImpeachCostItem	3|1
GuildImpeachCostCount	300|500000
GuildBuildIntervalWhenMaxLevel	32000
GuildTalentPointCountWhenMaxLevel	20
GuildRankListCount	100
GuildScriptText	Greetings to New Commandant
GuildNameMinLen	1
GuildNameMaxLen	16
GuildDeclarationMaxLen	100
GuildApplyTimeoutSec	86400
GuildKickCountDailyMax	10
GuildImpeachMailId	40012
BossOnlineKillFloorValue	12
BossOnlineKillCeilingValue	19
SparkServer	Star in the Dark Server
BeaconServer	Beacon Server
TestServer	Testing Server
ArenaOnlineOpenTimestamp	1591822800
InfestorRewardMsgMaxLength	15
InfestorChapterLeaveMsgInterval	15
InfestorChapterLeaveMsgMaxLength	15
InfestorChapterLeaveMsgMaxCount	10
InfestorRandomEventGoodsCount	3
InfestorSyncPlayerInfoInterval	300
InfestorBfrtSubHpTimes	3
InfestorActionPointDailyRecover	14
InfestorCoreUseMaxCount	6
GuildBossDeathAddScore	80000
GuildBossStageUploadCount	3
GuildInitialName	Command Bureau
GuildInitDeclaration	Command Bureau Manifesto
GuildBossStageAddBuffPoint	10
GuildBossStageMaxBuffPoint	100
GuildBossScoreContributeRatio	0.001
FightInfestorScoreRulerMinCount	200
GuildBossRankListCount	100
GuildGloryPointsPerLevel	20
GuildGloryMaxLevel	9999
GuildBossScoreCollectionRatio	0.0001
ResetGuildNameMailId	40011
FightHeartbeatTimeout	20000
FightHeartbeatInterval	1000
RogueLikeTaskHpPercent	50
RogueLikeTaskAbility	5000
RogueLikeTaskFightTime	60
ArenaMaxContributeScore	100
ArenaProtectContributeScore	100
TrpgMaxEndurance	30
TrpgInitEndurance	20
TrpgEnduranceDailyRecover	5
CollectWordsRequestWordCd	21600
CollectWordsRequestWordGuildCd	300
CollectWordsGiftBoxMaxCount	50
CollectWordsRecvRequestMaxCount	100
CollectWordsRequestWordFriendCd	5
PartnerMaxCount	200
PartnerNameMaxLength	12
PartnerExpExchangeItemId	30111
PartnerExpItemPercent	1
PartnerExpExchangeCoin	10
PartnerBreakConsumeRebate	0.7
PartnerSkillConsumeRebate	0.9
PartnerAbilityConvert	0
PartnerDecomposeExpItemRebate	30111|30112|30113
PartnerDecomposeLevelBreakRebate	0.7
PartnerDecomposeEvolutionRebate	0.7
PartnerDecomposeSkillRebate	0.7
MoeWarRollScreenVote	100
MoeWarDailyVoteLimit	100000
TypeIdReform	110
CustomLoadingMaxSize	10
AreaWarMaxActionPoint	480
AreaWarCoinFactor	1
PlayThroughCountDown	5
SnowGameProgressDuration	1
TypeIdEscape	120
CheckSiriusWeaponPayId	5
CheckSiriusWeaponArchiveId	2026003
YKPurchasePackageId	10000
GuildFightStyleCd	300
GuildBossThirdVersionTimeId	807
TypeIdTwoSideTower	130
AssistantNum	5
GuildSearchCd	3
PlayerSearchCd	3
ApplyFriendDailyLimit	50
GuildSignGuaranteeMin	10
GuildSignGuaranteeMax	14
GuildSignGuaranteeId	1
GuildOfflineDays	90
SpecialTrainCubeTeamRankMax	5910003
BrilliantWalkInitEnergy	5
CharacterSuperLiberateLv	5
HigherLiberateLvMagicId	199954|199956|199955
GuildBossTempBanTimeId	14903
AnniversaryScoreTitleCharacterLiberateLv	4
GuildShopCoinLimit	10000000
ItemCollectionMaxCount	1000
DefaultIsOpenFashionVoice	1
FashionStoryCurrentActivityId	4
UiEquipStrengthenSkipDrawGroups	4|26
BirthdaySingleStoryShowDay	3
CommunityExchangeReserveTime	2592000
RefundAutoBanAfterDays	7
RefundAutoBanReason	Refund Misconduct
RelieveFubenBossSingleTeamAstrict	0
AreaMaxProtectScore	2
ArenaProtectNotApplicable	7
BosssInshotTalentSlotMax	2
PlayerChangeGenderInterval	2592000
PlayerFirstSetGenderReward	64400
Maverick3TalentCoinId	97038
RandomBackgroundCountLimit	20
PcgMaxRound	999
PurchaseLoginNotifyUiType	2
CloudGameChannelIds	0|18|19|56|167
InitializationTeamPrefab	15
InitTeamName	Team
CloudGameRefundMailId	13
CloudGameRefundNegativeMailId	14
LittleYKPurchasePackageId	10006
YKPurchasePackageEnCID	90032
