ScoreRewardId	GoodsId	TemplateId	Count
74	60132	30012	1
75	60140	1	20000
75	60141	505	1
75	60142	30013	1
76	60200	3	10
76	60201	40301	5
76	60202	12	2
77	60210	3	15
77	60211	40301	5
77	60212	12	2
81	60150	12	3
81	60151	30012	1
81	60152	1	3000
82	60160	40110	1
82	60161	30012	1
82	60162	1	5000
83	60170	40114	1
83	60171	30012	1
83	60172	1	10000
84	60180	40113	1
84	60181	30012	1
84	60182	1	20000
85	60190	505	1
85	60191	30013	1
85	60192	1	30000
86	60220	3	20
86	60221	40301	10
86	60222	12	3
87	60230	3	30
87	60231	40301	10
87	60232	12	3
93	60300	200	4
93	60301	12	3
93	60302	30012	1
93	60303	1	12000
94	60310	200	4
94	60311	40100	1
94	60312	30012	1
94	60313	1	13000
95	60320	200	4
95	60321	40104	1
95	60322	30012	1
95	60323	1	15000
96	60330	200	4
96	60331	40103	1
96	60332	30012	1
96	60333	1	20000
97	60340	200	3
97	60341	40110	1
97	60342	31204	3
97	60343	12	2
98	60350	200	3
98	60351	505	1
98	60352	30013	1
98	60353	1	30000
99	60360	200	3
99	60361	40114	1
99	60362	31204	3
99	60363	12	2
105	60400	200	6
105	60401	12	3
105	60402	30012	1
105	60403	1	12000
106	60410	200	6
106	60411	40100	2
106	60412	30012	1
106	60413	1	13000
107	60420	200	6
107	60421	40104	2
107	60422	30012	1
107	60423	1	15000
108	60430	200	5
108	60431	40103	2
108	60432	30012	1
108	60433	1	20000
109	60440	200	5
109	60441	40110	1
109	60442	31204	3
109	60443	12	2
110	60450	200	5
110	60451	505	1
110	60452	30013	1
110	60453	1	30000
111	60460	200	4
111	60461	40114	1
111	60462	31204	3
111	60463	12	2
126	60470	200	3
126	60471	12	3
126	60472	30012	1
126	60473	1	6000
127	60480	200	4
127	60481	40110	1
127	60482	30012	1
127	60483	1	6000
128	60490	200	5
128	60491	40114	1
128	60492	30012	1
128	60493	1	8000
129	60500	200	7
129	60501	40113	1
129	60502	30012	1
129	60503	1	18000
130	60510	200	9
130	60511	3	10
130	60512	40301	5
130	60513	12	2
131	60520	200	3
131	60521	505	1
131	60522	30013	1
131	60523	1	30000
132	60530	200	4
132	60531	1	40000
133	60540	200	5
133	60541	3	15
133	60542	40301	5
133	60543	12	2
134	60550	200	8
134	60551	1	50000
135	60560	200	6
135	60561	12	3
135	60562	30012	2
135	60563	1	3000
136	60570	200	6
136	60571	40110	1
136	60572	1	5000
136	60573	70001	24
137	60580	200	8
137	60581	40114	1
137	60582	30012	2
137	60583	1	10000
138	60590	200	12
138	60591	40113	1
138	60592	1	20000
138	60593	70001	30
139	60600	200	4
139	60601	3	20
139	60602	40301	20
139	60603	70001	6
140	60610	200	6
140	60611	505	1
140	60612	30013	1
140	60613	1	30000
141	60620	200	6
141	60621	3	30
141	60622	70001	8
142	60630	200	6
142	60631	12	6
142	60632	70001	12
142	60633	17050115	1
143	60640	200	6
143	60641	70001	16
143	60642	17050114	1
144	60880	17050113	1
150	60300	200	4
150	60301	12	3
150	60302	30012	1
150	60303	1	12000
151	60310	200	4
151	60311	40100	1
151	60312	30012	1
151	60313	1	13000
152	60320	200	4
152	60321	40104	1
152	60322	30012	1
152	60323	1	15000
153	60330	200	4
153	60331	40103	1
153	60332	30012	1
153	60333	1	20000
154	60340	200	3
154	60341	40110	1
154	60342	31204	3
154	60343	12	2
155	60350	200	3
155	60351	505	1
155	60352	30013	1
155	60353	1	30000
156	60360	200	3
156	60361	40114	1
156	60362	31204	3
156	60363	12	2
160	60400	200	6
160	60401	12	3
160	60402	30012	1
160	60403	1	12000
161	60410	200	6
161	60411	40100	2
161	60412	30012	1
161	60413	1	13000
162	60420	200	6
162	60421	40104	2
162	60422	30012	1
162	60423	1	15000
163	60430	200	5
163	60431	40103	2
163	60432	30012	1
163	60433	1	20000
164	60440	200	5
164	60441	40110	1
164	60442	31204	3
164	60443	12	2
165	60450	200	5
165	60451	505	1
165	60452	30013	1
165	60453	1	30000
166	60460	200	4
166	60461	40114	1
166	60462	31204	3
166	60463	12	2
170	60470	200	3
170	60471	12	3
170	60472	30012	1
170	60473	1	6000
171	60480	200	4
171	60481	40110	1
171	60482	30012	1
171	60483	1	6000
172	60490	200	5
172	60491	40114	1
172	60492	30012	1
172	60493	1	8000
173	60500	200	7
173	60501	40113	1
173	60502	30012	1
173	60503	1	18000
174	60510	200	9
174	60511	3	10
174	60512	40301	5
174	60513	12	2
175	60520	200	3
175	60521	505	1
175	60522	30013	1
175	60523	1	30000
176	60530	200	4
176	60531	1	40000
177	60540	200	5
177	60541	3	15
177	60542	40301	5
177	60543	12	2
178	60550	200	8
178	60551	1	50000
180	60890	200	6
180	60891	12	3
180	60892	30012	2
180	60893	1	3000
180	60894	70001	40
181	60900	200	6
181	60901	40110	1
181	60902	1	5000
181	60903	70001	48
181	60904	70002	10
182	60910	200	8
182	60911	40114	1
182	60912	30012	2
182	60913	1	10000
182	60914	70001	48
183	60920	200	12
183	60921	40113	1
183	60922	1	20000
183	60923	70001	60
183	60924	70002	10
184	60930	200	4
184	60931	3	20
184	60932	40301	20
184	60933	70001	12
184	60934	70002	5
185	60940	200	6
185	60941	505	1
185	60942	30013	1
185	60943	1	30000
185	60944	70001	56
186	60950	200	6
186	60951	3	30
186	60952	70001	16
186	60953	70002	5
187	60960	200	6
187	60961	12	6
187	60962	70001	24
187	60963	70002	5
187	60964	17050115	1
188	60970	200	6
188	60971	70001	32
188	60972	70002	5
188	60973	17050114	1
189	60980	17050113	1
190	60300	200	4
190	60301	12	3
190	60302	30012	1
190	60303	1	12000
191	60310	200	4
191	60311	40100	1
191	60312	30012	1
191	60313	1	13000
192	60320	200	4
192	60321	40104	1
192	60322	30012	1
192	60323	1	15000
193	60330	200	4
193	60331	40103	1
193	60332	30012	1
193	60333	1	20000
194	60340	200	3
194	60341	40110	1
194	60342	31204	3
194	60343	12	2
195	60350	200	3
195	60351	505	1
195	60352	30013	1
195	60353	1	30000
196	60360	200	3
196	60361	40114	1
196	60362	31204	3
196	60363	12	2
197	60400	200	6
197	60401	12	3
197	60402	30012	1
197	60403	1	12000
198	60410	200	6
198	60411	40100	2
198	60412	30012	1
198	60413	1	13000
199	60420	200	6
199	60421	40104	2
199	60422	30012	1
199	60423	1	15000
200	60430	200	5
200	60431	40103	2
200	60432	30012	1
200	60433	1	20000
201	60440	200	5
201	60441	40110	1
201	60442	31204	3
201	60443	12	2
202	60450	200	5
202	60451	505	1
202	60452	30013	1
202	60453	1	30000
203	60460	200	4
203	60461	40114	1
203	60462	31204	3
203	60463	12	2
204	61000	200	4
204	61001	12	3
204	61002	30012	1
204	61003	1	6000
205	61010	200	5
205	61011	40110	1
205	61012	30012	1
205	61013	1	6000
206	61020	200	6
206	61021	40114	1
206	61022	30012	1
206	61023	1	8000
207	61030	200	8
207	61031	40113	1
207	61032	30012	1
207	61033	1	18000
208	61040	200	10
208	61041	3	10
208	61042	40301	5
208	61043	12	2
209	61050	200	3
209	61051	505	1
209	61052	30013	1
209	61053	1	30000
210	61060	200	5
210	61061	1	40000
211	61070	200	6
211	61071	3	15
211	61072	40301	5
211	61073	12	2
212	61080	200	9
212	61081	1	50000
213	61090	200	8
213	61091	12	3
213	61092	30012	2
213	61093	1	3000
213	61094	70001	40
214	61100	200	8
214	61101	40110	1
214	61102	1	5000
214	61103	70001	48
214	61104	70002	10
215	61110	200	10
215	61111	40114	1
215	61112	30012	2
215	61113	1	10000
215	61114	70001	48
216	61120	200	16
216	61121	40113	1
216	61122	1	20000
216	61123	70001	60
216	61124	70002	10
217	61130	200	6
217	61131	3	20
217	61132	40301	20
217	61133	70001	12
217	61134	70002	5
218	61140	200	8
218	61141	505	1
218	61142	30013	1
218	61143	1	30000
218	61144	70001	56
219	61150	200	8
219	61151	3	30
219	61152	70001	16
219	61153	70002	5
220	61160	200	8
220	61161	12	6
220	61162	70001	24
220	61163	70002	5
220	61164	17050115	1
221	61170	200	8
221	61171	70001	32
221	61172	70002	5
221	61173	17050114	1
222	61180	17050113	1
10000	50012320	200	12
10000	50012321	12	9
10000	50012322	30012	3
10000	50012323	1	36000
10001	50012330	200	12
10001	50012331	40100	3
10001	50012332	30012	3
10001	50012333	1	39000
10002	50012340	200	12
10002	50012341	40104	3
10002	50012342	30012	3
10002	50012343	1	45000
10003	50012350	200	12
10003	50012351	40103	3
10003	50012352	30012	3
10003	50012353	1	60000
10004	50012360	200	9
10004	50012361	40110	3
10004	50012362	31204	9
10004	50012363	12	6
10005	50012370	200	9
10005	50012371	505	3
10005	50012372	30013	3
10005	50012373	1	90000
10006	50012380	200	9
10006	50012381	40114	3
10006	50012382	31204	9
10006	50012383	12	6
10007	50012390	200	18
10007	50012391	12	9
10007	50012392	30012	3
10007	50012393	1	36000
10008	50012400	200	18
10008	50012401	40100	6
10008	50012402	30012	3
10008	50012403	1	39000
10009	50012410	200	18
10009	50012411	40104	6
10009	50012412	30012	3
10009	50012413	1	45000
10010	50012420	200	15
10010	50012421	40103	6
10010	50012422	30012	3
10010	50012423	1	60000
10011	50012430	200	15
10011	50012431	40110	3
10011	50012432	31204	9
10011	50012433	12	6
10012	50012440	200	15
10012	50012441	505	3
10012	50012442	30013	3
10012	50012443	1	90000
10013	50012450	200	12
10013	50012451	40114	3
10013	50012452	31204	9
10013	50012453	12	6
10014	50012460	200	9
10014	50012461	12	9
10014	50012462	30012	3
10014	50012463	1	18000
10015	50012470	200	12
10015	50012471	40110	3
10015	50012472	30012	3
10015	50012473	1	18000
10016	50012480	200	15
10016	50012481	40114	3
10016	50012482	30012	3
10016	50012483	1	24000
10017	50012490	200	21
10017	50012491	40113	3
10017	50012492	30012	3
10017	50012493	1	54000
10018	50012500	200	27
10018	50012501	3	30
10018	50012502	40301	15
10018	50012503	12	6
10019	50012510	200	9
10019	50012511	505	3
10019	50012512	30013	3
10019	50012513	1	90000
10020	50012520	200	12
10020	50012521	1	120000
10021	50012530	200	15
10021	50012531	3	45
10021	50012532	40301	15
10021	50012533	12	6
10022	50012540	200	24
10022	50012541	1	150000
10023	50012550	200	18
10023	50012551	12	9
10023	50012552	30012	6
10023	50012553	1	9000
10024	50012560	200	18
10024	50012561	40110	3
10024	50012562	1	15000
10024	50012563	70001	72
10025	50012570	200	24
10025	50012571	40114	3
10025	50012572	30012	6
10025	50012573	1	30000
10026	50012580	200	36
10026	50012581	40113	3
10026	50012582	1	60000
10026	50012583	70001	90
10027	50012590	200	12
10027	50012591	3	60
10027	50012592	40301	60
10027	50012593	70001	18
10028	50012600	200	18
10028	50012601	505	3
10028	50012602	30013	3
10028	50012603	1	90000
10029	50012610	200	18
10029	50012611	3	90
10029	50012612	70001	24
10030	50012620	200	18
10030	50012621	12	18
10030	50012622	70001	36
10030	50012623	17050115	1
10031	50012630	200	18
10031	50012631	70001	48
10031	50012632	17050114	1
10032	50012640	17050113	1
10100	50019700	200	8
10100	50019701	12	6
10100	50019702	30012	2
10100	50019703	1	24000
10101	50019710	200	8
10101	50019711	40100	2
10101	50019712	30012	2
10101	50019713	1	26000
10102	50019720	200	8
10102	50019721	40104	2
10102	50019722	30012	2
10102	50019723	1	30000
10103	50019730	200	8
10103	50019731	40103	2
10103	50019732	30012	2
10103	50019733	1	40000
10104	50019740	200	6
10104	50019741	40110	2
10104	50019742	31204	6
10104	50019743	12	4
10105	50019750	200	6
10105	50019751	505	2
10105	50019752	30013	2
10105	50019753	1	60000
10106	50019760	200	6
10106	50019761	40114	2
10106	50019762	31204	6
10106	50019763	12	4
10107	50019770	200	12
10107	50019771	12	6
10107	50019772	30012	2
10107	50019773	1	24000
10108	50019780	200	12
10108	50019781	40100	4
10108	50019782	30012	2
10108	50019783	1	26000
10109	50019790	200	12
10109	50019791	40104	4
10109	50019792	30012	2
10109	50019793	1	30000
10110	50019800	200	10
10110	50019801	40103	4
10110	50019802	30012	2
10110	50019803	1	40000
10111	50019810	200	10
10111	50019811	40110	2
10111	50019812	31204	6
10111	50019813	12	4
10112	50019820	200	10
10112	50019821	505	2
10112	50019822	30013	2
10112	50019823	1	60000
10113	50019830	200	8
10113	50019831	40114	2
10113	50019832	31204	6
10113	50019833	12	4
10114	50019840	200	6
10114	50019841	12	6
10114	50019842	30012	2
10114	50019843	1	12000
10115	50019850	200	8
10115	50019851	40110	2
10115	50019852	30012	2
10115	50019853	1	12000
10116	50019860	200	10
10116	50019861	40114	2
10116	50019862	30012	2
10116	50019863	1	16000
10117	50019870	200	14
10117	50019871	40113	2
10117	50019872	30012	2
10117	50019873	1	36000
10118	50019880	200	18
10118	50019881	3	20
10118	50019882	40301	10
10118	50019883	12	4
10119	50019890	200	6
10119	50019891	505	2
10119	50019892	30013	2
10119	50019893	1	60000
10120	50019900	200	8
10120	50019901	1	80000
10121	50019910	200	10
10121	50019911	3	30
10121	50019912	40301	10
10121	50019913	12	4
10122	50019920	200	16
10122	50019921	1	100000
10123	50019930	200	12
10123	50019931	12	6
10123	50019932	30012	4
10123	50019933	1	6000
10124	50019940	200	12
10124	50019941	40110	2
10124	50019942	1	10000
10124	50019943	70001	48
10125	50019950	200	16
10125	50019951	40114	2
10125	50019952	30012	4
10125	50019953	1	20000
10126	50019960	200	24
10126	50019961	40113	2
10126	50019962	1	40000
10126	50019963	70001	60
10127	50019970	200	8
10127	50019971	3	40
10127	50019972	40301	40
10127	50019973	70001	12
10128	50019980	200	12
10128	50019981	505	2
10128	50019982	30013	2
10128	50019983	1	60000
10129	50019990	200	12
10129	50019991	3	60
10129	50019992	70001	16
10130	50020000	200	12
10130	50020001	12	12
10130	50020002	70001	24
10130	50020003	17050115	1
10131	50020010	200	12
10131	50020011	70001	32
10131	50020012	17050114	1
10132	50020020	17050113	1
10133	50022280	200	12
10133	50022281	12	9
10133	50022282	30012	3
10133	50022283	1	36000
10134	50022290	200	12
10134	50022291	40100	3
10134	50022292	30012	3
10134	50022293	1	39000
10135	50022300	200	12
10135	50022301	40104	3
10135	50022302	30012	3
10135	50022303	1	45000
10136	50022310	200	12
10136	50022311	40103	3
10136	50022312	30012	3
10136	50022313	1	60000
10137	50022320	200	9
10137	50022321	40110	3
10137	50022322	31204	9
10137	50022323	12	6
10138	50022330	200	9
10138	50022331	505	3
10138	50022332	30013	3
10138	50022333	1	90000
10139	50022340	200	9
10139	50022341	40114	3
10139	50022342	31204	9
10139	50022343	12	6
10140	50022350	200	18
10140	50022351	12	9
10140	50022352	30012	3
10140	50022353	1	36000
10141	50022360	200	18
10141	50022361	40100	6
10141	50022362	30012	3
10141	50022363	1	39000
10142	50022370	200	18
10142	50022371	40104	6
10142	50022372	30012	3
10142	50022373	1	45000
10143	50022380	200	15
10143	50022381	40103	6
10143	50022382	30012	3
10143	50022383	1	60000
10144	50022390	200	15
10144	50022391	40110	3
10144	50022392	31204	9
10144	50022393	12	6
10145	50022400	200	15
10145	50022401	505	3
10145	50022402	30013	3
10145	50022403	1	90000
10146	50022410	200	12
10146	50022411	40114	3
10146	50022412	31204	9
10146	50022413	12	6
10147	50022420	200	9
10147	50022421	12	9
10147	50022422	30012	3
10147	50022423	1	18000
10148	50022430	200	12
10148	50022431	40110	3
10148	50022432	30012	3
10148	50022433	1	18000
10149	50022440	200	15
10149	50022441	40114	3
10149	50022442	30012	3
10149	50022443	1	24000
10150	50022450	200	21
10150	50022451	40113	3
10150	50022452	30012	3
10150	50022453	1	54000
10151	50022460	200	27
10151	50022461	3	30
10151	50022462	40301	15
10151	50022463	12	6
10152	50022470	200	9
10152	50022471	505	3
10152	50022472	30013	3
10152	50022473	1	90000
10153	50022480	200	12
10153	50022481	1	120000
10154	50022490	200	15
10154	50022491	3	45
10154	50022492	40301	15
10154	50022493	12	6
10155	50022500	200	24
10155	50022501	1	150000
10156	50022510	200	18
10156	50022511	12	9
10156	50022512	30012	6
10156	50022513	1	9000
10157	50022520	200	18
10157	50022521	40110	3
10157	50022522	1	15000
10157	50022523	70001	72
10158	50022530	200	24
10158	50022531	40114	3
10158	50022532	30012	6
10158	50022533	1	30000
10159	50022540	200	36
10159	50022541	40113	3
10159	50022542	1	60000
10159	50022543	70001	90
10160	50022550	200	12
10160	50022551	3	60
10160	50022552	40301	60
10160	50022553	70001	18
10161	50022560	200	18
10161	50022561	505	3
10161	50022562	30013	3
10161	50022563	1	90000
10162	50022570	200	18
10162	50022571	3	90
10162	50022572	70001	24
10163	50022580	200	18
10163	50022581	12	18
10163	50022582	70001	36
10163	50022583	17050115	1
10164	50022590	200	18
10164	50022591	70001	48
10164	50022592	17050114	1
10165	50022600	17050113	1
10166	50027640	200	8
10166	50027641	12	6
10166	50027642	30012	2
10166	50027643	1	24000
10167	50027650	200	8
10167	50027651	40100	2
10167	50027652	30012	2
10167	50027653	1	26000
10168	50027660	200	8
10168	50027661	40104	2
10168	50027662	30012	2
10168	50027663	1	30000
10169	50027670	200	8
10169	50027671	40103	2
10169	50027672	30012	2
10169	50027673	1	40000
10170	50027680	200	6
10170	50027681	40110	2
10170	50027682	31204	6
10170	50027683	12	4
10171	50027690	200	6
10171	50027691	505	2
10171	50027692	30013	2
10171	50027693	1	60000
10172	50027700	200	6
10172	50027701	40114	2
10172	50027702	31204	6
10172	50027703	12	4
10173	50027710	200	12
10173	50027711	12	6
10173	50027712	30012	2
10173	50027713	1	24000
10174	50027720	200	12
10174	50027721	40100	4
10174	50027722	30012	2
10174	50027723	1	26000
10175	50027730	200	12
10175	50027731	40104	4
10175	50027732	30012	2
10175	50027733	1	30000
10176	50027740	200	10
10176	50027741	40103	4
10176	50027742	30012	2
10176	50027743	1	40000
10177	50027750	200	10
10177	50027751	40110	2
10177	50027752	31204	6
10177	50027753	12	4
10178	50027760	200	10
10178	50027761	505	2
10178	50027762	30013	2
10178	50027763	1	60000
10179	50027770	200	8
10179	50027771	40114	2
10179	50027772	31204	6
10179	50027773	12	4
10180	50027780	200	6
10180	50027781	12	6
10180	50027782	30012	2
10180	50027783	1	12000
10181	50027790	200	8
10181	50027791	40110	2
10181	50027792	30012	2
10181	50027793	1	12000
10182	50027800	200	10
10182	50027801	40114	2
10182	50027802	30012	2
10182	50027803	1	16000
10183	50027810	200	14
10183	50027811	40113	2
10183	50027812	30012	2
10183	50027813	1	36000
10184	50027820	200	18
10184	50027821	3	20
10184	50027822	40301	10
10184	50027823	12	4
10185	50027830	200	6
10185	50027831	505	2
10185	50027832	30013	2
10185	50027833	1	60000
10186	50027840	200	8
10186	50027841	1	80000
10187	50027850	200	10
10187	50027851	3	30
10187	50027852	40301	10
10187	50027853	12	4
10188	50027860	200	16
10188	50027861	1	100000
10189	50027870	200	12
10189	50027871	12	6
10189	50027872	30012	4
10189	50027873	1	6000
10190	50027880	200	12
10190	50027881	40110	2
10190	50027882	1	10000
10190	50027883	70001	48
10191	50027890	200	16
10191	50027891	40114	2
10191	50027892	30012	4
10191	50027893	1	20000
10192	50027900	200	24
10192	50027901	40113	2
10192	50027902	1	40000
10192	50027903	70001	60
10193	50027910	200	8
10193	50027911	3	40
10193	50027912	40301	40
10193	50027913	70001	12
10194	50027920	200	12
10194	50027921	505	2
10194	50027922	30013	2
10194	50027923	1	60000
10195	50027930	200	12
10195	50027931	3	60
10195	50027932	70001	16
10196	50027940	200	12
10196	50027941	12	12
10196	50027942	70001	24
10196	50027943	17050115	1
10197	50027950	200	12
10197	50027951	70001	32
10197	50027952	17050114	1
10198	50027960	17050113	1
10199	50031010	200	12
10199	50031011	12	9
10199	50031012	30012	3
10199	50031013	1	36000
10200	50031020	200	12
10200	50031021	40100	3
10200	50031022	30012	3
10200	50031023	1	39000
10201	50031030	200	12
10201	50031031	40104	3
10201	50031032	30012	3
10201	50031033	1	45000
10202	50031040	200	12
10202	50031041	40103	3
10202	50031042	30012	3
10202	50031043	1	60000
10203	50031050	200	9
10203	50031051	40110	3
10203	50031052	31204	9
10203	50031053	12	6
10204	50031060	200	9
10204	50031061	505	3
10204	50031062	30013	3
10204	50031063	1	90000
10205	50031070	200	9
10205	50031071	40114	3
10205	50031072	31204	9
10205	50031073	12	6
10206	50031080	200	18
10206	50031081	12	9
10206	50031082	30012	3
10206	50031083	1	36000
10207	50031090	200	18
10207	50031091	40100	6
10207	50031092	30012	3
10207	50031093	1	39000
10208	50031100	200	18
10208	50031101	40104	6
10208	50031102	30012	3
10208	50031103	1	45000
10209	50031110	200	15
10209	50031111	40103	6
10209	50031112	30012	3
10209	50031113	1	60000
10210	50031120	200	15
10210	50031121	40110	3
10210	50031122	31204	9
10210	50031123	12	6
10211	50031130	200	15
10211	50031131	505	3
10211	50031132	30013	3
10211	50031133	1	90000
10212	50031140	200	12
10212	50031141	40114	3
10212	50031142	31204	9
10212	50031143	12	6
10213	50031150	200	9
10213	50031151	12	9
10213	50031152	30012	3
10213	50031153	1	18000
10214	50031160	200	12
10214	50031161	40110	3
10214	50031162	30012	3
10214	50031163	1	18000
10215	50031170	200	15
10215	50031171	40114	3
10215	50031172	30012	3
10215	50031173	1	24000
10216	50031180	200	21
10216	50031181	40113	3
10216	50031182	30012	3
10216	50031183	1	54000
10217	50031190	200	27
10217	50031191	3	30
10217	50031192	40301	15
10217	50031193	12	6
10218	50031200	200	9
10218	50031201	505	3
10218	50031202	30013	3
10218	50031203	1	90000
10219	50031210	200	12
10219	50031211	1	120000
10220	50031220	200	15
10220	50031221	3	45
10220	50031222	40301	15
10220	50031223	12	6
10221	50031230	200	24
10221	50031231	1	150000
10222	50031240	200	18
10222	50031241	12	9
10222	50031242	30012	6
10222	50031243	1	9000
10223	50031250	200	18
10223	50031251	40110	3
10223	50031252	1	15000
10223	50031253	70001	72
10224	50031260	200	24
10224	50031261	40114	3
10224	50031262	30012	6
10224	50031263	1	30000
10225	50031270	200	36
10225	50031271	40113	3
10225	50031272	1	60000
10225	50031273	70001	90
10226	50031280	200	12
10226	50031281	3	60
10226	50031282	40301	60
10226	50031283	70001	18
10227	50031290	200	18
10227	50031291	505	3
10227	50031292	30013	3
10227	50031293	1	90000
10228	50031300	200	18
10228	50031301	3	90
10228	50031302	70001	24
10229	50031310	200	18
10229	50031311	12	18
10229	50031312	70001	36
10229	50031313	17050115	1
10230	50031320	200	18
10230	50031321	70001	48
10230	50031322	17050114	1
10231	50031330	17050113	1
10232	50033680	200	12
10232	50033681	12	9
10232	50033682	30012	3
10232	50033683	1	36000
10233	50033690	200	12
10233	50033691	40100	3
10233	50033692	30012	3
10233	50033693	1	39000
10234	50033700	200	12
10234	50033701	40104	3
10234	50033702	30012	3
10234	50033703	1	45000
10235	50033710	200	12
10235	50033711	40103	3
10235	50033712	30012	3
10235	50033713	1	60000
10236	50033720	200	9
10236	50033721	40110	3
10236	50033722	31204	9
10236	50033723	12	6
10237	50033730	200	9
10237	50033731	505	3
10237	50033732	30013	3
10237	50033733	1	90000
10238	50033740	200	9
10238	50033741	40114	3
10238	50033742	31204	9
10238	50033743	12	6
10239	50033750	200	18
10239	50033751	12	9
10239	50033752	30012	3
10239	50033753	1	36000
10240	50033760	200	18
10240	50033761	40100	6
10240	50033762	30012	3
10240	50033763	1	39000
10241	50033770	200	18
10241	50033771	40104	6
10241	50033772	30012	3
10241	50033773	1	45000
10242	50033780	200	15
10242	50033781	40103	6
10242	50033782	30012	3
10242	50033783	1	60000
10243	50033790	200	15
10243	50033791	40110	3
10243	50033792	31204	9
10243	50033793	12	6
10244	50033800	200	15
10244	50033801	505	3
10244	50033802	30013	3
10244	50033803	1	90000
10245	50033810	200	12
10245	50033811	40114	3
10245	50033812	31204	9
10245	50033813	12	6
10246	50033820	200	9
10246	50033821	12	9
10246	50033822	30012	3
10246	50033823	1	18000
10247	50033830	200	12
10247	50033831	40110	3
10247	50033832	30012	3
10247	50033833	1	18000
10248	50033840	200	15
10248	50033841	40114	3
10248	50033842	30012	3
10248	50033843	1	24000
10249	50033850	200	21
10249	50033851	40113	3
10249	50033852	30012	3
10249	50033853	1	54000
10250	50033860	200	27
10250	50033861	3	30
10250	50033862	40301	15
10250	50033863	12	6
10251	50033870	200	9
10251	50033871	505	3
10251	50033872	30013	3
10251	50033873	1	90000
10252	50033880	200	12
10252	50033881	1	120000
10253	50033890	200	15
10253	50033891	3	45
10253	50033892	40301	15
10253	50033893	12	6
10254	50033900	200	24
10254	50033901	1	150000
10255	50033910	200	18
10255	50033911	12	9
10255	50033912	30012	6
10255	50033913	1	9000
10256	50033920	200	18
10256	50033921	40110	3
10256	50033922	1	15000
10256	50033923	70001	72
10257	50033930	200	24
10257	50033931	40114	3
10257	50033932	30012	6
10257	50033933	1	30000
10258	50033940	200	36
10258	50033941	40113	3
10258	50033942	1	60000
10258	50033943	70001	90
10259	50033950	200	12
10259	50033951	3	60
10259	50033952	40301	60
10259	50033953	70001	18
10260	50033960	200	18
10260	50033961	505	3
10260	50033962	30013	3
10260	50033963	1	90000
10261	50033970	200	18
10261	50033971	3	90
10261	50033972	70001	24
10262	50033980	200	18
10262	50033981	12	18
10262	50033982	70001	36
10262	50033983	17050115	1
10263	50033990	200	18
10263	50033991	70001	48
10263	50033992	17050114	1
10264	50034000	17050113	1
