Id	TaskId[1]	TaskId[2]	TaskId[3]	TaskId[4]	TaskId[5]	TaskId[6]	TaskId[7]	TaskId[8]	TaskId[9]	TaskId[10]	TaskId[11]	TaskId[12]	TaskId[13]	TaskId[14]	TaskId[15]	TaskId[16]	TaskId[17]	TaskId[18]	TaskId[19]	TaskId[20]	TaskId[21]	TaskId[22]	TaskId[23]	TaskId[24]	TaskId[25]	TaskId[26]	TaskId[27]	TaskId[28]	TaskId[29]	TaskId[30]	TaskId[31]	TaskId[32]	TaskId[33]	TaskId[34]	TaskId[35]	TaskId[36]	TaskId[37]	TaskId[38]	TaskId[39]	TaskId[40]	TaskId[41]	TaskId[42]	TaskId[43]	TaskId[44]	TaskId[45]	TaskId[46]	TaskId[47]	TaskId[48]	TaskId[49]	TaskId[50]	TaskId[51]	TaskId[52]	TaskId[53]	TaskId[54]	TaskId[55]	TaskId[56]	DayTaskId[1]	DayTaskId[2]	DayTaskId[3]	DayTaskId[4]	DayTaskId[5]	DayTaskId[6]	DayTaskId[7]	TimeId	PlayerCondition[1]	Duration	WeekTaskId[1]	WeekTaskId[2]	WeekTaskId[3]	WeekTaskId[4]	WeekTaskId[5]	ReissueMailId
13	11701	11702	11703	11704	11705	11706	11707	11708	11709	11710	11711	11712	11713	11714	11715	11716	11717	11718	11719	11720																																																				
14																																																									37000	37001	37002	37003	37004	37005										
15																																																									33000	33001	33002	33003												
16	11721	11722	11723	11724	11725	11726	11727	11728	11729	11730	11731	11732	11733																																																											
17																																																									37006	37007														
18	38000	38001	38002	38003	38004	38005	38006	38007	38008	38009																																																														
19	11821	11822	11823	11824	11825	11826	11827	11828	11829	11830	11831	11832	11833	11834	11835	11836	11837																																																							
20	38101	38102	38103	38104	38105	38106	38107	38108																																																																
21	11901	11902	11903	11904	11905	11906	11907																																																																	
22																																																									11921	11922	11923	11924												
23	12021	12022	12023	12024	12025	12026	12027	12028	12029	12030	12031	12032	12033	12034																																																										
24																																																									12041	12042	12043													
25																																																									12041	12042	12043													
26																																																									12041	12042	12043													
27																																																									12041	12042	12043													
28																																																									12041	12042	12043													
29	11640																																																															99	845001	604800						
30	39301	39302	39303	39304	39305	39306	39307																																																																	
31	40503	40504	40505	40506	40507	40508	40509	40510	40511	40512																																																							845020							
32																																																									11941	11942	11943													
33																																																									11951	11952	11953													
34	12051	12052	12053	12054																																																																				
35	12055																																																																							
36	12056																																																																							
37	12057																																																																							
38	12060	12061	12062	12065	12063	12064	99900																																																																	
39	11939																																																																							
40																																																									11961	11962	11963													
41	12066	12067	12068	12069	12070	12082																																																																		
42	13531	13532	13533	13534	13535	13536	13537	13538	13539																																																															
43	12071	12072	12073	12074	12075	12076	12077	12078	12079																																																															
44																																																									11964	11965	11966													
45	12080																																																																							
46	12081																																																																							
47																																																									12083	12084														
48	12085	12086	12087	12088	12089																																																																			
49	13531	13532	13533	13534	13535	13536	13537	13538	13539	13540	13541	13542	13543	13544	13545	13546																																																								
50	39308	39309																																																																						
51	12107																																																																							
52	12094	12095	12096	12097	12098	12099	12100	12101	12102	12103	12104	12105	12106																																																											
53																																																									11972	11973	11974													
54	12115	12116	12117	12118																																																																				
55	12108	12109	12110	12111	12112																																																																			
56	12114																																																																							
57	12113																																																																							
58																																																									12123	12124	12125													
59																																																									12126	12127	12128													
60	12121	12122																																																							12119	12120														
61	12132	12133	12134	12135	12136	12137	12138	12139	12140	12141	12142	12143	12144	12145																																																										
62																																																									12129	12130	12131													
63	74001	74002	74003	74004	74005	74006	74007	74008	74009	74010	74011	74012	74013																																																											
64	12146																																																																							
65	12147																																																																							
66	12217	12218	12219	12220	12221	12222	12223	12224																																																																
67	12159	12160	12161	12162																																																																				
68	12163																																																																							
69	12165																																																																							
70	12164																																																																							
71	12146																																																																							
72																																																									12148	12149	12150													
73																																																									76000	76001	76002	76003	76004	76005										
74	76006	76007	76008	76009	76010	76011	76012	76013	76014	76015	76016	76017	76018	76019	76020	76021	76022	76023	76024	76025	76026	76027	76028	76029	76030	76031	76032	76033	76034	76035	76036	76037	76038	76039	76040	76041	76042	76043	76044	76045	76046	76047																														
75	12172	12173	12174	12175	12176	12177	12178	12179	12180																																																															
76																																																									12166	12167	12168													
77																																																									12123	12124	12125													
78	74101	74102	74103	74104	74105	74106	74107	74108	74109	74110	74111	74112	74113	74114	74115	74116																																																								
79	12197																																																																							
80	12198	12199	12200																																																																					
81	12201	12202	12203																																																																					
82																																																									12214	12215	12216													
83																																																									18101	18102	18103	18104												
84	18105	18106	18107	18108	18109	18110																																																																		
85	19101	19102	19103	19104	19105	19106	19107	19108																																																																
86																																																									19201	19202	19203	19204	19205											
87	19301	19302	19303	19304	19305	19306	19307	19308	19309	19310	19311	19312																																																												
88	12225	12226	12227	12228																																																																				
89	12229																																																																							
90																																																									12230	12231	12232													
91	12233	12234	12235	12236	12237	12238																																																																		
92	12239																																																																							
93	12240	12241	12242																																																																					
94	12245																																																																							
95																																																									76048	76049	76050	76051	76052	76053	76054									
96	76055	76056	76057	76058	76059	76060	76061	76062	76063	76064	76065	76066	76067	76068	76069	76070	76071	76072	76073	76074	76075	76076	76077	76078	76079	76080	76081	76082	76083	76084	76085	76086	76087	76088	76089	76090	76091	76092	76093	76094	76095	76096																														
97	12254	12255																																																							12248	12249	12250													
98																																																									12251	12252	12253													
99																																																									18121	18122	18123	18124												
100	18125	18126	18127	18128	18129																																																																			
101	12261	12262	12263	12264	12265	12266																																																																		
102	12267																																																																							
103	12268	12269	12270																																																																					
104																																																									12271	12272	12273													
105																																																									18131	18132	18133													
106	18134	18135	18136	18137	18138																																																																			
107	23101	23102	23103	23104	23105	23106	23107	23108	23109	23110	23111	23112	23113	23114	23115	23116	23117	23118																																																						
108																																																									12274															
109	12275	12276	12277	12278	12279	12280																																																																		
110	12281																																																																							
111	12282																																																																							
112	12283	12284	12285	12286																																																																				
113	74201	74202	74203	74204	74205	74206	74207	74208	74209	74210	74211	74212	74213	74214	74215	74216																																																								
114	23119	23120	23121	23122	23123	23124	23125	23126	23127	23128	23129	23130	23131	23132	23133	23134	23135	23136																																																						
115	23002	23201	23202	23203	23204	23205	23206	23207	23208	23301	23302	23303																																																												
116	23001																																																																							
117	12287																																																																							
118																																																									12288	12289	12290													
119	20101	20102	20103	20104	20105	20106	20107	20108	20109	20110	20111	20112	20113	20114	20115	20116	20117	20118	20119	20120	20121	20122	20123	20124	20125	20126																																														
120	86101	86102	86103	86104	86105	86106	86107	86108	86109																																																															
121	86110	86111	86112	86113	86114	86115																																																																		
122	86116	86117	86118	86119	86120	86121	86122	86123	86124	86125	86126	86127																																																												
123	86128	86129	86130																																																																					
124	120001	120002	120003	120004	120005	120006																																																																		
125	120007	120008	120009	120010																																																																				
126	120011																																																																							
127																																																									12291	12292	12293													
128	15501	15502	15503																																																																					
129	15511	15512	15513																																																																					
130	15521	15522	15523																																																																					
131	15531	15532	15533																																																																					
132	12294	12295	12296																																																																					
133																																																									18141	18142	18143													
134	18144	18145	18146	18147	18148																																																																			
3000	2120014	2120015	2120016	2120017	2120018	2120019																																																																		
135	86131	86132	86133	86134	86135	86136																																																																		
136	120012	120013	120018	120019	120020	120021																																																																		
137	120014	120015	120016	120017																																																																				
138	120022																																																																							
139	87010	87011	87012	87013	87014	87015	87016	87017	87018	87019	87020	87021	87022	87023	87024	87025																																																								
140																																																									12297	12298	12299													
141	86137																																																																							
142	120023	120024	120028	120029	120030	120031	120032																																																																	
143	120025	120026	120027																																																																					
144	120033																																																																							
145	120034																																																																							
146																																																									12400	12401	12402					11101								
147																																																									18150	18151	18152					11102								
148	18153	18154	18155	18156	18157	18158	18159	18160	18161	18162																																																						11102								
3001	2120030	2120031	2120032	2120033	2120034	2120035	2120036	2120037	2120038	2120039																																															2120040							100005								
149	91001	91002	91003	91004	91005																																																											11912								
150	120035	120036	120044	120045	120046	120047	120048	120049																																																								11401								
151	120037	120038	120039																																																													11906								
152	120040																																																															11908								
153	120041																																																															11905								
154	120042																																																															11904								
155	120043																																																															11903								
156	120050																																																															11401								
157																																																									12408	12409	12410					12001								
158																																																									76097	76098	76099	76100	76101	76102		12101								
159	76103	76104	76105	76106	76107	76108	76109	76110	76111	76112	76113	76114	76115	76116	76117	76118	76119	76120	76121	76122	76123	76124	76125	76126	76127	76128	76129	76130	76131	76132	76133	76134	76135	76136	76137	76138	76139	76140	76141	76142	76143	76144																						12101								
160	91006	91007	91008																																																													11913								
161	120051	120052	120057	120058	120059																																																											12002								
162	120053	120054	120055																																																													12505								
163	120056																																																															12502								
164																																																									18163	18164	18165													
165	18166	18167	18168	18169	18170	18171	18172	18173	18174	18175																																																														
166	1001110																																																															13103								
167	1002110																																																															13104								
168																																																									12411	12412	12413					13001								
169	91009	91010	91011																																																													11914								
170																																																									12414	12415	12416					14001								
171																																																									94001	94002	94003					13301								
172	94004	94005	94006	94007	94008	94009																																																										13301								
173	18166	18167	18168	18169	18170	18171																																																										14002								
174	94004	94005	94006	94007	94008	94009																																																										14002								
175	120060	120061	120068	120069	120070	120071	120072																																																									13105								
176	120062	120063	120064																																																													13805								
177	120065																																																															13802								
178	120066																																																															13803								
179	120067																																																															13806								
180	94101	94102	94103	94104	94105	94106	94107	94108	94109	94110																																																						14002								
181	96001	96002	96003	96004	96005	96006	96007	96008	96009	96010	96011	96012	96013	96014	96015	96016	96017	96018	96019	96020	96021																																											14601								
182	91015	91016	91017																																																													11918								
183	120085																																																															14902								
184	120073	120074	120082	120083	120084																																																											14701								
185	120075	120076	120077																																																													14301								
186	120078																																																															14701								
187	120079																																																															14303								
188	120080																																																															14304								
189	120081																																																															14302								
190																																																									12417	12418	12419					15001								
191	97043	97044	97045	97046	97047	97048	97049	97050	97051	97052	97053	97054	97055	97056	97057	97058																																																15201								
192	15541	15542	15543	15544																																																												15111								
193	120086	120087	120096	120097	120098	120100	120101	120102																																																								15401								
194	120088	120089	120090																																																													15821								
195	120091																																																															15805								
196	120092																																																															15806								
197	120093																																																															15701								
198	120094																																																															15822								
199	120095																																																															15401								
200	120099																																																															15003								
201	15551	15552	15553	15554																																																												15111								
202	15561	15562	15563	15566																																																												15111								
203																																																									12420	12421	12422					16001								
204																																																									97101	97102	97103					20201								
205																																																									97104	97105	97106	97107				16001								
206	97108	97109	97110	97111	97112	97113	97114	97115	97116	97117	97118	97119	97120	97121	97122	97123	97124	97125	97126	97127	97128	97129																																										20201								
207	97130	97131	97132																																																													15809								
208	97150	97151	97152	97153	97154	97155	97157	97158	97159	97160	97161	97162	97164	97165	97166																																																	15011								
209	97172	97173	97174																																																						97170	97171						16501								
210	97200	97201	97202	97203	97204	97205	97206	97207	97208	97209	97210	97211	97212	97213	97214	97215																																																16201								
211	87026	87027	87028	87029	87030	87031	87033	87034	87036	87037	87039	87040	87041	87042	87043	87044	87045	87046	87047	87048																																												16201								
212	97300																																																															98								
213	91018	91019	91020																																																													11920								
214	120103	120104	120109	120110	120111	120112	120113																																																									16800								
215	120105	120106	120107																																																													16301								
216	120108																																																															16302								
217																																																									12423	12424	12425					17001								
218																																																									76145	76146	76147					17201								
219	76148	76149	76150	76151	76152	76153	76154	76155	76156	76157	76158	76159	76160	76161	76162	76163	76164	76165	76166	76167	76168	76169																																										17201								
220	97350	97351	97353	97354	97356	97357	97358	97359	97360	97361	97362	97363	97364	97365	97366	97367	97368	97369																																														17501								
221	91021	91022	91023																																																													11921								
222	97380	97381	97382	97383	97384	97385																																																										17401								
223	120114	120115	120122	120124	120125	120126	120127																																																									17700								
224	120116	120117	120118																																																													17301								
225	120119																																																															17302								
226	120120																																																															17303								
227	120121																																																															17920								
228	120123																																																															17102								
229																																																									240442	240443	240444	240445	240446			29903								
230	240447	240448	240449	3001091																																																												29903								
231																																																									12426	12427	12428					18109								
232	97500	97501	97502	97503	97504	97505	97506	97507	97508	97509	97510	97511	97512	97513																																																		18121								
233	91024	91025	91026																																																													11924								
234	120128	120129	120135	120136	120137	120138	120139																																																									18106								
235	120130	120131	120132																																																													18301								
236	120133																																																															18001								
237	120134																																																															18106								
238	97595	97596	97597	97598	97599	97600	97601	97602																																																								19001								
239																																																									97603	97604	97605	97606	97607			19001								
240	97608	97609	97610	97611	97612	97613	97614	97615	97616	97617	97618	97619																																																				19001								
241	12455	12456	12457																																																													19105								
242	120140	120141	120146	120147	120148	120149	120150	120151																																																								19401								
243	120145																																																															19313								
244	120142	120143	120144																																																													19311								
245	97914	97915	97916	97917	97918	97919	97920																																																									20201								
246	91027	91028	91029																																																													11933								
247	120152																																																															19312								
248																																																									97703	97704						20301								
249	97705	97706	97707	97708	97709	97710	97711	97712	97713	97714	97715																																																					20301								
250	90301	90302	90303	90307	90308	90309																																																										20701								
251	97950	97951	97952	97953																																																												20930								
252																																																									12458	12459	12460					20601								
253																																																									97878	97879	97880					20501								
254	97881	97883	97884	97885	97886	97887	97888	97889																																																								20501								
255																																																									97890	97891	97892					20204								
256																																																									97893	97894	97895	97896				20205								
257	97897	97898	97899	97900	97901	97902	97903	97904	97905	97906	97907	97908	97909	97910	97911	97912	97913	97921	97922																																													20201								
258	120153	120154	120155	120164	120166	120167	120168	120169	120170																																																							20806								
259	120156	120157	120158																																																													20411								
260	120159																																																															20413								
261	120160																																																															20914								
262	120161																																																															20912								
263	120162																																																															20913								
264	120163																																																															20101								
265	120165																																																															20402								
266	120171																																																															20090								
267																																																									12461	12462	12463					21101								
268	87049	87050	87051	87052	87053	87054	87055	87056	87057	87058	87059	87060	87061	87062	87063																																																	28								
269	87064	87065	87066	87067	87068	87069	87070	87071	87072	87073	87074	87075	87076	87077	87078																																																	28								
270	20130	20131	20132	20133	20134	20135	20136																																																									21010								
271	120172	120173	120174	120175	120176	120177	120178																																																									21301								
272	120179	120180	120181																																																													21403								
273	120182																																																															21402								
274	120183																																																															21303								
275	120184																																																															21000								
276	92312	92313	92314																																																													11934								
277																																																									98012	98013	98014					22001								
278	98015	98016	98017	98018	98019	98020																																																										22001								
279	97954	97955	97956	97957	97958	97959	97960	97961	97962	97963	97964	97965	97966	97967	97968	97969	97970	97971	97972	97973																																												21010								
280																																																									97985	97986	97987					22201								
281	97988	97989	97990	97991	97992	97993	97994	97995	97996	97997	97998	97999	98000	98001	98002	98003	98004	98005	98006	98007	98008	98009	98010	98011																																								22201								
282	98024	98025	98026	98027	98028	98029																																																										22001								
289																																																									12464	12465	12466					22101								
290	98030	98031	98032																																																													11935								
291	120185	120186	120187	120188	120189																																																											22407								
292	120190	120191	120192																																																													22501								
293	120193																																																															22502								
294	120194																																																															22503								
295	98033	98034	98035																																																													11936								
296																																																									98040	98041	98042					23401								
297	98043	98044	98045	98046	98047	98048	98049	98050	98051																																																							23401								
298																																																									12467	12468	12469					23101								
299	120195	120196	120197	120198	120199	120200																																																										23611								
300	120202	120203	120204																																																													23901								
301	120205																																																															23902								
302	120206																																																															23903								
303	120207																																																															23904								
304	120201																																																															23615								
305	98053	98054	98055	98056	98057																																																											24201								
306	98058	98059	98060	98061	98062																																																											24201								
307																																																									12470	12471	12472					24301								
308	98052																																																															28								
309	98036	98037	98038																																																													11937								
310	120208	120209	120210	120211	120212	120213																																																										24112								
311	120215	120216	120217																																																													24801								
312	120214																																																															24111								
313	98085	98086	98087																																																													11938								
314	98080	98081	98082	98083	98084																																																											25802								
315																																																									12473	12474	12475					25401								
316	98275	98276	98277	98278	98279	98280	98281	98282	98283	98284	98285																																																					25601								
317	98295	98296	98297	98298	98299	98300																																																										25602								
318	98286	98287	98288	98289	98290	98291	98292	98293	98294																																																							25603								
319	120221	120222	120223	120231	120232	120230	120233																																																									25705								
320	120224	120225	120226																																																													25804								
321	120227																																																															25804								
322	120228																																																															25710								
323	120229																																																															25711								
324	120234																																																															25801								
325																																																									12476	12477	12478					26301								
326	98342	98343	98344	98345	98346	98347	98348	98349	98350	98351	98352	98353	98354	98355	98356	98357	98358	98359	98360	98361	98362	98363	98364	98365																																								26501								
327																																																									98366	98367	98368					26401								
328	98369	98370	98371																																																													11939								
329	120235	120236	120237	120238	120239	120240																																																										26204								
330	120241	120242	120243																																																													26601								
331	120244																																																															26603								
332	120245	120246	120247	120248	120249																																																											27962								
333	98394	98395	98396	98397	98398	98399	98400	98401	98402	98403	98404	98405	98406	98407	98408	98409	98410	98411																																														27701								
334																																																									98391	98392	98393					27701								
335	240001	240002	240003	240004	240005	240006	240007	240008	240009	240010	240011	240012	240013	240014	240101	240102	240103	240104	240105	240106	240107	240108	240109	240110	240111	240112	240113	240114	240201	240202	240203	240204	240205	240206	240207	240208	240209	240210	240211	240212	240213	240214																						29401								
336	240301	240302	240303	240304	240305																																																																			
337	240401	240402	240403	240404	240405	240406	240410	240411	240412	240413	240416	240417	240418																																																			29401								
338																																																									12479	12480	12481					27401								
339	98456	3000909	98458	3000910	98460	98461	3000911	98463	3000912	98465	98466																																																					27950								
340	120250	120251	120262	120267	120252	120264	120274	120275	120276																																																							27907								
341	120253	120254	120255																																																													27920								
342	120256																																																															27921								
343	120257																																																															27910								
344	120258																																																															27911								
345	120259																																																															27801								
346	120260																																																															27913								
347	98469	98470	98471																																																													11940								
348	98490	98491	98492	98493	98494	98495	98496	98497																																																								28401								
349																																																									98498	98499	98500	98501	98502	98503		28401								
350	98504	98505	98506	98507	98508	98509	98510	98511	98512	98513	98514	98515																																																				28401								
351																																																									12482	12483	12484					28501								
352	120265	120266																																																														28306								
353	120268	120269	120270																																																													28701								
354	120271																																																															28702								
355	120272																																																															28309								
356	120273																																																															28310								
360	98556	98557	98558	98559	98560																																																											28405								
357	98541	98542	98543	98544	98545																																																											29101								
358	98546	98547	98548	98549	98550																																																											29101								
359	98551	98552	98553	98554	98555																																																											29101								
361	98517	98518	98519	98520	3001090	98524	98525	98526																																																								29301								
362																																																									98527	98528	98529					29301								
363	240419	240420	240421	240422																																																												29751								
364	98758	98759	98760	98761																																																												30304								
365	98762	98763	98764	98765																																																												30303								
366	98766	98767	98768	98769																																																												30302								
367	98770	98771	98772	98773																																																												30301								
368	98556	98557	98558	98559	98560																																																											29102								
369																																																									12485	12486	12487					29801								
370	240423	240424	240425	240426	240427																																																											11941								
371	15601	15602	15603	15604	15605	15606																																																										30104								
372	15611	15612	15613	15614	15615	15616																																																										30104								
373	120277	120278	120279	120294	90941	120284	120285	120286	120287	120299	90937	90939																																																				29707								
374	120280	120281	120282																																																													29601								
375	120283																																																															29602								
376	120288																																																															29710								
377	120289																																																															29711								
378	120290																																																															29712								
379	120291																																																															29311								
380																																																									12488	12489	12490					30501								
381	98556	98557	98558	98559	98560																																																											31012								
382	240451	240452	240453	240454	240455																																																											11942								
383	98786	98787	98788	98789																																																												32311								
384	98778	98779	98780	98781																																																												32309								
385	98782	98783	98784	98785																																																												32310								
386	98774	98775	98776	98777																																																												32312			3000555	3000620	3000621	3000622		
387	120292	120293	120298	120300	120301																																																											30806			3000798	3000799	3000800	3000801		
388	120295	120296	120297																																																													30601								
389	120302																																																															30602								
390	120303																																																															31014								
391																																																									90910	90911	90912					32001								
392	90913	90914	90915	90916	90917	90919	90920	90921	90922																																																							32001								
393	98556	98557	98558	98559	98560																																																											32204								
394																																																									90950	90951	90952					32501								
395	240456	240457	240458	240459	240460																																																											11943								
396	90935	90936	90938	90940																																																												32905								
397	90942	90943	90944																																																													32701								
398	90945																																																															32702								
399	90946																																																															32704								
400	90947																																																															32705								
401	90948																																																															32910								
402	90949																																																															32703								
403	90953	90954	90955	90956	90957	90958	90959	90960	90961																																																							32501								
404	90970	90971	90972	90973	90974	90975	90976																																																									907								
405	90977	90978	90979	90980	90981	90982	90983	90984	90985	90986	90987	90988	90989	90990																																																		907								
406	98556	98557	98558	98559	98560																																																											33604								
407																																																									12491	12492	12493					33102								
408	120304	120305	120306	120307	120308	120310	120424	120422	120423																																																							33807								
409	120311	120312	120313																																																													33301								
410	120314																																																															33302								
411	120315																																																															33304								
412	120316																																																															33305								
413	120317																																																															33020								
414	240461	240462	240463	240464	240465																																																											11944								
415																																																									240520	240521	240522					34401								
416	240523	240524	240525	240526	240527	240528	240529	240530	240531	240532	240533	240534	240535	240536	240537																																																	34401								
417	240466	240467	240468	240469	240470																																																											11945								
418	120400	120401	120402	120404	120405	120406	120408	120409	120411	120412	120413	120415																																																				34201								
419	120403	120407	120410	120414	120416																																																											34201								
420	82091	82092	82093	82094	82095																																																											34601								
421	82096	82097	82098	82099	82100	82101	82102	82103	82104																																																							34601								
422	82105	82106	82107	82108																																																												34601								
423																																																									91030	91031	91032					35301								
424	91033	91034																																																														35303								
426	98556	98557	98558	98559	98560																																																											34008								
427	98902																																																															34211								
428	3001185																																																															34212								
429	98904	98905	98906	98907																																																												34213								
430	98908	98909	98910	98911																																																												34214								
431	120418	120419	120420	120421	120422	120424																																																										34705								
432	120425	120426	120427																																																													34801								
433	120428																																																															34802								
434	120429																																																															2160516								
435	40825	40826	40827	40828	40829	40830	40831	40832	40833	40834																																																						35950								
436	99305	99306	99307	99308	99309	99310	99311	99312	99313	99314	99315	99316	99317																																																			35201								
437	99318	99319	99320	99321																																																												35201								
438	240701	240702	240703	240704	240705	240706	240707	240708	240709	240710	240711	240712	240713	240714	240715	240716	240717	240718	240719	240720	240721	240722	240723	240724	240725	240726	240727	240728	240729	240730	240731	240732	240733	240734	240735	240736	240737	240738	240739																									35330								
439	240754	240740	240741																																																																					
440	240742	240743	240744	240745	240746	240747	240748	240749	240750	240751	240752	240753																																																				35330								
441	82113	82114	82115	82116	82117																																																											35321								
442	82118	82119	82120	82121	82122	82123	82124	82125	82126																																																							35321								
443	82109	82110	82111	82112																																																												35321								
444	91117	91118	91119	91120	91121																																																											35402								
445	91035	91036																																																														35304								
446	91037	91038																																																														35305								
447	91039	91040	91041	91042																																																												35306								
448	91043																																																															35307								
449	91050	91051	91052	91053	91054	91055	91056	91057	91058	91059	91060	91061	91062	91063	91064																																																	36001								
450	240471	240472	240473	240474	240475																																																											11946								
451	120436	120437	120438	120485	120488	120430	120431	120432	120452	120489																																																						35905								
452	120433	120434	120435																																																													35501								
453	120441																																																															35502								
454	120442																																																															35905								
455	120443																																																															35504								
456	120444																																																															35505								
457	120445																																																															35907								
458																																																									12494	12495	12496					35601								
459	91113	91114	91115	91116																																																												36301								
460	91101	91102	91103	91104																																																												36302								
461	91105	91106	91107	91108																																																												36303								
462	91109	91110	91111	91112																																																												36304								
463	82157	82158	82159	82160	82161																																																											36201								
464	82162	82163	82164	82165	82166	82167	82168	82169	82170																																																							36201								
465	82171	82172	82173	82174																																																												36201								
466	240476	240477	240478	240479	240480																																																											11947								
467	91122	91123	91124	91125	91126																																																											36402								
468	12497	12498	12499																																																													36906								
469	120447	120448	120449	120450	120451																																																											36504								
470	120453	120454	120455																																																													36601								
471	120456																																																															36801								
472	120457																																																															36506								
473	120458																																																															36506								
474	120459																																																															36506								
475	120460	120461	120462	120463	120464	120465																																																										37101								
476	120466	120467	120468	120469	120470	120471	120472																																																									37101								
477	240481	240482	240483	240484	240485																																																											11948								
478	120473	120474	130052																																																																					
479																																																									120475	120476	120477					37402								
480	120478	120479	120480																																																													37801								
481	120481																																																															37802								
482	130001	130002	130003	130004	130005	130007	130008	130009	130010	130011	130012	130013	130014	130015	130016	130017	130018	130021	130023	130024	130025	130026	130027	130028	130029	130030	130031	130032	130033	130034	130035	130036	130037	130038	130039																													38101								
483	130040	130041	130042	130043	130044	130045	130046	130047	130048	130049	130050	130051																																																				38101								
484	91127	91128	91129	91130	91131																																																											37404								
485	82175	82176	82177	82178	82179																																																											37904								
486	82180	82181	82182	82183	82184	82185	82186	82187	82188																																																							37904								
487	82189	82190	82191	82192																																																												37904								
488																																																									12500	12501	12502					36906								
489	120483	120484	120486	120487																																																												37053								
490	120490	120491	120492																																																													37801								
491	120493																																																															37802								
492	120494																																																															37301								
493	120495																																																															37302								
494	120496	120498																																																																						
495	120497	120499																																																																						
496	240486	240487	240488	240489	240490																																																											11949								
497	82193	82194	82195	82196	82197																																																											38502								
498	82198	82199	82200	82201	82202	82203	82204	82205																																																								38502								
499	82206	82207	82208	82209	82210																																																											38502								
500	2120002	2120003	2120004	2120005	2120006	2120007	2120008	2120009	2120010	2120011	2120012	2120013																																																												
501	2120014	2120015	2120016	2120017	2120018	2120019																																																										100003								
502	120511	120512	120513	120514	120515	120516																																																										38654								
503	120517	120518	120519																																																													38301								
504	120520																																																															38301								
505	120521	120522	120523																																																													38301								
506	120524																																																															38301								
507	120525																																																															38801								
508	120526																																																															38802								
509	120527																																																															38658								
510	120528																																																															38658								
511	120529																																																															38658								
512	120530																																																															38658								
513	99394	99395	99396	99397	99398																																																											39100								
514	99399	99400	99401	99402	99403																																																											39100								
515	99404	99405	99406	99407	99408																																																											39100								
516	99379	99380	99381	99382	99383	99384	99385	99386	99387	99388	99389	99390	99391	99392	99393																																																	39601								
517	240491	240492	240493	240494	240495																																																											11950								
518	82211	82212	82213	82214	82215																																																											39502								
519	82216	82217	82218	82219	82220	82221	82222	82223	82224																																																							39502								
520	82225	82226	82227	82228																																																												39502								
521	240760	240761	240762																																																													39110								
522	99620	99621	99622	99623																																																												39450								
523																																																									99615	99616	99617					39450								
524																																																									99409	99410	99411					39201								
525	99412	99413	99414																																																													39201								
527																																																									12506	12507	12508					39704								
528	91137	91138	91139	91140	91141																																																											39702								
