Id	NpcId	Name	Desc	RecommendElement[1]	Icon	LiHuiPath	Priority	InitQuality	CarryCharacterType	ChipItemId	ChipNeedCount	DefaultLock	GoodsDesc	GoodsWorldDesc	DecomposeItemId[1]	DecomposeItemCount[1]	RecommendCharacterId	NoCameraSwitchDuringTransformation	PartnerType	AvaliableTimeId
16240000	4224	Corvus	Crowd Control, Damage	2	Assets/Product/Texture/Image/RolePartner/Pet3Raven1.png	Assets/Product/Texture/Image/Pets/Pet3RavenoffMd010011.png	240	3	0	224	30	0			62	150	1021006	0	1	0
16250000	4225	Bramble Angler	Pull, Damage	4	Assets/Product/Texture/Image/RolePartner/Pet3Anglerfish1.png	Assets/Product/Texture/Image/Pets/Pet3AnglerfishoffMd010011.png	250	3	0	225	30	0			62	150	1051005	0	1	0
16260000	4226	Diamaton	Pull, Damage	6	Assets/Product/Texture/Image/RolePartner/Pet3Pandora1.png	Assets/Product/Texture/Image/Pets/Pet3PandoraoffMd010011.png	260	3	0	226	30	0			62	150	1321003	1	1	0
16270000	4227	Billie	Pull, Damage	5	Assets/Product/Texture/Image/RolePartner/Pet3Chiprobot1.png	Assets/Product/Texture/Image/Pets/Pet3ChiprobotoffMd010011.png	270	3	0	227	30	0			62	150	1331003	0	1	0
16280000	4228	Snow Waltz	Pull, Damage	1	Assets/Product/Texture/Image/RolePartner/Pet3Speaker1.png	Assets/Product/Texture/Image/Pets/Pet3SpeakeronMd010011.png	280	3	0	228	30	0			62	150	1531005	0	1	0
16290000	4230	Wrathfang	Pull, Damage	2	Assets/Product/Texture/Image/RolePartner/Pet3Redwolf1.png	Assets/Product/Texture/Image/Pets/Pet3RedwolfoffMd010011.png	290	3	0	229	30	0			62	150	1131004	0	1	0
16300000	4202	Mirage Blades	Crowd Control, Damage	1	Assets/Product/Texture/Image/RolePartner/Pet3Vmirageblade1.png	Assets/Product/Texture/Image/Pets/Pet3VmiragebladeMd010011.png	300	3	0	230	30	0			62	150	1351003	0	2	910
16310000	4229	Cavaliere	Pull, Damage	2	Assets/Product/Texture/Image/RolePartner/Pet3Dcavaliere1.png	Assets/Product/Texture/Image/Pets/Pet3DcavaliereMd010011.png	310	3	0	231	30	0			62	150	1361003	0	2	910
16320000	4231	Noctiluca	Damage	5	Assets/Product/Texture/Image/RolePartner/Pet3Jellyfish1.png	Assets/Product/Texture/Image/Pets/Pet3JellyfishonMd010011.png	320	3	0	232	30	0			62	150	1041005	0	1	0
16330000	4233	Scaled Rampart	Pull, Damage	1	Assets/Product/Texture/Image/RolePartner/Pet3Bladeshield1.png	Assets/Product/Texture/Image/Pets/Pet3BladeshieldonMd010011.png	330	3	0	233	30	0			62	150	1381003	0	1	0
16340000	4234	Levvi	Damage, Control	4	Assets/Product/Texture/Image/RolePartner/Pet3Wuya1.png	Assets/Product/Texture/Image/Pets/Pet3WuyaonMd010011.png	340	3	0	234	30	0			62	150	1031005	0	1	0
16350000	4235	Beep-Boop	Damage, Crowd Control	3	Assets/Product/Texture/Image/RolePartner/Pet3Elecpanda1.png	Assets/Product/Texture/Image/Pets/Pet3ElecpandaonMd010011.png	350	3	0	235	30	0			62	150	1291003	0	1	0
16360000	4236	Buzzling	Damage, Crowd Control	5	Assets/Product/Texture/Image/RolePartner/Pet3Signal1.png	Assets/Product/Texture/Image/Pets/Pet3SignalonMd010011.png	360	3	0	236	30	0			62	150	1141004	0	1	0
16370000	4237	Morigan	Damage, Crowd Control	6	Assets/Product/Texture/Image/RolePartner/Pet3Duya1.png	Assets/Product/Texture/Image/Pets/Pet3CrowoffMd010011.png	370	3	0	237	30	0			62	150	1391003	1	1	0
16380000	4238	Ignis	Damage, Control	2	Assets/Product/Texture/Image/RolePartner/Pet3Lion1.png	Assets/Product/Texture/Image/Pets/Pet3LiononMd010011.png	380	3	0	238	30	0			62	150	1061004	0	1	0
16390000	4239	Allos	Damage, Control	3	Assets/Product/Texture/Image/RolePartner/Pet3Motordragon1.png	Assets/Product/Texture/Image/Pets/Pet3MotordragononMd010011.png	390	3	0	239	30	0			62	150	1021007	0	1	0
16400000	4240	大公	聚怪，伤害	4	Assets/Product/Texture/Image/RolePartner/Pet3Chandelier1.png	Assets/Product/Texture/Image/Pets/Pet3ChandelieronMd010011.png	400	3	0	240	30	0			62	150	1401003	1	1	0
