Id	Group	RoleName	ChatText
10601003	10601	Vera	We have to use everything at our disposal. When it comes to fighting angels, they're far stronger than humans.
10601004	10601	Wanshi	Whether angels, demons, or anyone else... for now, we all share the same enemy.
10601005	10601	Wanshi	We're ready, Bloodsworn.
10602001	10602	Watanabe	More and more allies gather on the ground, Gray Raven. It's time for the final preparations.
10603001	10603	Wanshi	Bloodsworn, all that's left is to storm the Sanctuary.
10603002	10603	Vera	Fine by me. Plans and schemes are your domain. I only need to ride this train and bring death to the angels.
10603003	10603	Lilith	Say, shouldn't we raise a glass first?
10604001	10604	Lilith	Did they really use every star gate they could open here? Quite a sight.
10604002	10604	Wanshi	We need a plan. We can't let any more angels board this train.
10604003	10604	Vera	Doesn't matter if they're on board or not—just kill them all! Gray Raven, you're ready, right?!
10605001	10605	Lilith	You feel it too, don't you? This train can't hold out much longer.
10605002	10605	Wanshi	Bloodsworn, we need to find a safe spot before it crashes.
10701001	10701	Nirvatia	Shh... slow down.
10701002	10701	Nirvatia	From now on, I'll tell you everything—the whole truth behind this world.
10702001	10702	Nirvatia	That's right. You should've realized it by now—you are the "Gray Raven."
10702002	10702	Nirvatia	The one they speak of in the Scorched Borderland. The hero who can end all their suffering. The almighty one.
10703001	10703	Nirvatia	Look around. Suffering and disaster have always been part of this land, haven't they?
10703002	10703	Nirvatia	I don't get why people who never lived through those days feel so nostalgic.
10704001	10704	Nirvatia	Gray Raven, I believe in you. You've come this far with me, and I know you'll make the right choice...
10705001	10705	Nirvatia	This new world is beautiful, just like I imagined...
10705002	10705	Nirvatia	I'm glad you're here to see this with me, my Bloodsworn.
10706001	10706	Nirvatia	Move forward. There's no one left on this land who can stand in our way.
10706002	10706	Nirvatia	Open fire. Turn them all into our so-called "allies."
10707001	10707	Gray Raven	No, Nirvatia, you're wrong!
10707002	10707	Gray Raven	This choice will push the world into another catastrophe!
20001001	20001	Nirvatia	Want to chat with me? Sure, as long as you like. I'll always be here.
20002001	20002	Nirvatia	I will stay at the starting point and quietly await your triumphant return.
20003001	20003	Nirvatia	Come inside and rest for a bit if you are tired. I've prepared your favorite tea and snacks.
20004001	20004	Statue	No one answers anymore
