Id	PartnerId	ModelType	EffectType	EffectRootName	EffectPath
76	16250000	StandbyModel	Appear	MonkfishoffBone00	Disappear
77	16250000	CombatModel	Disappear	MonkfishonBone00	Disappear
78	16250000	CombatModel	Disappear	MonkfishonBone23	Disappear
79	16260000	StandbyModel	Disappear	PandoraonBone00	Disappear
80	16260000	CombatModel	Appear	PandoraonBone00	Disappear
81	16260000	StandbyModel	Appear	PandoraonBone00	Disappear
82	16260000	CombatModel	Disappear	PandoraonBone00	Disappear
83	16270000	StandbyModel	Disappear	BoneBody00	Disappear
84	16270000	CombatModel	Appear		Disappear
85	16270000	StandbyModel	Appear	BoneBody00	Disappear
86	16270000	CombatModel	Disappear		Disappear
87	16270000	CombatModel	ControlByAnimationEvent		Disappear
88	16280000	StandbyModel	Disappear	PiaoBone01	Disappear
89	16280000	CombatModel	Appear	PiaoBone01	Disappear
90	16280000	StandbyModel	Appear	PiaoBone01	Disappear
91	16280000	CombatModel	Disappear	PiaoBone01	Disappear
92	16300000	CombatModel	Loop	Weaponbone4	Disappear
93	16290000	StandbyModel	Disappear	PropBone01	Disappear
96	16290000	StandbyModel	Appear	PropBone01	Disappear
97	16320000	StandbyModel	Disappear	ChineBone00	Disappear
98	16320000	StandbyModel	Appear	ChineBone00	Disappear
99	16320000	CombatModel	Disappear	MachineBone00	Disappear
100	16320000	CombatModel	Appear	MachineBone00	Disappear
101	16320000	CombatModel	Appear		Disappear
102	16330000	StandbyModel	Appear		Disappear
103	16330000	CombatModel	Disappear	ShellBoneL01	Disappear
104	16330000	CombatModel	Appear		Disappear
105	16340000	CombatModel	Disappear		Disappear
106	16360000	StandbyModel	Disappear	BodyBone	Disappear
107	16360000	CombatModel	Disappear	BodyBone	Disappear
108	16360000	CombatModel	Appear	BodyBone	Disappear
109	16370000	CombatModel	Appear	PelvisBone	Disappear
110	16370000	CombatModel	Appear	WingBoneR03	Disappear
111	16370000	CombatModel	Appear	WingBoneL03	Disappear
112	16370000	CombatModel	Disappear	PelvisBone	Disappear
113	16370000	CombatModel	Disappear	WingBoneR03	Disappear
114	16370000	CombatModel	Disappear	WingBoneL03	Disappear
115	16380000	StandbyModel	Appear	MaskBone000	Disappear
116	16380000	StandbyModel	Disappear	MaskBone000	Disappear
117	16380000	CombatModel	Appear		Disappear
118	16380000	CombatModel	Disappear		Disappear
119	16390000	CombatModel	Appear		Disappear
120	16390000	CombatModel	Disappear		Disappear
121	16390000	CombatModel	Appear	Bip001	Disappear
122	16390000	CombatModel	ControlByAnimationEvent	JawsBoneM01	Disappear
123	16390000	StandbyModel	Disappear	FlotageBoneM01	Disappear
