Id	Name	BuffName[1]	BuffName[2]	DistributeTypes[1]	DistributeTypes[2]	Desc	Region	BuffIds[1]	BuffIds[2]	BuffDesc[1]	BuffDesc[2]	StageId[1]	StageId[2]	MarkId	IsAbandoned
40	Entropic Distortion	Vortex Barrier	Shattered Peak	7	8	Desperate Fight: Refresh only 1 enemy per wave	0	4114	4115	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080623	30080603	5	0
41	Entropic Distortion	Cycle of Fire	Vortex Barrier	3	7	Duo Challenge: Refresh 2 Elite enemies per wave	0	4003	4114	Fire DMG greatly increases, Ignition DMG slightly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080325	30080305	4	0
42	Entropic Distortion	Cycle of Fire	Vortex Barrier	3	7	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4003	4114	Fire DMG greatly increases, Ignition DMG slightly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080327	30080307	3	0
43	Entropic Distortion	Laser Alloy	Shattered Peak	4	8	Duo Challenge: Refresh 2 Elite enemies per wave	0	4004	4115	Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080425	30080405	4	0
44	Entropic Distortion	Shadow Forest	Shattered Peak	5	8	Duo Challenge: Refresh 2 Elite enemies per wave	0	4005	4115	Dark DMG greatly increases, Darkflow DMG slightly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080525	30080505	4	0
45	Entropic Distortion	Cycle of Fire	Vortex Barrier	3	7	Joint Operation: Refresh multiple Normal and Elite enemies	0	4003	4114	Fire DMG greatly increases, Ignition DMG slightly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080323	30080303	3	0
46	Entropic Distortion	Crimson Frostland	Shattered Peak	2	8	Desperate Fight: Refresh only 1 enemy per wave	0	4002	4115	Ice DMG greatly increases, Glaciation DMG slightly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080424	30080404	5	0
47	Entropic Distortion	Laser Alloy	Vortex Barrier	4	7	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4004	4114	Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080227	30080207	3	0
48	Entropic Distortion	Diffraction Void	Vortex Barrier	12	7	Duo Challenge: Refresh 2 Elite enemies per wave	0	4088	4114	Every 3 waves, enemies gain Equilibrium Field.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080624	30080604	4	0
49	Entropic Distortion	Crimson Frostland	Shattered Peak	2	8	Duo Challenge: Refresh 2 Elite enemies per wave	0	4002	4115	Ice DMG greatly increases, Glaciation DMG slightly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080225	30080205	4	0
50	Entropic Distortion	Diffraction Void	Vortex Barrier	12	7	Joint Operation: Refresh multiple Normal and Elite enemies	0	4088	4114	Every 3 waves, enemies gain Equilibrium Field.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080626	30080606	3	0
51	Entropic Distortion	Laser Alloy	Shattered Peak	4	8	Desperate Fight: Refresh only 1 enemy per wave	0	4004	4115	Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080424	30080404	5	0
52	Entropic Distortion	Cycle of Fire	Vortex Barrier	3	7	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4003	4114	Fire DMG greatly increases, Ignition DMG slightly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080327	30080307	3	0
53	Entropic Distortion	Shadow Forest	Shattered Peak	5	8	Duo Challenge: Refresh 2 Elite enemies per wave	0	4005	4115	Dark DMG greatly increases, Darkflow DMG slightly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080525	30080505	4	0
54	Entropic Distortion	Laser Alloy	Gelid Tower	4	9	Duo Challenge: Refresh 2 Elite enemies per wave	0	4004	4143	Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080425	30080405	4	0
55	Entropic Distortion	Shadow Forest	Vortex Barrier	5	7	Joint Operation: Refresh multiple Normal and Elite enemies	0	4005	4114	Dark DMG greatly increases, Darkflow DMG slightly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080523	30080503	3	0
56	Entropic Distortion	Cycle of Fire	Shattered Peak	3	8	Desperate Fight: Refresh only 1 enemy per wave	0	4003	4115	Fire DMG greatly increases, Ignition DMG slightly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080324	30080304	5	0
57	Entropic Distortion	Diffraction Void	Gelid Tower	12	9	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4088	4143	Every 3 waves, enemies gain Equilibrium Field.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080625	30080605	3	0
58	Entropic Distortion	Machine Factory	Gelid Tower	1	9	Duo Challenge: Refresh 2 Elite enemies per wave	0	4001	4143	Physical DMG greatly increases, Ultima Slash DMG slightly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080125	30080105	4	0
59	Entropic Distortion	Laser Alloy	Gelid Tower	4	9	Joint Operation: Refresh multiple Normal and Elite enemies	0	4004	4143	Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080523	30080503	3	0
60	Entropic Distortion	Vortex Barrier	Gelid Tower	7	9	Duo Challenge: Refresh 2 Elite enemies per wave	0	4114	4143	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080425	30080405	4	0
61	Entropic Distortion	Molten Chasm	Shattered Peak	10	8	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4161	4115	Fire DMG slightly increases, Ignition DMG greatly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080625	30080605	3	0
62	Entropic Distortion	Molten Chasm	Shattered Peak	10	8	Duo Challenge: Refresh 2 Elite enemies per wave	0	4161	4115	Fire DMG slightly increases, Ignition DMG greatly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080125	30080105	4	0
63	Entropic Distortion	Molten Chasm	Shattered Peak	10	8	Desperate Fight: Refresh only 1 enemy per wave	0	4161	4115	Fire DMG slightly increases, Ignition DMG greatly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080324	30080304	5	0
64	Entropic Distortion	Molten Chasm	Shattered Peak	10	8	Joint Operation: Refresh multiple Normal and Elite enemies	0	4161	4115	Fire DMG slightly increases, Ignition DMG greatly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080523	30080503	3	0
65	Entropic Distortion	Crimson Frostland	Vortex Barrier	2	7	Joint Operation: Refresh multiple Normal and Elite enemies	0	4002	4114	Ice DMG greatly increases, Glaciation DMG slightly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080323	30080303	3	0
66	Entropic Distortion	Cycle of Fire	Shattered Peak	3	8	Joint Operation: Refresh multiple Normal and Elite enemies	0	4003	4115	Fire DMG greatly increases, Ignition DMG slightly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080323	30080303	3	0
67	Entropic Distortion	Shadow Forest	Molten Chasm	5	10	Desperate Fight: Refresh only 1 enemy per wave	0	4005	4161	Dark DMG greatly increases, Darkflow DMG slightly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080324	30080304	5	0
68	Entropic Distortion	Diffraction Void	Gelid Tower	12	9	Duo Challenge: Refresh 2 Elite enemies per wave	0	4088	4143	Every 3 waves, enemies gain Equilibrium Field.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080125	30080105	4	0
69	Entropic Distortion	Laser Alloy	Molten Chasm	4	10	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4004	4161	Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080625	30080605	3	0
70	Entropic Distortion	Cycle of Fire	Shattered Peak	3	8	Duo Challenge: Refresh 2 Elite enemies per wave	0	4003	4115	Fire DMG greatly increases, Ignition DMG slightly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080125	30080105	4	0
71	Entropic Distortion	Gelid Tower	Vortex Barrier	9	7	Joint Operation: Refresh multiple Normal and Elite enemies	0	4143	4114	Ice DMG slightly increases, Glaciation DMG greatly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080523	30080503	3	0
72	Entropic Distortion	Machine Factory	Molten Chasm	1	10	Duo Challenge: Refresh 2 Elite enemies per wave	0	4001	4161	Physical DMG greatly increases, Ultima Slash DMG slightly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080125	30080105	4	0
73	Entropic Distortion	Crimson Frostland	Shattered Peak	2	8	Joint Operation: Refresh multiple Normal and Elite enemies	0	4002	4115	Ice DMG greatly increases, Glaciation DMG slightly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080323	30080303	3	0
74	Entropic Distortion	Shadow Forest	Vortex Barrier	5	7	Desperate Fight: Refresh only 1 enemy per wave	0	4005	4114	Dark DMG greatly increases, Darkflow DMG slightly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080324	30080304	5	0
75	Entropic Distortion	Laser Alloy	Molten Chasm	4	10	Desperate Fight: Refresh only 1 enemy per wave	0	4004	4161	Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080324	30080304	5	0
76	Entropic Distortion	Shadow Forest	Vortex Barrier	5	7	Duo Challenge: Refresh 2 Elite enemies per wave	0	4005	4114	Dark DMG greatly increases, Darkflow DMG slightly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080125	30080105	4	0
77	Entropic Distortion	Loop of Fire	Vortex Barrier	3	7	Desperate Fight: Refresh only 1 enemy per wave	0	4003	4114	Fire DMG greatly increases, Ignition DMG slightly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080324	30080304	5	0
78	Entropic Distortion	Crimson Frostland	Molten Chasm	2	10	Desperate Fight: Refresh only 1 enemy per wave	0	4002	4161	Ice DMG greatly increases, Glaciation DMG slightly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080324	30080304	5	0
79	Entropic Distortion	Laser Alloy	Shattered Peak	4	8	Joint Operation: Refresh multiple Normal and Elite enemies	0	4004	4115	Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080323	30080303	3	0
80	Entropic Distortion	Machine Factory	Gelid Tower	1	9	Joint Operation: Refresh multiple Normal and Elite enemies	0	4001	4143	Physical DMG greatly increases, Ultima Slash DMG slightly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080323	30080303	3	0
81	Entropic Distortion	Cycle of Fire	Shadowed Rift	3	11	Joint Operation: Refresh multiple Normal and Elite enemies	0	4003	4175	Fire DMG greatly increases, Ignition DMG slightly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080323	30080303	3	0
82	Entropic Distortion	Gelid Tower	Shadowed Rift	9	11	Desperate Fight: Only 1 enemy spawns per wave.	0	4143	4175	Ice DMG slightly increases, Glaciation DMG greatly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080324	30080304	5	0
83	Entropic Distortion	Crimson Frostland	Shadowed Rift	2	11	Desperate Fight: Only 1 enemy spawns per wave.	0	4002	4175	Ice DMG greatly increases, Glaciation DMG slightly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080324	30080304	5	0
84	Entropic Distortion	Crimson Frostland	Shadowed Rift	2	11	Joint Operation: Refresh multiple Normal and Elite enemies	0	4002	4175	Ice DMG greatly increases, Glaciation DMG slightly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080323	30080303	3	0
85	Entropic Distortion	Crimson Frostland	Shadowed Rift	2	11	Duo Challenge: Only 2 Elite enemies spawn per wave	0	4002	4175	Ice DMG greatly increases, Glaciation DMG slightly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080125	30080105	4	0
86	Entropic Distortion	Machine Factory	Vortex Barrier	1	7	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4001	4114	Physical DMG greatly increases, Ultima Slash DMG slightly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080625	30080605	3	0
87	Entropic Distortion	Laser Alloy	Molten Chasm	4	10	Joint Operation: Refresh multiple Normal and Elite enemies	0	4004	4161	Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080323	30080303	3	0
88	Entropic Distortion	Laser Alloy	Shattered Peak	4	8	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4004	4115	Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080625	30080605	3	0
89	Entropic Distortion	Shadow Forest	Molten Chasm	5	10	Duo Challenge: Only 2 Elite enemies spawn per wave	0	4005	4161	Dark DMG greatly increases, Darkflow DMG slightly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080125	30080105	4	0
90	Entropic Distortion	Loop of Fire	Shadowed Rift	3	11	Crowd Battle: Refresh 3 or 6 Normal enemies per wave	0	4003	4175	Fire DMG greatly increases, Ignition DMG slightly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080527	30080507	3	0
91	Entropic Distortion	Gelid Tower	Shattered Peak	9	8	Joint Operation: Refresh multiple Normal and Elite enemies	0	4143	4115	Ice DMG slightly increases, Glaciation DMG greatly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080123	30080103	3	0
92	Entropic Distortion	Machine Factory	Vortex Barrier	1	7	Desperate Fight: Refresh only 1 enemy per wave	0	4001	4114	Physical DMG greatly increases, Ultima Slash DMG slightly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080424	30080404	5	0
93	Entropic Distortion	Crimson Frostland	Molten Chasm	2	10	Crowd Battle: Refresh 3 or 6 Normal enemies per wave	0	4002	4161	Ice DMG greatly increases, Glaciation DMG slightly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080327	30080307	3	0
94	Entropic Distortion	Shadow Forest	Shattered Peak	5	8	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4005	4115	Dark DMG greatly increases, Darkflow DMG slightly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080227	30080207	3	0
95	Entropic Distortion	Shadow Forest	Vortex Barrier	5	7	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4005	4114	Dark DMG greatly increases, Darkflow DMG slightly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080127	30080107	3	0
96	Entropic Distortion	Shadow Forest	Molten Chasm	5	10	Joint Operation: Refresh multiple Normal and Elite enemies	0	4005	4161	Dark DMG greatly increases, Darkflow DMG slightly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080423	30080403	3	0
97	Entropic Distortion	Shadow Forest	Molten Chasm	5	10	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4005	4161	Dark DMG greatly increases, Darkflow DMG slightly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080427	30080407	3	0
98	Entropic Distortion	Shadow Forest	Gelid Tower	5	9	Joint Operation: Refresh multiple Normal and Elite enemies	0	4005	4143	Dark DMG greatly increases, Darkflow DMG slightly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080323	30080303	3	0
99	Entropic Distortion	Shadow Forest	Gelid Tower	5	9	Desperate Fight: Refresh only 1 enemy per wave	0	4005	4143	Dark DMG greatly increases, Darkflow DMG slightly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080324	30080304	5	0
100	Entropic Distortion	Shadow Forest	Gelid Tower	5	9	Duo Challenge: Refresh 2 Elite enemies per wave	0	4005	4143	Dark DMG greatly increases, Darkflow DMG slightly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080325	30080305	4	0
101	Entropic Distortion	Shadow Forest	Gelid Tower	5	9	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4005	4143	Dark DMG greatly increases, Darkflow DMG slightly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080327	30080307	3	0
102	Entropic Distortion	Cycle of Fire	Shadowed Rift	3	11	Desperate Fight: Refresh only 1 enemy per wave	0	4003	4175	Fire DMG greatly increases, Ignition DMG slightly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080524	30080504	5	0
103	Entropic Distortion	Cycle of Fire	Shadowed Rift	3	11	Duo Challenge: Refresh 2 Elite enemies per wave	0	4003	4175	Fire DMG greatly increases, Ignition DMG slightly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080525	30080505	4	0
104	Entropic Distortion	Cycle of Fire	Shattered Peak	3	8	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4003	4115	Fire DMG greatly increases, Ignition DMG slightly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080227	30080207	3	0
105	Entropic Distortion	Cycle of Fire	Gelid Tower	3	9	Joint Operation: Refresh multiple Normal and Elite enemies	0	4003	4143	Fire DMG greatly increases, Ignition DMG slightly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080323	30080303	3	0
106	Entropic Distortion	Cycle of Fire	Gelid Tower	3	9	Desperate Fight: Refresh only 1 enemy per wave	0	4003	4143	Fire DMG greatly increases, Ignition DMG slightly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080324	30080304	5	0
107	Entropic Distortion	Cycle of Fire	Gelid Tower	3	9	Duo Challenge: Refresh 2 Elite enemies per wave	0	4003	4143	Fire DMG greatly increases, Ignition DMG slightly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080325	30080305	4	0
108	Entropic Distortion	Cycle of Fire	Gelid Tower	3	9	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4003	4143	Fire DMG greatly increases, Ignition DMG slightly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080327	30080307	3	0
109	Entropic Distortion	Machine Factory	Vortex Barrier	1	7	Joint Operation: Refresh multiple Normal and Elite enemies	0	4001	4114	Physical DMG greatly increases, Ultima Slash DMG slightly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080123	30080103	3	0
110	Entropic Distortion	Machine Factory	Vortex Barrier	1	7	Duo Challenge: Refresh 2 Elite enemies per wave	0	4001	4114	Physical DMG greatly increases, Ultima Slash DMG slightly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080125	30080105	4	0
111	Entropic Distortion	Machine Factory	Gelid Tower	1	9	Desperate Fight: Refresh only 1 enemy per wave	0	4001	4143	Physical DMG greatly increases, Ultima Slash DMG slightly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080324	30080304	5	0
