Id	Name	Type	SubType	RoundId	Icon	DifficultyId	Desc	TaskId
571	Juncture Breakthrough II - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear a total of 3 junctures	95441
572	Juncture Breakthrough I - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear a total of 1 juncture	95442
573	Juncture Breakthrough II - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear a total of 3 junctures	95443
574	Juncture Breakthrough I - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear a total of 1 juncture	95444
575	Juncture Breakthrough II - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear a total of 3 junctures	95445
576	Blockade Breakthrough I - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear a total of 1 Cliff Fortress	95446
577	Blockade Breakthrough I - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear a total of 1 Cliff Fortress	95447
578	Blockade Breakthrough I - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear a total of 1 Cliff Fortress	95448
579	Clear Cycle 1 Boss in Round 1 - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear Cycle 1 Boss in Round 1	95449
580	Clear Cycle 2 Boss in Round 1 - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear Cycle 2 Boss in Round 1	95450
581	Clear Cycle 3 Boss in Round 1 - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear Cycle 3 Boss in Round 1	95451
582	Clear Cycle 4 Boss in Round 1 - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear Cycle 4 Boss in Round 1	95452
583	Clear Cycle 5 Boss in Round 1 - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear Cycle 5 Boss in Round 1	95453
584	Clear Cycle 1 Boss in Round 2 - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear Cycle 1 Boss in Round 2	95454
585	Clear Cycle 2 Boss in Round 2 - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear Cycle 2 Boss in Round 2	95455
586	Clear Cycle 3 Boss in Round 2 - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear Cycle 3 Boss in Round 2	95456
587	Clear Cycle 4 Boss in Round 2 - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear Cycle 4 Boss in Round 2	95457
588	Clear Cycle 5 Boss in Round 2 - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear Cycle 5 Boss in Round 2	95458
589	Clear Cycle 1 Boss in Round 3 - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear Cycle 1 Boss in Round 3	95459
590	Clear Cycle 2 Boss in Round 3 - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear Cycle 2 Boss in Round 3	95460
591	Clear Cycle 3 Boss in Round 3 - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear Cycle 3 Boss in Round 3	95461
592	Clear Cycle 4 Boss in Round 3 - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear Cycle 4 Boss in Round 3	95462
593	Clear Cycle 5 Boss in Round 3 - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear Cycle 5 Boss in Round 3	95463
594	1st Round Challenge I - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 3 times in total	95464
595	1st Round Challenge II - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 6 times in total	95465
596	1st Round Challenge III - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 9 times in total	95466
597	1st Round Challenge IV - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 12 times in total	95467
598	1st Round Challenge V - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 15 times in total	95468
599	1st Round Challenge VI - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 18 times in total	95469
600	1st Round Challenge VII - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 21 times in total	95470
601	1st Round Challenge VIII - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 24 times in total	95471
602	1st Round Challenge IX - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 27 times in total	95472
603	2nd Round Challenge I - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 3 times in total	95473
604	2nd Round Challenge II - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 6 times in total	95474
605	2nd Round Challenge III - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 9 times in total	95475
606	2nd Round Challenge IV - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 12 times in total	95476
607	2nd Round Challenge V - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 15 times in total	95477
608	2nd Round Challenge VI - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 18 times in total	95478
609	2nd Round Challenge VII - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 21 times in total	95479
610	2nd Round Challenge VIII - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 24 times in total	95480
611	2nd Round Challenge IX - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 27 times in total	95481
612	3rd Round Challenge I - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 3 times in total	95482
613	3rd Round Challenge II - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 6 times in total	95483
614	3rd Round Challenge III - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 9 times in total	95484
615	3rd Round Challenge IV - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 12 times in total	95485
616	3rd Round Challenge V - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 15 times in total	95486
617	3rd Round Challenge VI - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 18 times in total	95487
618	3rd Round Challenge VII - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 21 times in total	95488
619	3rd Round Challenge VIII - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 24 times in total	95489
620	3rd Round Challenge IX - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 27 times in total	95490
621	1st Round Points I - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 4000 Expedition Points	95491
622	1st Round Points II - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 8000 Expedition Points	95492
623	1st Round Points III - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 12000 Expedition Points	95493
624	1st Round Points IV - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 16000 Expedition Points	95494
625	1st Round Points V - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 20000 Expedition Points	95495
626	1st Round Points VI - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 22000 Expedition Points	95496
627	1st Round Points VII - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 24000 Expedition Points	95497
628	2nd Round Points I - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 4000 Expedition Points	95498
629	2nd Round Points II - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 8000 Expedition Points	95499
630	2nd Round Points III - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 12000 Expedition Points	95500
631	2nd Round Points IV - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 16000 Expedition Points	95501
632	2nd Round Points V - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 20000 Expedition Points	95502
633	2nd Round Points VI - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 22000 Expedition Points	95503
634	2nd Round Points VII - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 24000 Expedition Points	95504
635	3rd Round Points I - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 4000 Expedition Points	95505
636	3rd Round Points II - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 8000 Expedition Points	95506
637	3rd Round Points III - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 12000 Expedition Points	95507
638	3rd Round Points IV - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 16000 Expedition Points	95508
639	3rd Round Points V - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 20000 Expedition Points	95509
640	3rd Round Points VI - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 22000 Expedition Points	95510
641	3rd Round Points VII - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 24000 Expedition Points	95511
642	Juncture Breakthrough I - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 1 juncture	95512
643	Juncture Breakthrough II - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 2 junctures	95513
644	Juncture Breakthrough III - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 3 junctures	95514
645	Juncture Breakthrough IV - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 4 junctures	95515
646	Juncture Breakthrough V - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 5 junctures	95516
647	Juncture Breakthrough I - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 1 juncture	95517
648	Juncture Breakthrough II - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 2 junctures	95518
649	Juncture Breakthrough III - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 3 junctures	95519
650	Juncture Breakthrough IV - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 4 junctures	95520
651	Juncture Breakthrough V - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 5 junctures	95521
652	Juncture Breakthrough I - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 1 juncture	95522
653	Juncture Breakthrough II - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 2 junctures	95523
654	Juncture Breakthrough III - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 3 junctures	95524
655	Juncture Breakthrough IV - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 4 junctures	95525
656	Juncture Breakthrough V - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 5 junctures	95526
657	Blockade Breakthrough I - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 1 Cliff Fortress	95527
658	Blockade Breakthrough I - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 1 Cliff Fortress	95528
659	Blockade Breakthrough I - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 1 Cliff Fortress	95529
660	Clear Cycle 1 Boss in Round 1 - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear Cycle 1 Boss in Round 1	95530
661	Clear Cycle 2 Boss in Round 1 - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear Cycle 2 Boss in Round 1	95531
662	Clear Cycle 3 Boss in Round 1 - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear Cycle 3 Boss in Round 1	95532
663	Clear Cycle 4 Boss in Round 1 - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear Cycle 4 Boss in Round 1	95533
664	Clear Cycle 5 Boss in Round 1 - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear Cycle 5 Boss in Round 1	95534
665	Clear Cycle 1 Boss in Round 2 - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear Cycle 1 Boss in Round 2	95535
666	Clear Cycle 2 Boss in Round 2 - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear Cycle 2 Boss in Round 2	95536
667	Clear Cycle 3 Boss in Round 2 - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear Cycle 3 Boss in Round 2	95537
668	Clear Cycle 4 Boss in Round 2 - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear Cycle 4 Boss in Round 2	95538
669	Clear Cycle 5 Boss in Round 2 - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear Cycle 5 Boss in Round 2	95539
670	Clear Cycle 1 Boss in Round 3 - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear Cycle 1 Boss in Round 3	95540
671	Clear Cycle 2 Boss in Round 3 - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear Cycle 2 Boss in Round 3	95541
672	Clear Cycle 3 Boss in Round 3 - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear Cycle 3 Boss in Round 3	95542
673	Clear Cycle 4 Boss in Round 3 - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear Cycle 4 Boss in Round 3	95543
674	Clear Cycle 5 Boss in Round 3 - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear Cycle 5 Boss in Round 3	95544
675	2nd Round Challenge I - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 3 times in total	95545
676	2nd Round Challenge II - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 6 times in total	95546
677	2nd Round Challenge III - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 9 times in total	95547
678	2nd Round Challenge IV - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 12 times in total	95548
679	2nd Round Challenge V - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 15 times in total	95549
680	2nd Round Challenge VI - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 18 times in total	95550
681	2nd Round Challenge VII - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 21 times in total	95551
682	2nd Round Challenge VIII - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 24 times in total	95552
683	2nd Round Challenge IX - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 27 times in total	95553
684	3rd Round Challenge I - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 3 times in total	95554
685	3rd Round Challenge II - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 6 times in total	95555
686	3rd Round Challenge III - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 9 times in total	95556
687	3rd Round Challenge IV - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 12 times in total	95557
688	3rd Round Challenge V - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 15 times in total	95558
689	3rd Round Challenge VI - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 18 times in total	95559
690	3rd Round Challenge VII - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 21 times in total	95560
691	3rd Round Challenge VIII - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 24 times in total	95561
692	3rd Round Challenge IX - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 27 times in total	95562
693	2nd Round Points I - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 6000 Expedition Points	95563
694	2nd Round Points II - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 12000 Expedition Points	95564
695	2nd Round Points III - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 18000 Expedition Points	95565
696	2nd Round Points IV - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 24000 Expedition Points	95566
697	2nd Round Points VI - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 30000 Expedition Points	95567
698	2nd Round Points VII - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 33000 Expedition Points	95568
699	2nd Round Points V - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 36000 Expedition Points	95569
700	3rd Round Points I - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 6000 Expedition Points	95570
701	3rd Round Points II - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 12000 Expedition Points	95571
702	3rd Round Points III - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 18000 Expedition Points	95572
703	3rd Round Points IV - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 24000 Expedition Points	95573
704	3rd Round Points VI - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 30000 Expedition Points	95574
705	3rd Round Points VII - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 33000 Expedition Points	95575
706	3rd Round Points V - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 36000 Expedition Points	95576
707	Juncture Breakthrough I - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 1 juncture	95577
708	Juncture Breakthrough II - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 2 junctures	95578
709	Juncture Breakthrough III - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 3 junctures	95579
710	Juncture Breakthrough IV - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 4 junctures	95580
711	Juncture Breakthrough V - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 5 junctures	95581
712	Juncture Breakthrough I - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 1 juncture	95582
713	Juncture Breakthrough II - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 2 junctures	95583
714	Juncture Breakthrough III - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 3 junctures	95584
715	Juncture Breakthrough IV - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 4 junctures	95585
