Id	MissionCondition	Desc	ConditionTarget	TriggerCondition	IsConditionAnd	ConditionParams[1]	ConditionParams[2]	ConditionParams[3]	ConditionCompares[1]	ConditionCompares[2]	ConditionCompares[3]	ConditionCompareValues[1]	ConditionCompareValues[2]	ConditionCompareValues[3]	DescShowParam[1]	DescShowParam[2]
30	10006	Achieve victory {ConditionTarget} time(s) after accepting the commission	5	5												
31	10007	Stack Holy, Blood, or Spirit DMG bonuses to {DescShowParam[1]}% or higher in battle.	1	6		15	16	17	2	2	2	4000	4000	4000	40	
32	10007	Stack Holy, Blood, or Spirit DMG bonuses to {DescShowParam[1]}% or higher in battle.	1	6		15	16	17	2	2	2	6000	6000	6000	60	
33	10007	Stack Holy, Blood, or Spirit DMG bonuses to {DescShowParam[1]}% or higher in battle.	1	6		15	16	17	2	2	2	8000	8000	8000	80	
34	10007	Stack Holy, Blood, or Spirit DMG bonuses to {DescShowParam[1]}% or higher in battle.	1	6		15	16	17	2	2	2	10000	10000	10000	100	
35	10007	Stack Holy, Blood, or Spirit DMG bonuses to {DescShowParam[1]}% or higher in battle.	1	6		15	16	17	2	2	2	12500	12500	12500	125	
36	10008	Stack Recovery Efficiency or Shield Strength bonuses to {DescShowParam[1]}% or higher in battle.	1	6		10	83		2	2		4000	4000		40	
37	10008	Stack Recovery Efficiency or Shield Strength bonuses to {DescShowParam[1]}% or higher in battle.	1	6		10	83		2	2		6000	6000		60	
38	10008	Stack Recovery Efficiency or Shield Strength bonuses to {DescShowParam[1]}% or higher in battle.	1	6		10	83		2	2		8000	8000		80	
39	10008	Stack Recovery Efficiency or Shield Strength bonuses to {DescShowParam[1]}% or higher in battle.	1	6		10	83		2	2		10000	10000		100	
40	10008	Stack Recovery Efficiency or Shield Strength bonuses to {DescShowParam[1]}% or higher in battle.	1	6		10	83		2	2		12500	12500		125	
41	10009	Deal a total of {ConditionTarget} DMG of any type in battle after accepting the commission	8000	7												
42	10009	Deal a total of {ConditionTarget} DMG of any type in battle after accepting the commission	16000	7												
43	10009	Deal a total of {ConditionTarget} DMG of any type in battle after accepting the commission	24000	7												
44	10009	Deal a total of {ConditionTarget} DMG of any type in battle after accepting the commission	32000	7												
45	10009	Deal a total of {ConditionTarget} DMG of any type in battle after accepting the commission	40000	7												
46	10010	Generate {ConditionTarget} healing or Shield in battle after accepting the commission	8000	8												
47	10010	Generate {ConditionTarget} healing or Shield in battle after accepting the commission	16000	8												
48	10010	Generate {ConditionTarget} healing or Shield in battle after accepting the commission	24000	8												
49	10010	Generate {ConditionTarget} healing or Shield in battle after accepting the commission	32000	8												
50	10010	Generate {ConditionTarget} healing or Shield in battle after accepting the commission	40000	8												
51	10011	For a total of {ConditionTarget} round(s), trigger "Speed Prologue" or "Pristine Bloodbath" Runes at least once per battle after accepting the commission	1	9		11	8		2	2		1	1			
52	10011	For a total of {ConditionTarget} round(s), trigger "Speed Prologue" or "Pristine Bloodbath" Runes at least once per battle after accepting the commission	2	9		11	8		2	2		1	1			
53	10011	For a total of {ConditionTarget} round(s), trigger "Speed Prologue" or "Pristine Bloodbath" Runes at least once per battle after accepting the commission	3	9		11	8		2	2		1	1			
54	10011	For a total of {ConditionTarget} round(s), trigger "Speed Prologue" or "Pristine Bloodbath" Runes at least once per battle after accepting the commission	4	9		11	8		2	2		1	1			
55	10011	For a total of {ConditionTarget} round(s), trigger "Speed Prologue" or "Pristine Bloodbath" Runes at least once per battle after accepting the commission	5	9		11	8		2	2		1	1			
56	10012	For a total of {ConditionTarget} round(s), trigger "Rhythmic Suffering" or "Life-Risking Trick" Runes at least {ConditionCompareValues[1]} times per battle after accepting the commission	1	9		7	10		2	2		2	2			
57	10012	For a total of {ConditionTarget} round(s), trigger "Rhythmic Suffering" or "Life-Risking Trick" Runes at least {ConditionCompareValues[1]} times per battle after accepting the commission	2	9		7	10		2	2		2	2			
58	10012	For a total of {ConditionTarget} round(s), trigger "Rhythmic Suffering" or "Life-Risking Trick" Runes at least {ConditionCompareValues[1]} times per battle after accepting the commission	3	9		7	10		2	2		2	2			
59	10012	For a total of {ConditionTarget} round(s), trigger "Rhythmic Suffering" or "Life-Risking Trick" Runes at least {ConditionCompareValues[1]} times per battle after accepting the commission	4	9		7	10		2	2		2	2			
60	10012	For a total of {ConditionTarget} round(s), trigger "Rhythmic Suffering" or "Life-Risking Trick" Runes at least {ConditionCompareValues[1]} times per battle after accepting the commission	5	9		7	10		2	2		2	2			
61	10013	For a total of {ConditionTarget} round(s), trigger "Beyond Death", "Death Hunter", or "Suicidal Maniac" Runes at least once per battle after accepting the commission	1	9		9	12	6	2	2	2	1	1	1		
62	10013	For a total of {ConditionTarget} round(s), trigger "Beyond Death", "Death Hunter", or "Suicidal Maniac" Runes at least once per battle after accepting the commission	2	9		9	12	6	2	2	2	1	1	1		
63	10013	For a total of {ConditionTarget} round(s), trigger "Beyond Death", "Death Hunter", or "Suicidal Maniac" Runes at least once per battle after accepting the commission	3	9		9	12	6	2	2	2	1	1	1		
64	10013	For a total of {ConditionTarget} round(s), trigger "Beyond Death", "Death Hunter", or "Suicidal Maniac" Runes at least once per battle after accepting the commission	4	9		9	12	6	2	2	2	1	1	1		
65	10013	For a total of {ConditionTarget} round(s), trigger "Beyond Death", "Death Hunter", or "Suicidal Maniac" Runes at least once per battle after accepting the commission	5	9		9	12	6	2	2	2	1	1	1		
66	10014	Win a total of {ConditionTarget} round(s) within {DescShowParam[1]}s after accepting the commission	1	11		0			3			15000			15	
67	10014	Win a total of {ConditionTarget} round(s) within {DescShowParam[1]}s after accepting the commission	2	11		0			3			15000			15	
68	10014	Win a total of {ConditionTarget} round(s) within {DescShowParam[1]}s after accepting the commission	3	11		0			3			15000			15	
69	10014	Win a total of {ConditionTarget} round(s) within {DescShowParam[1]}s after accepting the commission	4	11		0			3			15000			15	
70	10014	Win a total of {ConditionTarget} round(s) within {DescShowParam[1]}s after accepting the commission	5	11		0			3			15000			15	
