Id	SkillEffect[1]	SkillEffect[2]	SkillEffect[3]	SkillEffect[4]	SkillEffect[5]	SkillEffect[6]	EquipIds[1]	EquipIds[2]	EquipIds[3]	EquipIds[4]	EquipIds[5]	EquipIds[6]
1559	0	155902	0	155904	0	0	3015059	3025059	3035059	3045059	3055059	3065059
1560	0	156002	0	156004	0	0	3015060	3025060	3035060	3045060	3055060	3065060
1561	0	156102	0	156104	0	0	3015061	3025061	3035061	3045061	3055061	3065061
1562	0	156202	0	0	0	0	3015062	3025062	3035062	3045062	3055062	3065062
1563	0	156302	0	0	0	0	3015063	3025063	3035063	3045063	3055063	3065063
1564	0	156402	0	0	0	0	3015064	3025064	3035064	3045064	3055064	3065064
1565	0	156502	0	0	0	0	3015065	3025065	3035065	3045065	3055065	3065065
1566	0	156602	0	0	0	0	3015066	3025066	3035066	3045066	3055066	3065066
1567	0	156702	0	0	0	0	3015067	3025067	3035067	3045067	3055067	3065067
1568	0	156802	0	0	0	0	3015068	3025068	3035068	3045068	3055068	3065068
1569	0	156902	0	156904	0	0	3015069	3025069	3035069	3045069	3055069	3065069
1570	0	157002	0	0	0	0	3015070	3025070	3035070	3045070	3055070	3065070
1571	0	157102	0	157104	0	0	3015071	3025071	3035071	3045071	3055071	3065071
1572	0	157202	0	157204	0	0	3015072	3025072	3035072	3045072	3055072	3065072
1601	0	160102	0	160104	0	0	3016001	3026001	3036001	3046001	3056001	3066001
1602	0	160202	0	160204	0	0	3016002	3026002	3036002	3046002	3056002	3066002
1603	0	160302	0	160304	0	0	3016003	3026003	3036003	3046003	3056003	3066003
1604	0	160402	0	160404	0	0	3016004	3026004	3036004	3046004	3056004	3066004
1605	0	160502	0	160504	0	0	3016005	3026005	3036005	3046005	3056005	3066005
1606	0	160602	0	160604	0	0	3016006	3026006	3036006	3046006	3056006	3066006
1607	0	160702	0	160704	0	160706	3016007	3026007	3036007	3046007	3056007	3066007
1608	0	160802	0	160804	0	0	3016008	3026008	3036008	3046008	3056008	3066008
1609	0	160902	0	160904	0	0	3016009	3026009	3036009	3046009	3056009	3066009
1610	0	161002	0	161004	0	0	3016010	3026010	3036010	3046010	3056010	3066010
1611	0	161102	0	161104	0	0	3016011	3026011	3036011	3046011	3056011	3066011
1612	0	161202	0	161204	0	0	3016012	3026012	3036012	3046012	3056012	3066012
1613	0	161302	0	161304	0	0	3016013	3026013	3036013	3046013	3056013	3066013
1614	0	161402	0	161404	0	0	3016014	3026014	3036014	3046014	3056014	3066014
1615	0	161502	0	161504	0	0	3016015	3026015	3036015	3046015	3056015	3066015
1616	0	161602	0	161604	0	161606	3016016	3026016	3036016	3046016	3056016	3066016
1617	0	161702	0	161704	0	0	3016017	3026017	3036017	3046017	3056017	3066017
1618	0	161802	0	161804	0	161806	3016018	3026018	3036018	3046018	3056018	3066018
1619	0	161902	0	161904	0	0	3016019	3026019	3036019	3046019	3056019	3066019
1620	0	162002	0	162004	0	162006	3016020	3026020	3036020	3046020	3056020	3066020
1621	0	0	0	0	0	0	3016021	3026021	3036021	3046021	3056021	3066021
1622	0	162202	0	162204	0	0	3016022	3026022	3036022	3046022	3056022	3066022
1623	0	162302	0	162304	0	162306	3016023	3026023	3036023	3046023	3056023	3066023
1624	0	162402	0	162404	0	0	3016024	3026024	3036024	3046024	3056024	3066024
1625	0	162502	0	162504	0	0	3016025	3026025	3036025	3046025	3056025	3066025
1626	0	162602	0	162604	0	162606	3016026	3026026	3036026	3046026	3056026	3066026
1627	0	162702	0	162704	0	0	3016027	3026027	3036027	3046027	3056027	3066027
1628	0	162802	0	162804	0	162806	3016028	3026028	3036028	3046028	3056028	3066028
1629	0	162902	0	162904	0	0	3016029	3026029	3036029	3046029	3056029	3066029
1630	0	163002	0	163004	0	163006	3016030	3026030	3036030	3046030	3056030	3066030
1631	0	163102	0	163104	0	0	3016031	3026031	3036031	3046031	3056031	3066031
1632	0	163202	0	163204	0	0	3016032	3026032	3036032	3046032	3056032	3066032
1633	0	163302	0	163304	0	0	3016033	3026033	3036033	3046033	3056033	3066033
1634	0	163402	0	163404	0	0	3016034	3026034	3036034	3046034	3056034	3066034
1635	0	163502	0	163504	0	0	3016035	3026035	3036035	3046035	3056035	3066035
1636	0	163602	0	163604	0	0	3016036	3026036	3036036	3046036	3056036	3066036
1637	0	163702	0	163704	0	0	3016037	3026037	3036037	3046037	3056037	3066037
1638	0	163802	0	163804	0	0	3016038	3026038	3036038	3046038	3056038	3066038
1639	0	163902	0	163904	0	163906	3016039	3026039	3036039	3046039	3056039	3066039
1640	0	164002	0	164004	0	0	3016040	3026040	3036040	3046040	3056040	3066040
1641	0	164102	0	164104	0	0	3016041	3026041	3036041	3046041	3056041	3066041
1642	0	164202	0	164204	0	0	3016042	3026042	3036042	3046042	3056042	3066042
1643	0	164302	0	164304	0	0	3016043	3026043	3036043	3046043	3056043	3066043
1644	0	164402	0	164404	0	0	3016044	3026044	3036044	3046044	3056044	3066044
1645	0	164502	0	164504	0	0	3016045	3026045	3036045	3046045	3056045	3066045
1646	0	164602	0	164604	0	0	3016046	3026046	3036046	3046046	3056046	3066046
1647	0	164702	0	164704	0	0	3016047	3026047	3036047	3046047	3056047	3066047
1648	0	164802	0	164804	0	0	3016048	3026048	3036048	3046048	3056048	3066048
1649	0	164902	0	164904	0	0	3016049	3026049	3036049	3046049	3056049	3066049
1650	0	165002	0	165004	0	0	3016050	3026050	3036050	3046050	3056050	3066050
1651	0	165102	0	165104	0	0	3016051	3026051	3036051	3046051	3056051	3066051
1652	0	165202	0	165204	0	0	3016052	3026052	3036052	3046052	3056052	3066052
1653	0	165302	0	165304	0	0	3016053	3026053	3036053	3046053	3056053	3066053
1654	0	165402	0	165404	0	0	3016054	3026054	3036054	3046054	3056054	3066054
1655	0	165502	0	165504	0	0	3016055	3026055	3036055	3046055	3056055	3066055
1656	0	165602	0	165604	0	0	3016056	3026056	3036056	3046056	3056056	3066056
1657	0	165702	0	165704	0	0	3016057	3026057	3036057	3046057	3056057	3066057
1658	0	165802	0	165804	0	0	3016058	3026058	3036058	3046058	3056058	3066058
1659	0	165902	0	165904	0	0	3016059	3026059	3036059	3046059	3056059	3066059
1660	0	166002	0	166004	0	0	3016060	3026060	3036060	3046060	3056060	3066060
1661	0	166102	0	166104	0	0	3016061	3026061	3036061	3046061	3056061	3066061
1662	0	166202	0	166204	0	0	3016062	3026062	3036062	3046062	3056062	3066062
1663	0	166302	0	166304	0	0	3016063	3026063	3036063	3046063	3056063	3066063
1664	0	166402	0	166404	0	0	3016064	3026064	3036064	3046064	3056064	3066064
20001	0	3000002	0	3000004	0	0	3018053	3028053	3038053	3048053	3058053	3068053
1901	0	0	0	0	0	0	3911001	3921001	3931001	3941001	3951001	3961001
1902	0	0	0	0	0	0	3912001	3922001	3932001	3942001	3952001	3962001
1903	0	0	0	0	0	0	3913001	3923001	3933001	3943001	3953001	3963001
1904	0	0	0	0	0	0	3914001	3924001	3934001	3944001	3954001	3964001
1905	0	190202	0	190204	0	0	3915001	3925001	3935001	3945001	3955001	3965001
1906	0	190202	0	190204	0	0	3916001	3926001	3936001	3946001	3956001	3966001
20002	0	3000006	0	3000008	0	0	3019050	3029050	3039050	3049050	3059050	3069050
20000	0	2000002	0	2000004	0	0	3015501	3025501	3035501	3045501	0	0
50000	0	5000002	0	5000004	0	0	3015650	3025650	3035650	3045650	3055650	3065650
