Id	AttribPoolId[1]	AttribPoolWeight[1]	AttribPoolId[2]	AttribPoolWeight[2]	AttribPoolId[3]	AttribPoolWeight[3]	CharacterSkillPoolId[1]	CharacterSkillPoolWeight[1]	CharacterSkillPoolId[2]	CharacterSkillPoolWeight[2]	WeaponSkillPoolId[1]	WeaponSkillPoolWeight[1]	WeaponSkillPoolId[2]	WeaponSkillPoolWeight[2]	WeaponSkillPoolId[3]	WeaponSkillPoolWeight[3]
2265001	5	100	8	100	9	100										
2266001											1	100	2	100	3	100
2275001	5	100	8	100	9	100										
2276001											1	100	2	100	3	100
2285001	5	100	8	100	9	100										
2286001											1	100	2	100	3	100
2295001	5	100	8	100	9	100										
2296001											1	100	2	100	3	100
2305001	5	100	8	100	9	100										
2306001											1	100	2	100	3	100
2315001	5	100	8	100	9	100										
2316001											1	100	2	100	3	100
2325001	5	100	8	100	9	100										
2326001											1	100	2	100	3	100
2335001	5	100	8	100	9	100										
2336001											1	100	2	100	3	100
2345001	5	100	8	100	9	100										
2346001											1	100	2	100	3	100
2355001	5	100	8	100	9	100										
2356001											1	100	2	100	3	100
2365001	5	100	8	100	9	100										
2366001											1	100	2	100	3	100
2375001	5	100	8	100	9	100										
2376001											1	100	2	100	3	100
2385001	5	100	8	100	9	100										
2386001											1	100	2	100	3	100
2395001	5	100	8	100	9	100										
2396001											1	100	2	100	3	100
2405001	5	100	8	100	9	100										
2406001											1	100	2	100	3	100
2415001	5	100	8	100	9	100										
2416001											1	100	2	100	3	100
2425001	5	100	8	100	9	100										
2426001											1	100	2	100	3	100
2435001	5	100	8	100	9	100										
2436001											1	100	2	100	3	100
2445001	5	100	8	100	9	100										
2446001											1	100	2	100	3	100
2455001	5	100	8	100	9	100										
2456001											1	100	2	100	3	100
2465001	5	100	8	100	9	100										
2466001											1	100	2	100	3	100
2475001	5	100	8	100	9	100										
2476001											1	100	2	100	3	100
2485001	5	100	8	100	9	100										
2486001											1	100	2	100	3	100
2495001	5	100	8	100	9	100										
2496001											1	100	2	100	3	100
2505001	5	100	8	100	9	100										
2506001											1	100	2	100	3	100
2515001	5	100	8	100	9	100										
2516001											1	100	2	100	3	100
2525001	5	100	8	100	9	100										
2526001											1	100	2	100	3	100
2535001	5	100	8	100	9	100										
2536001											1	100	2	100	3	100
2545001	5	100	8	100	9	100										
2546001											1	100	2	100	3	100
2555001	5	100	8	100	9	100										
2556001											1	100	2	100	3	100
2565001	5	100	8	100	9	100										
2566001											1	100	2	100	3	100
2575001	5	100	8	100	9	100										
2576001											1	100	2	100	3	100
2585001	5	100	8	100	9	100										
2586001											1	100	2	100	3	100
2595001	5	100	8	100	9	100										
2596001											1	100	2	100	3	100
2605001	5	100	8	100	9	100										
2606001											1	100	2	100	3	100
2615001	5	100	8	100	9	100										
2616001											1	100	2	100	3	100
2625001	5	100	8	100	9	100										
2626001											1	100	2	100	3	100
2635001	5	100	8	100	9	100										
2636001											1	100	2	100	3	100
2645001	5	100	8	100	9	100										
2646001											1	100	2	100	3	100
2655001	5	100	8	100	9	100										
2656001											1	100	2	100	3	100
3015001	6	100	6	100												
3015002	6	100	6	100												
3015003	6	100	6	100												
3015004	6	100	6	100												
3015005	6	100	6	100												
3015006	6	100	6	100												
3015007	6	100	6	100												
3015008	6	100	6	100												
3015009	6	100	6	100												
3016001	7	100	7	100			1	100	2	100						
3016002	7	100	7	100			1	100	2	100						
3016003	7	100	7	100			1	100	2	100						
3016004	7	100	7	100			1	100	2	100						
3016005	7	100	7	100			1	100	2	100						
3016006	7	100	7	100			1	100	2	100						
3016007	7	100	7	100			1	100	2	100						
3016008	7	100	7	100			1	100	2	100						
3016009	7	100	7	100			1	100	2	100						
3016010	7	100	7	100			1	100	2	100						
3016011	7	100	7	100			1	100	2	100						
3016012	7	100	7	100			1	100	2	100						
3025001	6	100	6	100												
3025002	6	100	6	100												
3025003	6	100	6	100												
3025004	6	100	6	100												
3025005	6	100	6	100												
3025006	6	100	6	100												
3025007	6	100	6	100												
3025008	6	100	6	100												
3025009	6	100	6	100												
3026001	7	100	7	100			1	100	2	100						
3026002	7	100	7	100			1	100	2	100						
3026003	7	100	7	100			1	100	2	100						
3026004	7	100	7	100			1	100	2	100						
3026005	7	100	7	100			1	100	2	100						
3026006	7	100	7	100			1	100	2	100						
3026007	7	100	7	100			1	100	2	100						
3026008	7	100	7	100			1	100	2	100						
3026009	7	100	7	100			1	100	2	100						
3026010	7	100	7	100			1	100	2	100						
3026011	7	100	7	100			1	100	2	100						
3026012	7	100	7	100			1	100	2	100						
3035001	6	100	6	100												
3035002	6	100	6	100												
3035003	6	100	6	100												
3035004	6	100	6	100												
3035005	6	100	6	100												
3035006	6	100	6	100												
3035007	6	100	6	100												
3035008	6	100	6	100												
3035009	6	100	6	100												
3036001	7	100	7	100			1	100	2	100						
3036002	7	100	7	100			1	100	2	100						
3036003	7	100	7	100			1	100	2	100						
3036004	7	100	7	100			1	100	2	100						
3036005	7	100	7	100			1	100	2	100						
3036006	7	100	7	100			1	100	2	100						
3036007	7	100	7	100			1	100	2	100						
3036008	7	100	7	100			1	100	2	100						
3036009	7	100	7	100			1	100	2	100						
3036010	7	100	7	100			1	100	2	100						
3036011	7	100	7	100			1	100	2	100						
3036012	7	100	7	100			1	100	2	100						
3045001	6	100	6	100												
3045002	6	100	6	100												
3045003	6	100	6	100												
3045004	6	100	6	100												
3045005	6	100	6	100												
3045006	6	100	6	100												
3045007	6	100	6	100												
3045008	6	100	6	100												
3045009	6	100	6	100												
3046001	7	100	7	100			1	100	2	100						
3046002	7	100	7	100			1	100	2	100						
3046003	7	100	7	100			1	100	2	100						
3046004	7	100	7	100			1	100	2	100						
3046005	7	100	7	100			1	100	2	100						
3046006	7	100	7	100			1	100	2	100						
3046007	7	100	7	100			1	100	2	100						
3046008	7	100	7	100			1	100	2	100						
3046009	7	100	7	100			1	100	2	100						
3046010	7	100	7	100			1	100	2	100						
3046011	7	100	7	100			1	100	2	100						
3046012	7	100	7	100			1	100	2	100						
3055001	6	100	6	100												
3055002	6	100	6	100												
3055003	6	100	6	100												
3055004	6	100	6	100												
3055005	6	100	6	100												
3055006	6	100	6	100												
3055007	6	100	6	100												
3055008	6	100	6	100												
3055009	6	100	6	100												
3056001	7	100	7	100			1	100	2	100						
3056002	7	100	7	100			1	100	2	100						
3056003	7	100	7	100			1	100	2	100						
3056004	7	100	7	100			1	100	2	100						
3056005	7	100	7	100			1	100	2	100						
3056006	7	100	7	100			1	100	2	100						
3056007	7	100	7	100			1	100	2	100						
3056008	7	100	7	100			1	100	2	100						
3056009	7	100	7	100			1	100	2	100						
3056010	7	100	7	100			1	100	2	100						
3056011	7	100	7	100			1	100	2	100						
3056012	7	100	7	100			1	100	2	100						
3065001	6	100	6	100												
3065002	6	100	6	100												
3065003	6	100	6	100												
3065004	6	100	6	100												
3065005	6	100	6	100												
3065006	6	100	6	100												
3065007	6	100	6	100												
3065008	6	100	6	100												
3065009	6	100	6	100												
3066001	7	100	7	100			1	100	2	100						
3066002	7	100	7	100			1	100	2	100						
3066003	7	100	7	100			1	100	2	100						
3066004	7	100	7	100			1	100	2	100						
3066005	7	100	7	100			1	100	2	100						
3066006	7	100	7	100			1	100	2	100						
3066007	7	100	7	100			1	100	2	100						
3066008	7	100	7	100			1	100	2	100						
3066009	7	100	7	100			1	100	2	100						
3066010	7	100	7	100			1	100	2	100						
3066011	7	100	7	100			1	100	2	100						
3066012	7	100	7	100			1	100	2	100						
3016014	7	100	7	100			1	100	2	100						
3026014	7	100	7	100			1	100	2	100						
3036014	7	100	7	100			1	100	2	100						
3046014	7	100	7	100			1	100	2	100						
3056014	7	100	7	100			1	100	2	100						
3066014	7	100	7	100			1	100	2	100						
3015050	6	100	6	100												
3025050	6	100	6	100												
3035050	6	100	6	100												
3045050	6	100	6	100												
3055050	6	100	6	100												
3065050	6	100	6	100												
3016013	7	100	7	100			1	100	2	100						
3026013	7	100	7	100			1	100	2	100						
3036013	7	100	7	100			1	100	2	100						
3046013	7	100	7	100			1	100	2	100						
3056013	7	100	7	100			1	100	2	100						
3066013	7	100	7	100			1	100	2	100						
3016015	7	100	7	100			1	100	2	100						
3026015	7	100	7	100			1	100	2	100						
3036015	7	100	7	100			1	100	2	100						
3046015	7	100	7	100			1	100	2	100						
3056015	7	100	7	100			1	100	2	100						
3066015	7	100	7	100			1	100	2	100						
3016016	7	100	7	100			1	100	2	100						
3026016	7	100	7	100			1	100	2	100						
3036016	7	100	7	100			1	100	2	100						
3046016	7	100	7	100			1	100	2	100						
3056016	7	100	7	100			1	100	2	100						
3066016	7	100	7	100			1	100	2	100						
3016017	7	100	7	100			1	100	2	100						
3026017	7	100	7	100			1	100	2	100						
3036017	7	100	7	100			1	100	2	100						
3046017	7	100	7	100			1	100	2	100						
3056017	7	100	7	100			1	100	2	100						
3066017	7	100	7	100			1	100	2	100						
3016018	7	100	7	100			1	100	2	100						
3026018	7	100	7	100			1	100	2	100						
3036018	7	100	7	100			1	100	2	100						
3046018	7	100	7	100			1	100	2	100						
3056018	7	100	7	100			1	100	2	100						
3066018	7	100	7	100			1	100	2	100						
3016019	7	100	7	100			1	100	2	100						
3026019	7	100	7	100			1	100	2	100						
3036019	7	100	7	100			1	100	2	100						
3046019	7	100	7	100			1	100	2	100						
3056019	7	100	7	100			1	100	2	100						
3066019	7	100	7	100			1	100	2	100						
3015051	6	100	6	100												
3025051	6	100	6	100												
3035051	6	100	6	100												
3045051	6	100	6	100												
3055051	6	100	6	100												
3065051	6	100	6	100												
3015052	6	100	6	100												
3025052	6	100	6	100												
3035052	6	100	6	100												
3045052	6	100	6	100												
3055052	6	100	6	100												
3065052	6	100	6	100												
3015053	6	100	6	100												
3025053	6	100	6	100												
3035053	6	100	6	100												
3045053	6	100	6	100												
3055053	6	100	6	100												
3065053	6	100	6	100												
3015055	6	100	6	100												
3025055	6	100	6	100												
3035055	6	100	6	100												
3045055	6	100	6	100												
3055055	6	100	6	100												
3065055	6	100	6	100												
3015056	6	100	6	100												
3025056	6	100	6	100												
3035056	6	100	6	100												
3045056	6	100	6	100												
3055056	6	100	6	100												
3065056	6	100	6	100												
3016020	7	100	7	100			1	100	2	100						
3026020	7	100	7	100			1	100	2	100						
3036020	7	100	7	100			1	100	2	100						
3046020	7	100	7	100			1	100	2	100						
3056020	7	100	7	100			1	100	2	100						
3066020	7	100	7	100			1	100	2	100						
3016021	7	100	7	100			1	100	2	100						
3026021	7	100	7	100			1	100	2	100						
3036021	7	100	7	100			1	100	2	100						
3046021	7	100	7	100			1	100	2	100						
3056021	7	100	7	100			1	100	2	100						
3066021	7	100	7	100			1	100	2	100						
3016022	7	100	7	100			1	100	2	100						
3026022	7	100	7	100			1	100	2	100						
3036022	7	100	7	100			1	100	2	100						
3046022	7	100	7	100			1	100	2	100						
3056022	7	100	7	100			1	100	2	100						
3066022	7	100	7	100			1	100	2	100						
3016023	7	100	7	100			1	100	2	100						
3026023	7	100	7	100			1	100	2	100						
3036023	7	100	7	100			1	100	2	100						
3046023	7	100	7	100			1	100	2	100						
3056023	7	100	7	100			1	100	2	100						
3066023	7	100	7	100			1	100	2	100						
3015057	6	100	6	100												
3025057	6	100	6	100												
3035057	6	100	6	100												
3045057	6	100	6	100												
3055057	6	100	6	100												
3065057	6	100	6	100												
3016024	7	100	7	100			1	100	2	100						
3026024	7	100	7	100			1	100	2	100						
3036024	7	100	7	100			1	100	2	100						
3046024	7	100	7	100			1	100	2	100						
3056024	7	100	7	100			1	100	2	100						
3066024	7	100	7	100			1	100	2	100						
3016025	7	100	7	100			1	100	2	100						
3026025	7	100	7	100			1	100	2	100						
3036025	7	100	7	100			1	100	2	100						
3046025	7	100	7	100			1	100	2	100						
3056025	7	100	7	100			1	100	2	100						
3066025	7	100	7	100			1	100	2	100						
3015058	6	100	6	100												
3025058	6	100	6	100												
3035058	6	100	6	100												
3045058	6	100	6	100												
3055058	6	100	6	100												
3065058	6	100	6	100												
3016026	7	100	7	100			1	100	2	100						
3026026	7	100	7	100			1	100	2	100						
3036026	7	100	7	100			1	100	2	100						
3046026	7	100	7	100			1	100	2	100						
3056026	7	100	7	100			1	100	2	100						
3066026	7	100	7	100			1	100	2	100						
3016027	7	100	7	100			1	100	2	100						
3026027	7	100	7	100			1	100	2	100						
3036027	7	100	7	100			1	100	2	100						
3046027	7	100	7	100			1	100	2	100						
3056027	7	100	7	100			1	100	2	100						
3066027	7	100	7	100			1	100	2	100						
3016028	7	100	7	100			1	100	2	100						
3026028	7	100	7	100			1	100	2	100						
3036028	7	100	7	100			1	100	2	100						
3046028	7	100	7	100			1	100	2	100						
3056028	7	100	7	100			1	100	2	100						
3066028	7	100	7	100			1	100	2	100						
3016029	7	100	7	100			1	100	2	100						
3026029	7	100	7	100			1	100	2	100						
3036029	7	100	7	100			1	100	2	100						
3046029	7	100	7	100			1	100	2	100						
3056029	7	100	7	100			1	100	2	100						
3066029	7	100	7	100			1	100	2	100						
3016030	7	100	7	100			1	100	2	100						
3026030	7	100	7	100			1	100	2	100						
3036030	7	100	7	100			1	100	2	100						
3046030	7	100	7	100			1	100	2	100						
3056030	7	100	7	100			1	100	2	100						
3066030	7	100	7	100			1	100	2	100						
3016031	7	100	7	100			1	100	2	100						
3026031	7	100	7	100			1	100	2	100						
3036031	7	100	7	100			1	100	2	100						
3046031	7	100	7	100			1	100	2	100						
3056031	7	100	7	100			1	100	2	100						
3066031	7	100	7	100			1	100	2	100						
3016032	7	100	7	100			1	100	2	100						
3026032	7	100	7	100			1	100	2	100						
3036032	7	100	7	100			1	100	2	100						
3046032	7	100	7	100			1	100	2	100						
3056032	7	100	7	100			1	100	2	100						
3066032	7	100	7	100			1	100	2	100						
3016033	7	100	7	100			1	100	2	100						
3026033	7	100	7	100			1	100	2	100						
3036033	7	100	7	100			1	100	2	100						
3046033	7	100	7	100			1	100	2	100						
3056033	7	100	7	100			1	100	2	100						
3066033	7	100	7	100			1	100	2	100						
3016034	7	100	7	100			1	100	2	100						
3026034	7	100	7	100			1	100	2	100						
3036034	7	100	7	100			1	100	2	100						
3046034	7	100	7	100			1	100	2	100						
3056034	7	100	7	100			1	100	2	100						
3066034	7	100	7	100			1	100	2	100						
3016035	7	100	7	100			1	100	2	100						
3026035	7	100	7	100			1	100	2	100						
3036035	7	100	7	100			1	100	2	100						
3046035	7	100	7	100			1	100	2	100						
3056035	7	100	7	100			1	100	2	100						
3066035	7	100	7	100			1	100	2	100						
3016036	7	100	7	100			1	100	2	100						
3026036	7	100	7	100			1	100	2	100						
3036036	7	100	7	100			1	100	2	100						
3046036	7	100	7	100			1	100	2	100						
3056036	7	100	7	100			1	100	2	100						
3066036	7	100	7	100			1	100	2	100						
3016037	7	100	7	100			1	100	2	100						
3026037	7	100	7	100			1	100	2	100						
3036037	7	100	7	100			1	100	2	100						
3046037	7	100	7	100			1	100	2	100						
3056037	7	100	7	100			1	100	2	100						
3066037	7	100	7	100			1	100	2	100						
3016038	7	100	7	100			1	100	2	100						
3026038	7	100	7	100			1	100	2	100						
3036038	7	100	7	100			1	100	2	100						
3046038	7	100	7	100			1	100	2	100						
3056038	7	100	7	100			1	100	2	100						
3066038	7	100	7	100			1	100	2	100						
3016039	7	100	7	100			1	100	2	100						
3026039	7	100	7	100			1	100	2	100						
3036039	7	100	7	100			1	100	2	100						
3046039	7	100	7	100			1	100	2	100						
3056039	7	100	7	100			1	100	2	100						
3066039	7	100	7	100			1	100	2	100						
3016040	7	100	7	100			1	100	2	100						
3026040	7	100	7	100			1	100	2	100						
3036040	7	100	7	100			1	100	2	100						
3046040	7	100	7	100			1	100	2	100						
3056040	7	100	7	100			1	100	2	100						
3066040	7	100	7	100			1	100	2	100						
3016041	7	100	7	100			1	100	2	100						
3026041	7	100	7	100			1	100	2	100						
3036041	7	100	7	100			1	100	2	100						
3046041	7	100	7	100			1	100	2	100						
3056041	7	100	7	100			1	100	2	100						
3066041	7	100	7	100			1	100	2	100						
3016042	7	100	7	100			1	100	2	100						
3026042	7	100	7	100			1	100	2	100						
3036042	7	100	7	100			1	100	2	100						
3046042	7	100	7	100			1	100	2	100						
3056042	7	100	7	100			1	100	2	100						
3066042	7	100	7	100			1	100	2	100						
3016043	7	100	7	100			1	100	2	100						
3026043	7	100	7	100			1	100	2	100						
3036043	7	100	7	100			1	100	2	100						
3046043	7	100	7	100			1	100	2	100						
3056043	7	100	7	100			1	100	2	100						
3066043	7	100	7	100			1	100	2	100						
3016044	7	100	7	100			1	100	2	100						
3026044	7	100	7	100			1	100	2	100						
3036044	7	100	7	100			1	100	2	100						
3046044	7	100	7	100			1	100	2	100						
3056044	7	100	7	100			1	100	2	100						
3066044	7	100	7	100			1	100	2	100						
3016045	7	100	7	100			1	100	2	100						
3026045	7	100	7	100			1	100	2	100						
3036045	7	100	7	100			1	100	2	100						
3046045	7	100	7	100			1	100	2	100						
3056045	7	100	7	100			1	100	2	100						
3066045	7	100	7	100			1	100	2	100						
3016046	7	100	7	100			1	100	2	100						
3026046	7	100	7	100			1	100	2	100						
3036046	7	100	7	100			1	100	2	100						
3046046	7	100	7	100			1	100	2	100						
3056046	7	100	7	100			1	100	2	100						
3066046	7	100	7	100			1	100	2	100						
3016047	7	100	7	100			1	100	2	100						
3026047	7	100	7	100			1	100	2	100						
3036047	7	100	7	100			1	100	2	100						
3046047	7	100	7	100			1	100	2	100						
3056047	7	100	7	100			1	100	2	100						
3066047	7	100	7	100			1	100	2	100						
3016048	7	100	7	100			1	100	2	100						
3026048	7	100	7	100			1	100	2	100						
3036048	7	100	7	100			1	100	2	100						
3046048	7	100	7	100			1	100	2	100						
3056048	7	100	7	100			1	100	2	100						
3066048	7	100	7	100			1	100	2	100						
3016049	7	100	7	100			1	100	2	100						
3026049	7	100	7	100			1	100	2	100						
3036049	7	100	7	100			1	100	2	100						
3046049	7	100	7	100			1	100	2	100						
3056049	7	100	7	100			1	100	2	100						
3066049	7	100	7	100			1	100	2	100						
3016050	7	100	7	100			1	100	2	100						
3026050	7	100	7	100			1	100	2	100						
3036050	7	100	7	100			1	100	2	100						
3046050	7	100	7	100			1	100	2	100						
3056050	7	100	7	100			1	100	2	100						
3066050	7	100	7	100			1	100	2	100						
3016051	7	100	7	100			1	100	2	100						
3026051	7	100	7	100			1	100	2	100						
3036051	7	100	7	100			1	100	2	100						
3046051	7	100	7	100			1	100	2	100						
3056051	7	100	7	100			1	100	2	100						
3066051	7	100	7	100			1	100	2	100						
3016052	7	100	7	100			1	100	2	100						
3026052	7	100	7	100			1	100	2	100						
3036052	7	100	7	100			1	100	2	100						
3046052	7	100	7	100			1	100	2	100						
3056052	7	100	7	100			1	100	2	100						
3066052	7	100	7	100			1	100	2	100						
3016053	7	100	7	100			1	100	2	100						
3026053	7	100	7	100			1	100	2	100						
3036053	7	100	7	100			1	100	2	100						
3046053	7	100	7	100			1	100	2	100						
3056053	7	100	7	100			1	100	2	100						
3066053	7	100	7	100			1	100	2	100						
3016054	7	100	7	100			1	100	2	100						
3026054	7	100	7	100			1	100	2	100						
3036054	7	100	7	100			1	100	2	100						
3046054	7	100	7	100			1	100	2	100						
3056054	7	100	7	100			1	100	2	100						
3066054	7	100	7	100			1	100	2	100						
3016055	7	100	7	100			1	100	2	100						
3026055	7	100	7	100			1	100	2	100						
3036055	7	100	7	100			1	100	2	100						
3046055	7	100	7	100			1	100	2	100						
3056055	7	100	7	100			1	100	2	100						
3066055	7	100	7	100			1	100	2	100						
3016056	7	100	7	100			1	100	2	100						
3026056	7	100	7	100			1	100	2	100						
3036056	7	100	7	100			1	100	2	100						
3046056	7	100	7	100			1	100	2	100						
3056056	7	100	7	100			1	100	2	100						
3066056	7	100	7	100			1	100	2	100						
3016057	7	100	7	100			1	100	2	100						
3026057	7	100	7	100			1	100	2	100						
3036057	7	100	7	100			1	100	2	100						
3046057	7	100	7	100			1	100	2	100						
3056057	7	100	7	100			1	100	2	100						
3066057	7	100	7	100			1	100	2	100						
3016058	7	100	7	100			1	100	2	100						
3026058	7	100	7	100			1	100	2	100						
3036058	7	100	7	100			1	100	2	100						
3046058	7	100	7	100			1	100	2	100						
3056058	7	100	7	100			1	100	2	100						
3066058	7	100	7	100			1	100	2	100						
3016059	7	100	7	100			1	100	2	100						
3026059	7	100	7	100			1	100	2	100						
3036059	7	100	7	100			1	100	2	100						
3046059	7	100	7	100			1	100	2	100						
3056059	7	100	7	100			1	100	2	100						
3066059	7	100	7	100			1	100	2	100						
3016060	7	100	7	100			1	100	2	100						
3026060	7	100	7	100			1	100	2	100						
3036060	7	100	7	100			1	100	2	100						
3046060	7	100	7	100			1	100	2	100						
3056060	7	100	7	100			1	100	2	100						
3066060	7	100	7	100			1	100	2	100						
3016061	7	100	7	100			1	100	2	100						
3026061	7	100	7	100			1	100	2	100						
3036061	7	100	7	100			1	100	2	100						
3046061	7	100	7	100			1	100	2	100						
3056061	7	100	7	100			1	100	2	100						
3066061	7	100	7	100			1	100	2	100						
3016062	7	100	7	100			1	100	2	100						
3026062	7	100	7	100			1	100	2	100						
3036062	7	100	7	100			1	100	2	100						
3046062	7	100	7	100			1	100	2	100						
3056062	7	100	7	100			1	100	2	100						
3066062	7	100	7	100			1	100	2	100						
3018053	6	100	6	100												
3028053	6	100	6	100												
3038053	6	100	6	100												
3048053	6	100	6	100												
3058053	6	100	6	100												
3068053	6	100	6	100												
3019050	6	100	6	100												
3029050	6	100	6	100												
3039050	6	100	6	100												
3049050	6	100	6	100												
3059050	6	100	6	100												
3069050	6	100	6	100												
3015059	6	100	6	100												
3025059	6	100	6	100												
3035059	6	100	6	100												
3045059	6	100	6	100												
3055059	6	100	6	100												
3065059	6	100	6	100												
3015060	6	100	6	100												
3025060	6	100	6	100												
3035060	6	100	6	100												
3045060	6	100	6	100												
3055060	6	100	6	100												
3065060	6	100	6	100												
3015501	6	100	6	100												
3025501	6	100	6	100												
3035501	6	100	6	100												
3045501	6	100	6	100												
3015650	6	100	6	100												
3025650	6	100	6	100												
3035650	6	100	6	100												
3045650	6	100	6	100												
3055650	6	100	6	100												
3065650	6	100	6	100												
