Id	Score	UseMonsterIds[1]	UseMonsterIds[2]	UseMonsterIds[3]	Name	HeadIcon	BuffId
1009	1042	10221	10200	10241	Nightshroud Apostle	9000003	
1010	1035	10221	10222	10236	Nightshroud Apostle	9000003	
1011	1703	10228	10210	10204	Nightshroud Apostle	9000003	
1012	1477	10205	10221	10204	Nightshroud Apostle	9000003	
1013	1702	10223	10242	10208	Nightshroud Apostle	9000003	
1014	1225	10226	10224	10219	Nightshroud Apostle	9000003	
1015	1734	10219	10202	10236	Nightshroud Apostle	9000003	
1016	1588	10208	10229	10235	Nightshroud Apostle	9000003	
1017	1774	10228	10216	10224	Nightshroud Apostle	9000003	
1018	1013	10201	10205	10236	Nightshroud Apostle	9000003	
1019	1398	10200	10237	10225	Nightshroud Apostle	9000003	
1020	1125	10246	10215	10248	Nightshroud Apostle	9000003	
1021	1624	10247	10236	10247	Nightshroud Apostle	9000003	
1022	1860	10207	10226	10241	Nightshroud Apostle	9000003	
1023	1626	10244	10223	10211	Nightshroud Apostle	9000003	
1024	1600	10237	10201	10243	Nightshroud Apostle	9000003	
1025	1641	10237	10232	10219	Nightshroud Apostle	9000003	
1026	1775	10218	10200	10221	Nightshroud Apostle	9000003	
1027	1736	10220	10206	10233	Nightshroud Apostle	9000003	
1028	1326	10244	10216	10215	Nightshroud Apostle	9000003	
1029	1886	10203	10219	10229	Nightshroud Apostle	9000003	
1030	1361	10210	10208	10233	Nightshroud Apostle	9000003	
1031	1939	10232	10220	10239	Nightshroud Apostle	9000003	
1032	1563	10230	10212	10226	Nightshroud Apostle	9000003	
1033	1261	10238	10226	10221	Nightshroud Apostle	9000003	
1034	1393	10212	10246	10205	Nightshroud Apostle	9000003	
1035	1035	10218	10203	10203	Nightshroud Apostle	9000003	
1036	1089	10245	10230	10249	Nightshroud Apostle	9000003	
1037	1193	10222	10219	10238	Nightshroud Apostle	9000003	
1038	1921	10205	10219	10227	Nightshroud Apostle	9000003	
1039	1179	10217	10232	10235	Nightshroud Apostle	9000003	
1040	1999	10222	10203	10228	Nightshroud Apostle	9000003	
1041	1999	10208	10200	10226	Nightshroud Apostle	9000003	
1042	1999	10208	10200	10249	Nightshroud Apostle	9000003	
1043	1999	10220	10245	10216	Nightshroud Apostle	9000003	
1044	1999	10233	10221	10207	Nightshroud Apostle	9000003	
1045	1999	10202	10230	10202	Nightshroud Apostle	9000003	
1046	1999	10213	10215	10201	Nightshroud Apostle	9000003	
1047	1999	10219	10234	10244	Nightshroud Apostle	9000003	
1048	1999	10213	10210	10239	Nightshroud Apostle	9000003	
1049	1999	10217	10216	10214	Nightshroud Apostle	9000003	
2000	2006	10044	10038	10013	Nightshroud Apostle	9000003	2
2001	2020	10051	10035	10007	Nightshroud Apostle	9000003	6
2002	2044	10004	10039	10003	Nightshroud Apostle	9000003	1
2003	2013	10018	10032	10051	Nightshroud Apostle	9000003	4
2004	2047	10039	10005	10002	Nightshroud Apostle	9000003	10
2005	2007	10029	10052	10023	Nightshroud Apostle	9000003	6
2006	2027	10020	10043	10025	Nightshroud Apostle	9000003	10
2007	2046	10040	10038	10029	Nightshroud Apostle	9000003	3
2008	2037	10057	10032	10012	Nightshroud Apostle	9000003	3
2009	2004	10007	10043	10010	Nightshroud Apostle	9000003	4
2010	2013	10024	10050	10006	Nightshroud Apostle	9000003	3
2011	2997	10049	10002	10014	Nightshroud Apostle	9000003	4
2012	2721	10043	10031	10006	Nightshroud Apostle	9000003	8
2013	2639	10015	10046	10058	Nightshroud Apostle	9000003	3
2014	2590	10034	10004	10051	Nightshroud Apostle	9000003	5
2015	2645	10017	10028	10011	Nightshroud Apostle	9000003	4
2016	2361	10050	10054	10038	Nightshroud Apostle	9000003	3
2017	2964	10009	10009	10051	Nightshroud Apostle	9000003	5
2018	2300	10008	10002	10027	Nightshroud Apostle	9000003	3
2019	2484	10052	10032	10016	Nightshroud Apostle	9000003	2
2020	2742	10001	10043	10007	Nightshroud Apostle	9000003	9
2021	2214	10011	10052	10037	Nightshroud Apostle	9000003	2
2022	2018	10047	10033	10053	Nightshroud Apostle	9000003	2
2023	2309	10001	10011	10018	Nightshroud Apostle	9000003	8
2024	2339	10001	10007	10043	Nightshroud Apostle	9000003	9
2025	2529	10030	10037	10056	Nightshroud Apostle	9000003	5
2026	2552	10025	10051	10024	Nightshroud Apostle	9000003	10
2027	2991	10013	10013	10054	Nightshroud Apostle	9000003	1
2028	2514	10046	10006	10047	Nightshroud Apostle	9000003	2
2029	2257	10040	10046	10028	Nightshroud Apostle	9000003	2
2030	2999	10042	10010	10016	Nightshroud Apostle	9000003	8
2031	2999	10017	10015	10001	Nightshroud Apostle	9000003	3
2032	2999	10031	10001	10041	Nightshroud Apostle	9000003	8
2033	2999	10027	10015	10034	Nightshroud Apostle	9000003	2
2034	2999	10041	10045	10048	Nightshroud Apostle	9000003	7
2035	2999	10052	10039	10059	Nightshroud Apostle	9000003	3
2036	2999	10043	10027	10058	Nightshroud Apostle	9000003	6
2037	2999	10008	10039	10004	Nightshroud Apostle	9000003	10
2038	2999	10011	10010	10034	Nightshroud Apostle	9000003	1
2039	2999	10015	10044	10002	Nightshroud Apostle	9000003	4
3000	3017	10129	10144	10128	Nightshroud Apostle	9000003	4
3001	3045	10129	10149	10133	Nightshroud Apostle	9000003	8
3002	3043	10143	10153	10138	Nightshroud Apostle	9000003	1
3003	3009	10125	10100	10151	Nightshroud Apostle	9000003	2
3004	3031	10118	10146	10105	Nightshroud Apostle	9000003	6
3005	3017	10117	10115	10125	Nightshroud Apostle	9000003	1
3006	3034	10152	10147	10119	Nightshroud Apostle	9000003	4
3007	3007	10125	10112	10117	Nightshroud Apostle	9000003	4
3008	3011	10140	10140	10107	Nightshroud Apostle	9000003	6
3009	3024	10132	10110	10138	Nightshroud Apostle	9000003	3
3010	3020	10146	10146	10119	Nightshroud Apostle	9000003	6
3011	3977	10131	10129	10140	Nightshroud Apostle	9000003	2
3012	3197	10112	10148	10117	Nightshroud Apostle	9000003	10
3013	3007	10103	10147	10131	Nightshroud Apostle	9000003	3
3014	3569	10103	10103	10112	Nightshroud Apostle	9000003	4
3015	3244	10143	10122	10136	Nightshroud Apostle	9000003	2
3016	3486	10141	10150	10153	Nightshroud Apostle	9000003	7
3017	3132	10148	10104	10101	Nightshroud Apostle	9000003	6
3018	3902	10130	10148	10137	Nightshroud Apostle	9000003	6
3019	3856	10149	10127	10135	Nightshroud Apostle	9000003	5
3020	3525	10107	10140	10107	Nightshroud Apostle	9000003	7
3021	3082	10146	10151	10102	Nightshroud Apostle	9000003	4
3022	3528	10117	10131	10109	Nightshroud Apostle	9000003	8
3023	3746	10138	10146	10105	Nightshroud Apostle	9000003	8
3024	3249	10106	10130	10117	Nightshroud Apostle	9000003	3
3025	3222	10131	10104	10102	Nightshroud Apostle	9000003	1
3026	3661	10136	10151	10127	Nightshroud Apostle	9000003	10
3027	3079	10125	10112	10105	Nightshroud Apostle	9000003	9
3028	3167	10148	10149	10133	Nightshroud Apostle	9000003	10
3029	3138	10153	10143	10136	Nightshroud Apostle	9000003	7
3030	3999	10127	10115	10121	Nightshroud Apostle	9000003	9
3031	3999	10110	10118	10145	Nightshroud Apostle	9000003	2
3032	3999	10149	10143	10103	Nightshroud Apostle	9000003	5
3033	3999	10130	10142	10120	Nightshroud Apostle	9000003	9
3034	3999	10132	10142	10136	Nightshroud Apostle	9000003	8
3035	3999	10133	10141	10152	Nightshroud Apostle	9000003	9
3036	3999	10122	10129	10138	Nightshroud Apostle	9000003	9
3037	3999	10112	10150	10109	Nightshroud Apostle	9000003	8
3038	3999	10103	10109	10142	Nightshroud Apostle	9000003	2
3039	3999	10111	10116	10127	Nightshroud Apostle	9000003	8
4000	4013	10150	10122	10141	Nightshroud Apostle	9000003	5
4001	4017	10121	10133	10150	Nightshroud Apostle	9000003	10
4002	4008	10135	10115	10127	Nightshroud Apostle	9000003	7
4003	4009	10144	10128	10149	Nightshroud Apostle	9000003	3
4004	4009	10118	10138	10101	Nightshroud Apostle	9000003	6
4005	4011	10146	10107	10133	Nightshroud Apostle	9000003	9
4006	4100	10119	10118	10121	Nightshroud Apostle	9000003	10
4007	4015	10102	10136	10111	Nightshroud Apostle	9000003	10
4008	4016	10123	10149	10135	Nightshroud Apostle	9000003	9
4009	4063	10115	10115	10117	Nightshroud Apostle	9000003	10
4010	4064	10119	10148	10151	Nightshroud Apostle	9000003	9
4011	4088	10129	10140	10154	Nightshroud Apostle	9000003	6
4012	4090	10102	10143	10119	Nightshroud Apostle	9000003	2
